list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
36	Lung	6	1271	8543	18	9814	0.0217314350731203	LGALS9; PDLIM2; ; DAPK1; SULT1A1; C11orf16	0.655243572659101
45	Skin_Sun_Exposed_.Lower_leg.	5	1203	8611	18	9814	0.0601086492455159	KRT78; PDLIM2; ; NECTIN4; S100A3	0.655243572659101
44	Skin_Not_Sun_Exposed_.Suprapubic.	5	1210	8604	18	9814	0.0613758801474518	KRT78; PDLIM2; ; NECTIN4; S100A3	0.655243572659101
46	Small_Intestine_Terminal_Ileum	5	1249	8565	18	9814	0.0687306444700387	LGALS9; ; SULT1A1; TSPAN1; CALML4	0.655243572659101
29	Esophagus_Mucosa	5	1319	8495	18	9814	0.0831874238046662	KRT78; PDLIM2; ; NECTIN4; S100A3	0.655243572659101
53	Whole_Blood	3	616	9198	18	9814	0.0994872454428525	LGALS9; ; LRRC4	0.655243572659101
48	Stomach	5	1395	8419	18	9814	0.100701943819898	LGALS9; ; DAPK1; TSPAN1; METTL7A	0.655243572659101
27	Colon_Transverse	5	1445	8369	18	9814	0.113241052193406	LGALS9; ; SULT1A1; TSPAN1; CALML4	0.655243572659101
42	Pituitary	4	1051	8763	18	9814	0.118867471108067	KRBA1; ; DAPK1; C11orf16	0.655243572659101
47	Spleen	4	1136	8678	18	9814	0.146917092594032	LGALS9; PDLIM2; ; SULT1A1	0.655243572659101
52	Vagina	4	1169	8645	18	9814	0.158516205648237	KRT78; PDLIM2; ; NECTIN4	0.655243572659101
31	Fallopian_Tube	4	1183	8631	18	9814	0.163549630657022	; GPR161; METTL7A; C11orf16	0.655243572659101
2	Adipose_Visceral_.Omentum.	4	1258	8556	18	9814	0.191582685673801	CALB2; ; DAPK1; METTL7A	0.655243572659101
37	Minor_Salivary_Gland	4	1283	8531	18	9814	0.201300119397929	; NECTIN4; TSPAN1; C11orf16	0.655243572659101
5	Artery_Coronary	4	1339	8475	18	9814	0.223674292288346	PRKG1; PDLIM2; ; GPR161	0.655243572659101
4	Artery_Aorta	4	1346	8468	18	9814	0.226526148135369	PRKG1; PDLIM2; ; GPR161	0.655243572659101
16	Brain_Hypothalamus	3	915	8899	18	9814	0.232438090534929	CALB2; ; LRRC4	0.655243572659101
7	Bladder	4	1390	8424	18	9814	0.244707598912355	; DAPK1; TSPAN1; METTL7A	0.655243572659101
26	Colon_Sigmoid	4	1429	8385	18	9814	0.26116107914282	PRKG1; ; DAPK1; GPR161	0.655243572659101
28	Esophagus_Gastroesophageal_Junction	4	1441	8373	18	9814	0.266281501435946	; DAPK1; GPR161; CALML4	0.655243572659101
30	Esophagus_Muscularis	4	1478	8336	18	9814	0.282223918470904	; DAPK1; GPR161; CALML4	0.655243572659101
41	Pancreas	2	589	9225	18	9814	0.294572929035093	; DAPK1	0.655243572659101
12	Brain_Cerebellum	3	1048	8766	18	9814	0.300692889545142	CALB2; ; LRRC4	0.655243572659101
11	Brain_Cerebellar_Hemisphere	3	1057	8757	18	9814	0.30540605375138	CALB2; ; LRRC4	0.655243572659101
35	Liver	3	1064	8750	18	9814	0.30907715691467	; SULT1A1; METTL7A	0.655243572659101
24	Cervix_Ectocervix	3	1148	8666	18	9814	0.353365531429766	KRT78; ; NECTIN4	0.662819554132768
32	Heart_Atrial_Appendage	3	1173	8641	18	9814	0.366579922074476	KRBA1; ; BLM	0.662819554132768
34	Kidney_Cortex	3	1273	8541	18	9814	0.4192043974702	; DAPK1; TSPAN1	0.662819554132768
43	Prostate	3	1278	8536	18	9814	0.421816585395425	; GPR161; TSPAN1	0.662819554132768
49	Testis	1	298	9516	18	9814	0.426229056219446		0.662819554132768
1	Adipose_Subcutaneous	3	1336	8478	18	9814	0.451911321793902	CALB2; ; METTL7A	0.662819554132768
33	Heart_Left_Ventricle	3	1346	8468	18	9814	0.457055935652944	KRBA1; ; BLM	0.662819554132768
17	Brain_Nucleus_accumbens_.basal_ganglia.	2	890	8924	18	9814	0.495215956945107	; LRRC4	0.662819554132768
18	Brain_Putamen_.basal_ganglia.	2	917	8897	18	9814	0.511754485994531	; LRRC4	0.662819554132768
10	Brain_Caudate_.basal_ganglia.	2	919	8895	18	9814	0.512967223891627	; LRRC4	0.662819554132768
8	Brain_Amygdala	2	929	8885	18	9814	0.519004956209185	; LRRC4	0.662819554132768
6	Artery_Tibial	3	1475	8339	18	9814	0.521894858009333	PRKG1; PDLIM2; 	0.662819554132768
15	Brain_Hippocampus	2	943	8871	18	9814	0.527384359455576	; LRRC4	0.662819554132768
22	Cells_EBV.transformed_lymphocytes	3	1506	8308	18	9814	0.536978296945132	LGALS9; ; BLM	0.662819554132768
9	Brain_Anterior_cingulate_cortex_.BA24.	2	962	8852	18	9814	0.538617257436431	; LRRC4	0.662819554132768
3	Adrenal_Gland	3	1519	8295	18	9814	0.543238287768551	; SULT1A1; METTL7A	0.662819554132768
14	Brain_Frontal_Cortex_.BA9.	2	978	8836	18	9814	0.547950278399422	; LRRC4	0.662819554132768
20	Brain_Substantia_nigra	2	981	8833	18	9814	0.54968722491506	; LRRC4	0.662819554132768
13	Brain_Cortex	2	982	8832	18	9814	0.55026529022343	; LRRC4	0.662819554132768
23	Cells_Transformed_fibroblasts	3	1598	8216	18	9814	0.580390390468804	PDLIM2; ; S100A3	0.683570904329925
25	Cervix_Endocervix	2	1283	8531	18	9814	0.702550117020102	; C11orf16	0.809459917436204
40	Ovary	2	1335	8479	18	9814	0.724443600594779	; DAPK1	0.81209045756551
50	Thyroid	2	1400	8414	18	9814	0.750043460340113	; METTL7A	0.81209045756551
38	Muscle_Skeletal	2	1402	8412	18	9814	0.75080061171151	PRKG1; 	0.81209045756551
51	Uterus	2	1477	8337	18	9814	0.777912986231297	; GPR161	0.824587765405175
19	Brain_Spinal_cord_.cervical_c.1.	1	1029	8785	18	9814	0.864065790815033		0.897950723788171
39	Nerve_Tibial	1	1339	8475	18	9814	0.928843486104534		0.92974572303694
21	Breast_Mammary_Tissue	1	1345	8469	18	9814	0.92974572303694		0.92974572303694
