list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
41	Pancreas	15	589	9225	77	9814	4.31724877919437e-05	TCEA3; ADM2; HTR3A; CHAC1; HGD; DNAH5; GRB10; SLC28A3; ; PRLH; DNAJC12; SLC1A4; PAEP; HPN; EPHX2	0.00123466586953275
35	Liver	21	1064	8750	77	9814	4.65911648880282e-05	TCIM; SLC17A9; ETNK2; TCEA3; PCK2; ADM2; DHRS3; CHAC1; HGD; DNAH5; SESN2; SLC2A9; NUDT12; ; SYT17; DNAJC12; ZNF385B; HPN; EPHX2; SUGCT; ARID3C	0.00123466586953275
34	Kidney_Cortex	18	1273	8541	77	9814	0.00847249035370967	C5orf38; C6orf223; TCIM; ETNK2; PCK2; FLRT3; ADM2; HGD; SESN2; GABARAP; ARG2; SLC2A9; ; SCNN1G; GAL3ST1; HPN; EPHX2; SUGCT	0.121501557714017
37	Minor_Salivary_Gland	18	1283	8531	77	9814	0.00916992888407675	C5orf38; TCIM; TCEA3; ADM2; TFF3; HTR3A; IRX3; DNAH5; INHBB; ARG2; SCNN1B; SIDT1; SLC28A3; SLC2A9; ; CPD; SCNN1G; LINC00160	0.121501557714017
44	Skin_Not_Sun_Exposed_.Suprapubic.	15	1210	8604	77	9814	0.0470305187777435	C5orf38; AHNAK2; IRX3; ALOX15B; PPP1R14C; OR7C1; SCNN1B; SLC28A3; IL31RA; ; TRERF1; TACC2; SCNN1G; WFDC12; EPHX2	0.423324676968508
29	Esophagus_Mucosa	16	1319	8495	77	9814	0.0479235483360575	AHNAK2; ADM2; CHAC1; IRX3; KRT6A; SESN2; ALOX15B; ARG2; SCNN1B; SLC28A3; SLC2A9; ; TRERF1; SCNN1G; LINC00160; WFDC12	0.423324676968508
36	Lung	15	1271	8543	77	9814	0.067037945076208	C5orf38; C6orf223; TCIM; EGFL7; FLRT3; TREM1; DNAH5; ALOX15B; SFTPD; SLC2A9; ; CPD; SCNN1G; ZNF385B; HACD4	0.507573012719861
53	Whole_Blood	8	616	9198	77	9814	0.108788079942398	YPEL3; TREM1; RIPOR2; ; CPD; PRLH; PAEP; HACD4	0.570062484602413
42	Pituitary	12	1051	8763	77	9814	0.117182085965859	SIMC1; DUSP8; DNAH5; GABARAP; DISP3; ARG2; OR7C1; SIDT1; ; SYT17; DNAJC12; EPHX2	0.570062484602413
48	Stomach	15	1395	8419	77	9814	0.124024058599081	C5orf38; SLC17A9; TCEA3; FLRT3; ADM2; HTR3A; HGD; PGC; SCNN1B; NUDT12; ; CPD; SCNN1G; ZNF385B; HPN	0.570062484602413
14	Brain_Frontal_Cortex_.BA9.	11	978	8836	77	9814	0.140907547507641	DUSP8; CARMIL2; YPEL3; DISP3; GFOD1; ; SYT17; SCAMP5; SLC1A4; GNAQ; SCN2B	0.570062484602413
45	Skin_Sun_Exposed_.Lower_leg.	13	1203	8611	77	9814	0.143330639400442	C5orf38; AHNAK2; IRX3; ALOX15B; PPP1R14C; OR7C1; SCNN1B; SLC28A3; IL31RA; ; TACC2; SCNN1G; WFDC12	0.570062484602413
