"ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","de_expression"
"ENSG00000168878","SFTPB",-8.85982945632704,10.3738100713428,86.1418218370986,1.67483118479774e-20,2.83331191532234e-16,-1
"ENSG00000168961","LGALS9",2.73001869681279,4.54395378593039,81.5747504283116,1.68756451821013e-19,1.42742644772804e-15,1
"ENSG00000142623","PADI1",4.38780740903023,2.54870148689889,66.6266950547213,3.28112505089734e-16,1.85022641620101e-12,1
"ENSG00000170298","LGALS9B",3.2799054402036,4.27950018550882,56.8857841563057,4.61872591620895e-14,1.95337465811267e-10,1
"ENSG00000255346","NOX5",5.47042035722337,3.80011939292634,55.3539524580781,1.00667248270176e-13,3.40597567797313e-10,1
"ENSG00000205403","CFI",3.87062762510747,5.57904446726952,52.1627239847357,5.10867507403928e-13,1.44039093712537e-09,1
"ENSG00000108821","COL1A1",1.6787210285082,6.82987643522099,51.0385547243513,9.05694455850844e-13,2.18880472994696e-09,1
"ENSG00000108950","FAM20A",4.35863329378631,5.66751313894714,50.5293978858454,1.17393078998583e-12,2.21111327509617e-09,1
"ENSG00000157110","RBPMS",2.65612313395011,6.06918837232597,50.5155462087441,1.18224566300025e-12,2.21111327509617e-09,1
"ENSG00000230937","MIR205HG",4.31954002740127,5.04372581705114,50.318617795514,1.30703628013015e-12,2.21111327509617e-09,1
"ENSG00000050438","SLC4A8",3.13970747416439,4.13110565101681,47.2449982297779,6.26456379550607e-12,9.63432961168874e-09,1
"ENSG00000168874","ATOH8",-3.81992780788479,1.58636766042494,44.4681996294836,2.58522495737773e-11,3.64452088366325e-08,-1
"ENSG00000141068","KSR1",1.96973841162337,3.97636955981602,43.8268876364531,3.58742605990034e-11,4.66834512733339e-08,1
"ENSG00000175170","FAM182B",2.23653136776943,3.18192462096057,43.6018778210332,4.02452686798355e-11,4.86306578754841e-08,1
"ENSG00000064787","BCAS1",1.91265446053891,5.65959651436275,43.3169505202186,4.6553316819703e-11,5.25028307092611e-08,1
"ENSG00000249942","",4.8723965733334,1.6013312882073,42.7299172224271,6.28437658843889e-11,6.6445499216638e-08,1
"ENSG00000130707","ASS1",-2.09972430017023,6.57179597849657,41.5446825781506,1.15207413622974e-10,1.14644930368227e-07,-1
"ENSG00000161798","AQP5",4.38242520160577,2.33277211012148,40.6535577132039,1.81756021817269e-10,1.7082036783793e-07,1
"ENSG00000125354","SEPTIN6",1.97246880913355,4.61991176460905,40.01918471297,2.51480797847649e-10,2.23910560904667e-07,1
"ENSG00000104368","PLAT",7.02778718303854,8.57020832982498,38.5501901368259,5.33635704082195e-10,4.51375760297925e-07,1
"ENSG00000160180","TFF3",-3.2484050413376,1.78197077173009,38.3398140972518,5.94375213419108e-10,4.57047522064138e-07,-1
"ENSG00000171992","SYNPO",-3.18808061331105,3.13664890004841,38.3740621950188,5.84035062959087e-10,4.57047522064138e-07,-1
"ENSG00000198691","ABCA4",4.76725696642788,7.23469531134867,37.79183635563,7.8710468102004e-10,5.78932603861566e-07,1
"ENSG00000088340","FER1L4",2.87954608089726,8.80029786088132,37.3709517726436,9.76660016594099e-10,6.73063961489023e-07,1
"ENSG00000184584","STING1",1.80592382287597,7.30539783038827,37.3353426810134,9.94656206019128e-10,6.73063961489023e-07,1
"ENSG00000162949","CAPN13",1.90919398509909,4.58374847040688,37.1668955734968,1.08439118068566e-09,7.05563292448436e-07,1
"ENSG00000127838","PNKD",-1.60089620677025,6.87880404629119,36.8888973013984,1.25056067581084e-09,7.55561962596142e-07,-1
"ENSG00000257732","",4.30343806583624,4.96561869717339,36.9302726657258,1.22430181064524e-09,7.55561962596142e-07,1
"ENSG00000171346","KRT15",1.36093241897359,8.51949369181771,36.5286946176635,1.50435286223746e-09,8.7755646105073e-07,1
"ENSG00000255248","MIR100HG",2.73588605574217,4.54398088622272,36.2412806763364,1.74338270334048e-09,9.83093506413696e-07,1
"ENSG00000171916","LGALS9C",3.63566610347768,1.65354398247576,35.9900050159775,1.98332272001194e-09,1.0823184017562e-06,1
"ENSG00000246203","",2.08733628672669,3.54881832447814,35.7965925835925,2.19030635197021e-09,1.15791914238375e-06,1
"ENSG00000185303","SFTPA2",4.68158481214478,10.7652848952412,35.3569352992871,2.74489412539442e-09,1.40713254300901e-06,1
"ENSG00000182866","LCK",4.30079611530646,3.9040616867559,34.8516459228097,3.55808640547855e-09,1.7703572859259e-06,1
"ENSG00000122852","SFTPA1",4.83900807069088,10.0768998551978,34.5782693612803,4.09451769870868e-09,1.92700166415324e-06,1
"ENSG00000183914","DNAH2",2.69359323163971,6.46437967461462,34.5753179244731,4.10073062064884e-09,1.92700166415324e-06,1
"ENSG00000168484","SFTPC",-4.73967341489548,2.58613576729596,34.4650926773423,4.33964671621039e-09,1.98415685130084e-06,-1
"ENSG00000058335","RASGRF1",2.87741236748761,3.13184198592944,33.9040268138767,5.78987416509489e-09,2.54690712796166e-06,1
"ENSG00000062282","DGAT2",-1.95101816471932,3.62678506317209,33.822313462028,6.03823172747809e-09,2.54690712796166e-06,-1
"ENSG00000099617","EFNA2",2.33554902266729,1.80531654897532,33.8007758763626,6.10545090104169e-09,2.54690712796166e-06,1
"ENSG00000132704","FCRL2",6.39062625347075,2.55778172891363,33.7794719998237,6.17267791253935e-09,2.54690712796166e-06,1
"ENSG00000172137","CALB2",2.21645893514318,3.05422040964142,33.6090466301617,6.73786267007547e-09,2.7139148283254e-06,1
"ENSG00000174501","ANKRD36C",4.32686999513084,10.1690065655949,33.5288091481644,7.02162156629289e-09,2.76243655899946e-06,1
"ENSG00000042980","ADAM28",2.66800263944602,4.685075732281,33.0260348597921,9.09330136090613e-09,3.49616770732839e-06,1
"ENSG00000089692","LAG3",4.31086462461456,3.41016436893843,32.9291687603191,9.55784041941215e-09,3.59311080833767e-06,1
"ENSG00000263368","",4.13019662842179,1.27743334563988,32.8789277684191,9.80806643006335e-09,3.60702303907351e-06,1
"ENSG00000226145","KRT16P6",3.54998231700939,3.39167671003238,32.8030627545989,1.01984033545399e-08,3.67077424571811e-06,1
"ENSG00000157657","ZNF618",2.94326106757804,5.04770949930638,32.6426971267002,1.10754774248426e-08,3.90341357491796e-06,1
"ENSG00000102362","SYTL4",1.90018300648824,6.43751532016461,32.5602024542783,1.15556920695373e-08,3.98954372939517e-06,1
"ENSG00000130775","THEMIS2",-1.48076416030751,5.29611557050022,32.1922096265777,1.3964957520902e-08,4.72490372762197e-06,-1
"ENSG00000147041","SYTL5",2.57996232794552,4.97769410618744,32.0707039278045,1.48662286441654e-08,4.93121548967345e-06,1
"ENSG00000132274","TRIM22",1.75081941178327,2.89916207911574,30.8995612158427,2.71733207818512e-08,8.84021283974187e-06,1
"ENSG00000141854","MISP3",-2.11880651087049,5.52175782017959,30.7079059167435,2.9994046993284e-08,9.39646838861824e-06,-1
"ENSG00000149927","DOC2A",1.99421857397067,6.10559413542644,30.711379644784,2.99403988920377e-08,9.39646838861824e-06,1
"ENSG00000217083","MTCO2P33",-6.16037160540758,1.50686086620955,30.6399224310228,3.10635829783896e-08,9.55459333173486e-06,-1
"ENSG00000165181","SHOC1",3.32489968375163,5.07960158945751,30.5261134101444,3.29402673428495e-08,9.95090183283901e-06,1
"ENSG00000128567","PODXL",1.69114805744527,3.76194224271261,30.3318938784585,3.64089719487019e-08,1.08057996220384e-05,1
