list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
53	Whole_Blood	98	616	9198	816	9814	1.15842623122302e-10	LGALS9; LGALS9B; ; LCK; FCRL2; LGALS9C; LAG3; TRIM22; ANKRD22; FCGR2A; AQP2; TFAP2D; KRT3; NA; PTAFR; NLRP12; IL7R; PSG6; AIM2; NCF4; LINC01800; IFITM2; RUFY4; IFITM1; BTN3A2; ARID5A; ADAM19; NLRC5; PAEP; CD6; LGALS2; CMTM7; PTPN6; GMFG; CD96; DHRS9; AZU1; LINC01588; CARD9; PFKFB4; MMP9; PRLH; DOK3; HSPA6; ARHGDIB; MZB1; ARHGAP9; SLC25A37; PIK3CD; HMGB2; RASGRP2; ITGB2; IL24; LIMK2; LY96; MAP2K6; PLCB2; OPRL1; IL1R2; LUCAT1; TCN1; FAM151A; PPM1M; IL12RB2; KIAA0040; E2F2; SH3TC1; MFNG; AREG; LRRC4; GPRC5D; PFKFB3; TIGD3; SIGLEC15; MYBL1; APOBEC3B; MGAM2; PSMB8-AS1; TLR2; FCMR; KCNAB2; ARHGAP30; ARHGAP27; ITGAL; GPR132; GPR183; NABP1; TRIM25; MCTP2; SH3BP1; STAT4; TSPAN32; ADAM8; FXYD5; SPNS3; SSH2; RAB37; NUP210	6.139659025482e-09
47	Spleen	136	1136	8678	816	9814	3.81107742984674e-06	LGALS9; NOX5; ; STING1; LCK; FCRL2; ADAM28; LAG3; TRIM22; IFI16; SULT1A1; MANCR; NA; PTAFR; LINC01547; IL7R; SCN9A; ARHGEF40; AIM2; LINC00705; ODF2L; NCF4; LINC01800; RUFY4; IFITM1; BTN3A2; ADAM19; NLRC5; NFATC2; NOS3; CD6; CMTM7; CARMIL2; MCUB; PTPN6; GMFG; DNMT3A; GSDMC; P2RY6; CD96; PLAU; AZU1; LINC01588; IKBKB; CARD9; MMP9; DOK3; WSB1; CDK3; KANK3; NCOA5; EML4; APOBEC3C; ARHGDIB; MZB1; EVA1A; ARHGAP9; P3H2; PIK3CD; HMGB2; TM4SF18; BATF3; RASGRP2; ITGB2; IL24; PTPRH; LY96; PLCB2; NAA40; LIG1; BACH2; PHYKPL; OSBPL3; LINC01116; TERT; PPM1M; GDPD5; KIAA0040; E2F2; RALGPS2; ZNF600; SH3TC1; ADM5; MFNG; ST6GAL1; ABRACL; TRIB2; ZNF124; SIGLEC15; ZBTB40; GEN1; PLEKHG5; MYBL1; APOL1; C2CD2; JDP2; DOCK10; APOBEC3B; ERAP2; PSMB8-AS1; TLR2; FCMR; ARHGAP30; ARHGAP27; MOV10; ITGAL; IER5; CEP128; GPR132; GPR183; NABP1; ACIN1; TRIM25; PGBD2; SLC26A11; MCTP2; SH3BP1; STAT4; AIF1L; POLD1; PLEKHG1; TSPAN32; ADAM8; ANKLE1; PCGF3; BTN3A3; IFFO1; FXYD5; SPNS3; SSH2; EWSR1; MTRF1; NASP; SLFN11; SRSF2; NUP210	7.47373433558514e-05
52	Vagina	139	1169	8645	816	9814	4.23041566165196e-06	PADI1; LGALS9B; COL1A1; MIR205HG; ; STING1; PLAT; KRT15; ANKRD22; MANCR; SH3PXD2A; PRDM8; RHOV; CACNB3; SELP; TPRG1; NPR2; KRT3; MEX3A; NA; WNT16; MUC4; SPTSSB; HAS3; PLEKHG3; LINC00705; ADGRF1; LINC01214; SCEL; ATG9B; IFITM1; MUC20; GALNT5; TROAP; IQGAP3; TGM5; MCUB; PYROXD2; GSDMC; RHBDL2; IKBKB; ANXA1; CRISPLD2; C11orf95; NINL; CHEK2; MEIS1; WSB1; ELF3; CDK3; TICRR; SLC2A9; P3H2; ESPL1; ETV4; CCDC102A; TMEM39B; LIMK2; RBBP8NL; DDAH2; HES1; LIG1; CHD3; PTPRS; PLEKHA5; WDR27; OSBPL3; C1R; FRG2C; CDH3; PHF19; RUNX2; MELTF; PPM1M; LINC01983; GRHL3; PRICKLE2; NYNRIN; LAMA3; E2F2; RALGPS2; ZNF600; XXYLT1; MALT1; TMPRSS11D; NR2F1; MRC2; IGFL1; ADAMTS10; CMTM3; ZNF726; GEN1; EVPL; NRM; APOL1; ZNF300; PTPN13; LGI4; LINC02614; COL6A1; ARHGAP27; MOV10; PTK7; ITGB6; GNA14; INVS; NUMBL; ACIN1; GAL3ST4; PGBD2; COL24A1; ABCA12; NDC80; PCSK5; AMT; EPB41L4A; SH3BP1; ITGB4; CENPW; ERBB3; PHLDA1; KRT78; MEIS2; KRTDAP; KLK14; PCOLCE; HHAT; RASAL2; EPHA2; FXYD5; PLA2G4D; OGFRP1; SERINC5; AQP3; PLCB3; ITGA2; CTSV; HOXD3; PBX1	7.47373433558514e-05
36	Lung	148	1271	8543	816	9814	6.3319555940264e-06	LGALS9; FAM20A; ; STING1; PLAT; SFTPA2; SFTPA1; DNAH2; PODXL; TRIM22; LINC02577; IFI16; FCGR2A; SULT1A1; TMC5; SPOCD1; SELP; NOD1; NA; PTAFR; IL7R; ODF2L; IL7; IL1RL1; IDO1; BMP5; BTN3A2; ARID5A; ADAM19; NLRC5; GALNT5; CD6; CMTM7; SOCS3; MECOM; FGFR4; PTPN6; ARHGEF38; GMFG; PLEKHG2; CD96; GRK5; AZU1; IKBKB; CARD9; RGCC; PPFIBP1; CRISPLD2; PICART1; SMURF2; MEIS1; DNAH5; WSB1; ELF3; KANK3; CPNE2; SLC2A9; EML4; GPR68; DNAJB13; EVA1A; DNAH11; P3H2; PIK3C2B; BATF3; ITGB2; NOSTRIN; C2orf91; LIMK2; KIFC3; LY96; PLCB2; BACH2; CCDC68; WARS1; ESAM; TEAD2; LUCAT1; LUZP1; PPM1M; SERPINH1; LAMA3; KIAA0040; SH3TC1; MFNG; NR2F1; AREG; MRC2; CFAP52; ARSJ; MIR4435-2HG; CMTM3; NRM; APOL1; KIAA1549; LXN; ARHGAP29; WDR49; JDP2; LTK; ERAP2; FNIP2; PSMB8-AS1; TLR2; ARHGAP30; ARHGAP27; MOV10; PTK7; SOX4; ITGAL; ITGB6; IER5; GNA14; CX3CL1; CCDC153; PRR29; PLEKHH2; DLL4; GPR183; NABP1; IL1R1; TRIM25; ITGA3; SLC26A11; CD274; MCTP2; EPB41L4A; STAT4; MFSD10; RALGAPA2; POLD1; PHLDA1; PLEKHG1; DGKH; TSPAN32; MAML2; NOL4L; ADAM8; HDAC7; BTN3A3; FXYD5; SSH2; TNFSF15; SLCO2A1; GRIN3B; SLFN11; DRC3; ITGA2	8.38984116208498e-05
31	Fallopian_Tube	138	1183	8631	816	9814	1.27399097965647e-05	CFI; FAM20A; ; STING1; PLAT; DNAH2; ZNF618; LAG3; PODXL; SH3PXD2A; SELP; NPR2; MEX3A; NA; PLEKHG3; ODF2L; HOXB3; CCDC74A; DBN1; C1RL; ID3; IFITM1; MUC20; TRIM45; PAEP; ACP6; SPATA6L; SOCS3; PLXNB1; KRTCAP2; TRANK1; PLEKHG2; KIAA0825; NGF; CARD9; CRISPLD2; C11orf95; WDR54; MEIS1; DNAH5; CDK3; CAPN12; GPR161; NCOA5; APOBEC3C; REC8; DNAJB13; C1QTNF6; CCDC189; DNAH11; RNF207; AMIGO2; MYLIP; CCDC102A; TMEM39B; KCNC3; DTX3; C20orf96; DDAH2; CCDC74B; CHD3; PTPRS; PHYKPL; TTLL10; WDR27; SYNGAP1; TEAD2; LINC01116; C1R; CDH3; PHF19; MELTF; PRICKLE2; NYNRIN; LAMA3; RALGPS2; DNAAF3; ZNF594; XXYLT1; IFT88; STON1; ADM5; NR2F1; MRC2; CFAP52; ADAMTS10; PCDHB13; CCDC148; ZBTB40; ZNF43; PHC1; NRM; LXN; LINC01376; WDR49; IQCN; LINC02614; WDR6; COL6A1; ZNF609; MOV10; PTK7; IER5; KIAA0895L; RIBC2; CCDC153; PRR29; PLEKHH2; CEP128; MOK; SPEF1; NUMBL; ACIN1; SRF; HYI; AMT; WFDC2; MFSD10; MEIS2; PPP1R10; RAB36; PCOLCE; LRRC56; CBX7; HDAC7; SCMH1; IFFO1; OGFRP1; GRIN3B; IKZF4; NASP; SLFN11; C2orf66; PLCB3; DRC3; FOXK1; HOXD3; PBX1	0.000114154992624653
29	Esophagus_Mucosa	151	1319	8495	816	9814	1.29232067122248e-05	PADI1; LGALS9B; MIR205HG; ; KRT15; LGALS9C; ANKRD22; TIAM1; MANCR; RHOV; ACOT11; TPRG1; FOSL1; KRT3; SOX2; B3GNT6; NA; MUC4; HAS3; EXPH5; ADGRF1; LINC01214; SCEL; ATG9B; MUC20; CENPE; GALNT5; TROAP; HELLS; IQGAP3; TGM5; MECOM; FANCI; CYP24A1; GSDMC; FANCA; RHBDL2; DHRS9; GTSE1; LINC01588; ANXA1; KIF20B; CHEK2; AURKB; ELF3; TICRR; SMC4; SGO1; KIF18B; CDCA3; CHAC1; SLC2A9; GPR68; TOP2A; ESPL1; HJURP; ETV4; RNF43; CENPF; LIMK2; ST6GALNAC1; RBBP8NL; HES1; CENPK; ASPM; CEACAM5; TMPRSS2; OSBPL3; KIF14; TCN1; CDH3; KIF15; LINC01983; GRHL3; KNL1; DEPDC1B; E2F2; RALGPS2; PLEK2; CDC25C; RAD54L; XXYLT1; SH3TC1; MALT1; POLQ; SCIN; TMPRSS11D; ABRACL; AREG; NUF2; PCLAF; IGFL1; ACOX1; GALR2; LINC01559; KIF20A; IL36RN; ZNF726; GEN1; MTFR2; EVPL; DIAPH3; LINC01572; SKA3; KIF2C; PTPN13; ZWINT; STK38; BCL11B; ARHGAP27; PTK7; TK1; CDC45; KNTC1; ITGB6; IER5; CDKN2A; PGBD2; NDC80; EPB41L4A; SH3BP1; ITGB4; CENPW; AIF1L; ERBB3; PHLDA1; KRT78; IL22RA1; EZH2; SAPCD2; ENTPD3; PLK4; CENPU; PPARGC1B; RASAL2; EPHA2; ABCC1; PRC1; TNFSF15; CSRP2; OGFRP1; SERINC5; NCAPG; PTTG1; AQP3; PLCB3; ITGA2; ULK3; CTSV; KIAA1217; ORC6	0.000114154992624653
17	Brain_Nucleus_accumbens_.basal_ganglia.	105	890	8924	816	9814	0.000103428739963164	BCAS1; ; RASGRF1; DNAH2; PRTFDC1; TIAM1; PPFIA4; TUBB3; PLCB1; SOX2; ENO2; NA; SCN1A; OBSCN-AS1; TMOD2; DNM3; SLC7A11; PCDH9; AGPAT4; HS3ST5; STRIP2; ASIC1; ARHGAP33; FAXC; CARMIL2; LINC01597; FBLL1; NRGN; NDRG4; ATAT1; MPP2; ENC1; TMEM145; KIF3C; RGS17; NDRG2; TMEM132A; CIT; CLSTN3; PGM2L1; AP4S1; LY6G5C; CCDC88A; RPS6KL1; GPR137C; FMNL2; C12orf76; NTRK2; MMP24; AGAP2; CXXC4; OPRL1; TMEM178A; PTPRZ1; TMCC2; FRMD5; GAD1; RNFT2; SYNGAP1; STMN3; MAP4K4; CSPG5; SYT5; CNIH2; SH2D5; SHF; ITPKB; DLX1; SLC10A5; DDN; POU3F2; LRRC4; CALB1; GPR19; VSNL1; EFR3B; PYDC1; NGEF; BRSK1; MSANTD1; MCTP1; WDR49; RASGEF1A; OMG; LINC00205; PCNX2; BCL11B; KCNAB2; ATL1; IDNK; SPEF1; BTBD9; SLC18B1; NHLH1; NECAB2; DGKH; MEIS2; ENTPD3; ARFGEF3; MARCKSL1; KIAA0319; SEPTIN5; PASK; ANKRD13B; GPR83	0.000734729492342344
15	Brain_Hippocampus	110	943	8871	816	9814	0.000110902564881863	SLC4A8; BCAS1; ; RASGRF1; DOC2A; PRTFDC1; TIAM1; PPFIA4; TUBB3; CACNB3; PLCB1; SOX2; ENO2; NA; SCN1A; TMOD2; DNM3; PCDH9; AGPAT4; HS3ST5; ASIC1; CARMIL2; LINC01597; FBLL1; NRGN; NDRG4; ATAT1; MPP2; ENC1; TMEM145; KIF3C; NDRG2; TMEM132A; CIT; CLSTN3; PGM2L1; MEPE; SLC17A7; AP4S1; CPNE2; CCDC88A; RPS6KL1; GPR137C; CNGB1; FA2H; FMNL2; C12orf76; NTRK2; MMP24; AGAP2; CXXC4; TMEM178A; PTPRZ1; TMCC2; FRMD5; GAD1; RNFT2; SYNGAP1; STMN3; IFT80; MAP4K4; CDK18; CSPG5; FIBCD1; SYT5; CNIH2; SH2D5; SLC5A11; ITPKB; DLX1; DDN; POU3F2; LRRC4; GPR19; VSNL1; EFR3B; SYT17; NGEF; ADD3; BRSK1; VSTM5; KIAA1549; WDR49; DOCK10; RASGEF1A; OMG; LINC00205; PCNX2; KCNAB2; ATL1; IDNK; SPEF1; BTBD9; SLC18B1; BDNF; NHLH1; AIF1L; NECAB2; SAPCD2; GRM2; ARFGEF3; MARCKSL1; KIAA0319; SEPTIN5; RAB15; MADD; ADAM11; ANKRD13B; GPR83; TMC7	0.000734729492342344
16	Brain_Hypothalamus	106	915	8899	816	9814	0.000195956564682882	SLC4A8; BCAS1; ; RASGRF1; CALB2; DOC2A; PRTFDC1; PPFIA4; TUBB3; SOX2; ENO2; NA; SCN9A; SCN1A; TMOD2; DNM3; PCDH9; AGPAT4; HS3ST5; VAMP1; ASIC1; FBXL2; FAXC; GPR3; LINC01597; FBLL1; NRGN; NDRG4; ATAT1; MPP2; ENC1; TMEM145; KIF3C; SLF1; HCN3; RGS17; NDRG2; ACYP1; TMEM132A; CIT; CLSTN3; PGM2L1; AP4S1; CPNE2; ALK; CCDC88A; RPS6KL1; GPR137C; CNGB1; FMNL2; C12orf76; NTRK2; MMP24; AGAP2; CXXC4; OPRL1; TMEM178A; PTPRZ1; TMCC2; FRMD5; GAD1; RNFT2; STMN3; MAP4K4; CDK18; CSPG5; SYT5; CNIH2; SH2D5; SHF; SLC5A11; ITPKB; DLX1; SLC10A5; POU3F2; LRRC4; CALB1; GPR19; VSNL1; EFR3B; SYT17; BRSK1; MSANTD1; VSTM5; KIAA1549; WDR49; RASGEF1A; OMG; LINC00205; KCNAB2; ATL1; NTNG1; IDNK; BTBD9; SLC18B1; SLC26A11; NHLH1; NECAB2; SAPCD2; ARFGEF3; MARCKSL1; KIAA0319; RAB15; MADD; ADAM11; GPR83	0.00115396643646586
9	Brain_Anterior_cingulate_cortex_.BA24.	109	962	8852	816	9814	0.000373011924913418	BCAS1; ; RASGRF1; DOC2A; PRTFDC1; PPFIA4; TUBB3; CACNB3; PLCB1; SOX2; ENO2; NA; SCN1A; TMOD2; DNM3; SLC7A11; PCDH9; AGPAT4; HS3ST5; ASIC1; FBXL2; ARHGAP33; FAXC; CARMIL2; LINC01597; FBLL1; NRGN; NDRG4; ATAT1; MPP2; ENC1; TMEM145; KIF3C; NDRG2; ACYP1; TMEM132A; CIT; CLSTN3; PGM2L1; MEPE; SLC17A7; AP4S1; AKAP6; ALK; CCDC88A; RPS6KL1; GPR137C; CNGB1; C12orf76; NTRK2; MMP24; AGAP2; CXXC4; OPRL1; TMEM178A; PTPRZ1; TMCC2; FRMD5; GAD1; RNFT2; SYNGAP1; STMN3; CSPG5; RAP1GAP2; SYT5; CNIH2; SH2D5; SHF; SLC5A11; DLX1; DDN; POU3F2; LRRC4; GPR19; VSNL1; EFR3B; SYT17; SATB1; NGEF; BRSK1; VSTM5; KIAA1549; RASGEF1A; KCNAB3; OMG; LINC00205; PCNX2; KCNAB2; ATL1; NTNG1; IDNK; NREP; BTBD9; SLC18B1; KALRN; NHLH1; NECAB2; SAPCD2; ENTPD3; GRM2; ARFGEF3; MARCKSL1; KIAA0319; SEPTIN5; RAB15; MADD; ADAM11; ANKRD13B; GPR83	0.00197696320204111
