,list_name,successInSample_count,sample_count,notSample_count,success_count,population_count,pvalue,successInSampleGenes,FDR
41,Pancreas,3,589,9225,8,9814,0.00959443793351161,CAPN13; FGL1; PAEP,0.508505210476115
53,Whole_Blood,2,616,9198,8,9814,0.0855984381088341,GNLY; PAEP,1
15,Brain_Hippocampus,2,943,8871,8,9814,0.175280394227402,GAL3ST1; TUBB3,1
20,Brain_Substantia_nigra,2,981,8833,8,9814,0.186728408628254,GAL3ST1; TUBB3,1
19,Brain_Spinal_cord_.cervical_c.1.,2,1029,8785,8,9814,0.20140015414781,GAL3ST1; TUBB3,1
35,Liver,2,1064,8750,8,9814,0.212229474320978,FGL1; EFNA2,1
46,Small_Intestine_Terminal_Ileum,2,1249,8565,8,9814,0.270808909980702,CAPN13; EFNA2,1
27,Colon_Transverse,2,1445,8369,8,9814,0.334069619306332,CAPN13; EFNA2,1
17,Brain_Nucleus_accumbens_.basal_ganglia.,1,890,8924,8,9814,0.532712220294692,TUBB3,1
16,Brain_Hypothalamus,1,915,8899,8,9814,0.543086747452984,TUBB3,1
18,Brain_Putamen_.basal_ganglia.,1,917,8897,8,9814,0.543907933702535,TUBB3,1
10,Brain_Caudate_.basal_ganglia.,1,919,8895,8,9814,0.544727828271222,TUBB3,1
8,Brain_Amygdala,1,929,8885,8,9814,0.548807986799194,TUBB3,1
9,Brain_Anterior_cingulate_cortex_.BA24.,1,962,8852,8,9814,0.562046417572001,TUBB3,1
14,Brain_Frontal_Cortex_.BA9.,1,978,8836,8,9814,0.568341785669335,TUBB3,1
13,Brain_Cortex,1,982,8832,8,9814,0.569903199667409,TUBB3,1
12,Brain_Cerebellum,1,1048,8766,8,9814,0.594962637016745,TUBB3,1
11,Brain_Cerebellar_Hemisphere,1,1057,8757,8,9814,0.59827882204102,TUBB3,1
24,Cervix_Ectocervix,1,1148,8666,8,9814,0.630497979703656,KRT78,1
52,Vagina,1,1169,8645,8,9814,0.63760357062594,KRT78,1
31,Fallopian_Tube,1,1183,8631,8,9814,0.642273940149981,PAEP,1
45,Skin_Sun_Exposed_.Lower_leg.,1,1203,8611,8,9814,0.648854517324071,KRT78,1
44,Skin_Not_Sun_Exposed_.Suprapubic.,1,1210,8604,8,9814,0.651132561845494,KRT78,1
34,Kidney_Cortex,1,1273,8541,8,9814,0.671060092267157,GAL3ST1,1
29,Esophagus_Mucosa,1,1319,8495,8,9814,0.68497418564194,KRT78,1
39,Nerve_Tibial,1,1339,8475,8,9814,0.690861317138652,GAL3ST1,1
48,Stomach,1,1395,8419,8,9814,0.706836280115959,CAPN13,1
51,Uterus,1,1477,8337,8,9814,0.728924451884803,PAEP,1
1,Adipose_Subcutaneous,0,1336,8478,8,9814,1,,1
2,Adipose_Visceral_.Omentum.,0,1258,8556,8,9814,1,,1
3,Adrenal_Gland,0,1519,8295,8,9814,1,,1
4,Artery_Aorta,0,1346,8468,8,9814,1,,1
5,Artery_Coronary,0,1339,8475,8,9814,1,,1
6,Artery_Tibial,0,1475,8339,8,9814,1,,1
7,Bladder,0,1390,8424,8,9814,1,,1
21,Breast_Mammary_Tissue,0,1345,8469,8,9814,1,,1
22,Cells_EBV.transformed_lymphocytes,0,1506,8308,8,9814,1,,1
23,Cells_Transformed_fibroblasts,0,1598,8216,8,9814,1,,1
25,Cervix_Endocervix,0,1283,8531,8,9814,1,,1
26,Colon_Sigmoid,0,1429,8385,8,9814,1,,1
28,Esophagus_Gastroesophageal_Junction,0,1441,8373,8,9814,1,,1
30,Esophagus_Muscularis,0,1478,8336,8,9814,1,,1
32,Heart_Atrial_Appendage,0,1173,8641,8,9814,1,,1
33,Heart_Left_Ventricle,0,1346,8468,8,9814,1,,1
36,Lung,0,1271,8543,8,9814,1,,1
37,Minor_Salivary_Gland,0,1283,8531,8,9814,1,,1
38,Muscle_Skeletal,0,1402,8412,8,9814,1,,1
40,Ovary,0,1335,8479,8,9814,1,,1
42,Pituitary,0,1051,8763,8,9814,1,,1
43,Prostate,0,1278,8536,8,9814,1,,1
47,Spleen,0,1136,8678,8,9814,1,,1
49,Testis,0,298,9516,8,9814,1,,1
50,Thyroid,0,1400,8414,8,9814,1,,1
