list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
35	Liver	23	1064	8750	94	9814	0.00012979184311177	TCIM; SLC17A9; ETNK2; TCEA3; PCK2; ADM2; DHRS3; CHAC1; ; HGD; DNAH5; SESN2; SULT1A1; SLC2A9; NUDT12; SYT17; DNAJC12; ZNF385B; METTL7A; HPN; EPHX2; SUGCT; ARID3C	0.00351916349182202
41	Pancreas	16	589	9225	94	9814	0.000132798622332906	TCEA3; ADM2; HTR3A; CHAC1; ; HGD; DNAH5; DAPK1; GRB10; SLC28A3; PRLH; DNAJC12; SLC1A4; PAEP; HPN; EPHX2	0.00351916349182202
37	Minor_Salivary_Gland	21	1283	8531	94	9814	0.00883688597315101	C5orf38; TCIM; TCEA3; ADM2; TFF3; HTR3A; IRX3; ; DNAH5; INHBB; ARG2; SCNN1B; SIDT1; SLC28A3; NECTIN4; SLC2A9; TSPAN1; CPD; SCNN1G; LINC00160; C11orf16	0.156118318859001
36	Lung	20	1271	8543	94	9814	0.0160914226046585	C5orf38; C6orf223; TCIM; LGALS9; EGFL7; FLRT3; PDLIM2; TREM1; ; DNAH5; ALOX15B; DAPK1; SFTPD; SULT1A1; SLC2A9; CPD; SCNN1G; ZNF385B; C11orf16; HACD4	0.171633428711259
34	Kidney_Cortex	20	1273	8541	94	9814	0.016349883670402	C5orf38; C6orf223; TCIM; ETNK2; PCK2; FLRT3; ADM2; ; HGD; SESN2; GABARAP; DAPK1; ARG2; SLC2A9; TSPAN1; SCNN1G; GAL3ST1; HPN; EPHX2; SUGCT	0.171633428711259
44	Skin_Not_Sun_Exposed_.Suprapubic.	19	1210	8604	94	9814	0.0194301994767463	C5orf38; KRT78; AHNAK2; PDLIM2; IRX3; ; ALOX15B; PPP1R14C; OR7C1; SCNN1B; SLC28A3; IL31RA; NECTIN4; S100A3; TRERF1; TACC2; SCNN1G; WFDC12; EPHX2	0.171633428711259
29	Esophagus_Mucosa	20	1319	8495	94	9814	0.0232620502729964	KRT78; AHNAK2; ADM2; PDLIM2; CHAC1; IRX3; ; KRT6A; SESN2; ALOX15B; ARG2; SCNN1B; SLC28A3; NECTIN4; SLC2A9; S100A3; TRERF1; SCNN1G; LINC00160; WFDC12	0.176126952066973
45	Skin_Sun_Exposed_.Lower_leg.	17	1203	8611	94	9814	0.0633341447987916	C5orf38; KRT78; AHNAK2; PDLIM2; IRX3; ; ALOX15B; PPP1R14C; OR7C1; SCNN1B; SLC28A3; IL31RA; NECTIN4; S100A3; TACC2; SCNN1G; WFDC12	0.357367333358539
48	Stomach	19	1395	8419	94	9814	0.0683802189289188	C5orf38; LGALS9; SLC17A9; TCEA3; FLRT3; ADM2; HTR3A; ; HGD; DAPK1; PGC; SCNN1B; TSPAN1; NUDT12; CPD; SCNN1G; ZNF385B; METTL7A; HPN	0.357367333358539
53	Whole_Blood	10	616	9198	94	9814	0.0697140289919789	LGALS9; YPEL3; TREM1; ; LRRC4; RIPOR2; CPD; PRLH; PAEP; HACD4	0.357367333358539
42	Pituitary	15	1051	8763	94	9814	0.0741705786215836	SIMC1; DUSP8; KRBA1; ; DNAH5; GABARAP; DAPK1; DISP3; ARG2; OR7C1; SIDT1; SYT17; DNAJC12; EPHX2; C11orf16	0.357367333358539
52	Vagina	15	1169	8645	94	9814	0.145688412955086	KRT78; ETNK2; AHNAK2; DHRS3; PDLIM2; ; KRT6A; ALOX15B; SCNN1B; NECTIN4; SLC2A9; TRERF1; SCNN1G; LINC00160; WFDC12	0.643457157218295
12	Brain_Cerebellum	13	1048	8766	94	9814	0.2001740071758	CALB2; DUSP8; YPEL3; ; ZNF34; GFOD1; LRRC4; SIDT1; DNAJC12; SCAMP5; ZNF385B; PTCH1; SCN2B	0.698664442157376
11	Brain_Cerebellar_Hemisphere	13	1057	8757	94	9814	0.208688511216929	CALB2; DUSP8; YPEL3; ; ZNF34; GFOD1; LRRC4; SIDT1; DNAJC12; SCAMP5; ZNF385B; PTCH1; SCN2B	0.698664442157376
14	Brain_Frontal_Cortex_.BA9.	12	978	8836	94	9814	0.223892152310899	DUSP8; CARMIL2; YPEL3; ; DISP3; GFOD1; LRRC4; SYT17; SCAMP5; SLC1A4; GNAQ; SCN2B	0.698664442157376
13	Brain_Cortex	12	982	8832	94	9814	0.228026940382632	DUSP8; CARMIL2; YPEL3; ZNF358; ; DISP3; GFOD1; LRRC4; SYT17; SCAMP5; SLC1A4; SCN2B	0.698664442157376
32	Heart_Atrial_Appendage	14	1173	8641	94	9814	0.228788068696241	C6orf223; TCIM; EGFL7; KRBA1; ZNF358; ; GRB10; PPP1R14C; GFOD1; SLC2A9; BLM; TACC2; PRLH; ZNF385B	0.698664442157376
43	Prostate	15	1278	8536	94	9814	0.237282263374203	ELOVL5; FLRT3; DHRS3; ; HGD; DNAH5; ALOX15B; ARG2; OR7C1; GPR161; SLC2A9; TSPAN1; TRERF1; SCNN1G; EPHX2	0.698664442157376
8	Brain_Amygdala	11	929	8885	94	9814	0.274623657328205	DUSP8; CARMIL2; ; DISP3; LRRC4; SYT17; DNAJC12; SCAMP5; SLC1A4; GNAQ; SCN2B	0.766055465178678
9	Brain_Anterior_cingulate_cortex_.BA24.	11	962	8852	94	9814	0.314001219510955	DUSP8; CARMIL2; ZNF358; ; DISP3; LRRC4; SYT17; SCAMP5; SLC1A4; GNAQ; SCN2B	0.793569531232345
20	Brain_Substantia_nigra	11	981	8833	94	9814	0.337321301911767	; DISP3; LRRC4; BOLA2B; SYT17; DNAJC12; SCAMP5; GAL3ST1; SLC1A4; GNAQ; SCN2B	0.793569531232345
17	Brain_Nucleus_accumbens_.basal_ganglia.	10	890	8924	94	9814	0.346732951825017	DUSP8; CARMIL2; ; DISP3; LRRC4; DNAJC12; SCAMP5; SLC1A4; GNAQ; SCN2B	0.793569531232345
18	Brain_Putamen_.basal_ganglia.	10	917	8897	94	9814	0.38230024123226	DUSP8; CARMIL2; ; DISP3; LRRC4; DNAJC12; SCAMP5; SLC1A4; GNAQ; SCN2B	0.793569531232345
10	Brain_Caudate_.basal_ganglia.	10	919	8895	94	9814	0.384953125208857	DUSP8; CARMIL2; ; DISP3; LRRC4; SYT17; SCAMP5; SLC1A4; GNAQ; SCN2B	0.793569531232345
47	Spleen	12	1136	8678	94	9814	0.405305337449831	LGALS9; SLC17A9; EGFL7; CARMIL2; YPEL3; PDLIM2; ; GRB10; RAI14; SIDT1; SULT1A1; RIPOR2	0.793569531232345
27	Colon_Transverse	15	1445	8369	94	9814	0.410858309448065	LGALS9; TCEA3; PCK2; NEK3; TFF3; HTR3A; ; SCNN1B; BOLA2B; SULT1A1; TSPAN1; NUDT12; SCNN1G; CALML4; EPHX2	0.793569531232345
15	Brain_Hippocampus	10	943	8871	94	9814	0.41689861481999	DUSP8; CARMIL2; ; DISP3; LRRC4; SYT17; SCAMP5; GAL3ST1; GNAQ; SCN2B	0.793569531232345
46	Small_Intestine_Terminal_Ileum	13	1249	8565	94	9814	0.41924428065105	LGALS9; PCK2; CARMIL2; NEK3; TFF3; HTR3A; ; SIDT1; SULT1A1; SLC2A9; TSPAN1; CALML4; EPHX2	0.793569531232345
38	Muscle_Skeletal	14	1402	8412	94	9814	0.477662410069897	PRKG1; TCEA3; ZNF358; TBX15; CHAC1; ; ARG2; GRB10; PPP1R14C; FKBP5; TACC2; SPEG; LINC00160; ZNF385B	0.851979440012618
