,list_name,successInSample_count,sample_count,notSample_count,success_count,population_count,pvalue,successInSampleGenes,FDR
36,Lung,234,1271,8543,1180,9814,7.46499693825314e-13,SFTPB; LGALS9; FAM20A; PNKD; ; STING1; PLAT; SFTPA2; SFTPA1; THEMIS2; SFTPC; DNAH2; PODXL; TRIM22; TCIM; LINC02577; IFI16; FCGR2A; SULT1A1; NA; TMC5; SPOCD1; SELP; IL32; NOD1; C5orf38; ZNF467; FAM177A1; PTAFR; FSTL3; IL7R; GADD45B; ODF2L; IL7; IL1RL1; IDO1; BMP5; C16orf89; BTN3A2; ARID5A; ADAM19; NLRC5; ARRDC2; CCL20; GALNT5; CD6; CMTM7; SOCS3; MECOM; FGFR4; PTPN6; ARHGEF38; GMFG; PLXNA2; KRT7; PLEKHG2; HPCAL1; CD96; SFTA2; CXCL1; GRK5; MSLN; AZU1; IKBKB; VAMP8; CARD9; RGCC; PPFIBP1; CRISPLD2; TMEM104; TMEM150A; PICART1; SMURF2; MEIS1; DNAH5; WSB1; VAMP5; SLC39A7; ELF3; KANK3; MACROD2; IL27RA; BMP2; CPNE2; SLC2A9; CTSD; EML4; GPR68; DNAJB13; EVA1A; TREM1; DNAH11; P3H2; PIK3C2B; RP1; BATF3; ITGB2; GCHFR; NOSTRIN; CEBPB; C2orf91; LIMK2; KIFC3; LY96; HOPX; PLCB2; BACH2; F2RL3; CCDC68; UVSSA; WARS1; ESAM; ARRDC1; NAGLU; TEAD2; PIM3; LUCAT1; LUZP1; PPM1M; SERPINH1; EXOC3L1; LAMA3; KIAA0040; BLVRA; SYS1; TCN2; ZFP36L2; VIPR1; BLVRB; SH3TC1; FLVCR2; SPTSSA; MFNG; NR2F1; AREG; MRC2; RNF135; CFAP52; TYMP; SUSD2; PTPRM; EFNB2; ARSJ; MIR4435-2HG; SLC7A7; CMTM3; GPR153; SUMF2; CFLAR; HM13; CSF2; TNFAIP2; CEP70; CXCL3; NRM; APOL1; KIAA1549; MACC1; LXN; ARHGAP29; WDR49; JDP2; LTK; FTL; PAG1; ERAP2; FNIP2; PSMB8-AS1; CHFR; TLR2; ADGRE5; ARHGAP30; ARHGAP27; MOV10; PTK7; PDGFB; OTULINL; SARS1; SOX4; ITGAL; PTGER1; ITGB6; IER5; SDC4; GNA14; CX3CL1; CCDC153; PRR29; PLEKHH2; DLL4; GPR183; SCNN1A; NABP1; IL1R1; TRIM25; SEC61A1; ITGA3; SLC26A11; CPAMD8; CD274; MCTP2; MFSD2A; EPB41L4A; ECE1; STAT4; MFSD10; RALGAPA2; POLD1; PHLDA1; PLEKHG1; DGKH; TSPAN32; MAML2; NOL4L; EMP2; ADAM8; KLF6; ADAM15; LACTB; HDAC7; NEDD9; BTN3A3; FXYD5; SSH2; TNFSF15; SLCO2A1; GRIN3B; LINC01644; SLFN11; LY6E; DRC3; ITGA2; ALOX15B; SCNN1G,3.95644837727417e-11
53,Whole_Blood,122,616,9198,1180,9814,7.07051020396481e-09,LGALS9; LGALS9B; ; DGAT2; LCK; FCRL2; THEMIS2; LGALS9C; LAG3; TRIM22; ANKRD22; FCGR2A; NA; IL32; AQP2; TFAP2D; ZNF467; KRT3; PTAFR; KRT86; NLRP12; IL7R; PSG6; AIM2; NCF4; LINC01800; IFITM2; RUFY4; IFITM1; BTN3A2; ARID5A; ADAM19; NLRC5; PAEP; CD6; LGALS2; CMTM7; PTPN6; GMFG; CD96; DHRS9; AZU1; LINC01588; CARD9; PFKFB4; MMP9; PRLH; DOK3; HSPA6; IL27RA; ARHGDIB; MZB1; ARHGAP9; TREM1; SLC25A37; PIK3CD; HMGB2; RASGRP2; ITGB2; IL24; CEBPB; LIMK2; LY96; MAP2K6; PLCB2; OPRL1; IL1R2; LUCAT1; TCN1; MYBPH; FAM151A; PPM1M; SECTM1; IL12RB2; KIAA0040; E2F2; SH3TC1; MFNG; AREG; LRRC4; PFKFB2; TYMP; GPRC5D; PFKFB3; SLC7A7; TIGD3; SIGLEC15; CSF2; MYBL1; APOBEC3B; APMAP; FTL; PAG1; MGAM2; PSMB8-AS1; TLR2; ADGRE5; FCMR; ATP6V0B; KCNAB2; PADI4; ARHGAP30; ARHGAP27; OTULINL; ITGAL; ATP6V0D1; GPR132; GPR183; NABP1; TRIM25; ICAM3; MCTP2; SH3BP1; STAT4; TSPAN32; ADAM8; FXYD5; SPNS3; SSH2; RAB37; NUP210; NINJ1,1.87368520405068e-07
41,Pancreas,115,589,9225,1180,9814,4.53052525147212e-08,CFI; KSR1; ; CAPN13; PODXL; ANKRD22; SMIM31; NA; FGL1; SYT16; IL32; AQP2; PALM3; TFAP2D; KRT3; KRT86; PSG6; GALNT6; CLDN3; CUZD1; PAEP; LGALS2; SPATA6L; ERP27; MECOM; FGFR4; ARHGEF38; PRELID2; PLXNA2; PLEKHS1; GJC3; VAMP8; SYT8; TMEM150A; PRLH; TFPI2; FBXW12; C4BPB; MEIS1; NUPR1; DNAH5; MEPE; ELF3; CAPN12; CHAC1; C1orf127; CFTR; PWWP2B; SULT1C2; SRPRB; EVA1A; MYO3B; GCAT; ETV4; RNF43; PTPRH; MT1X; CHPF; CXXC4; ACY3; ABHD11; C15orf65; TMPRSS2; UNC5CL; TCN1; MYBPH; BMP8B; FAM151A; RAP1GAP2; GDPD5; DPEP1; STEAP3; CRELD2; IL12RB2; CTRB1; GPRC5D; ZNF69; TM7SF2; TPRN; HAAO; GALR3; HM13; COMTD1; KIAA1549; MACC1; KLB; MTUS1; MGAM2; RCL1; OTULINL; CHST4; PDGFA; RWDD2A; SEC61A1; HYI; HPN; ERBB3; HTR3A; IL22RA1; ENTPD3; SRM; TMEM63A; ARFGEF3; STARD10; SYBU; CEL; OGFRP1; PRSS8; SIL1; SNHG8; TMED3; ERO1B; PEX6; PRR15L; LRIG1,8.00392794426741e-07
29,Esophagus_Mucosa,212,1319,8495,1180,9814,1.63931145996773e-06,PADI1; LGALS9B; MIR205HG; ; KRT15; LGALS9C; ANKRD22; TENT5B; TIAM1; NA; MANCR; RHOV; ACOT11; TPRG1; FOSL1; AKR1C2; KRT3; SOX2; B3GNT6; MUC4; HAS3; EXPH5; ADGRF1; LINC01214; MGLL; SCEL; ATG9B; MUC20; CENPE; CCL20; ADGRF4; GALNT5; TROAP; HELLS; IQGAP3; TGM5; MECOM; FANCI; SLPI; MAB21L4; PLXNA2; CYP24A1; GSDMC; FANCA; RHBDL2; SFTA2; DHRS9; CXCL1; GTSE1; LINC01588; VAMP8; ANXA1; SYT8; SCNN1B; KIF20B; CHEK2; ARL4A; AURKB; ELF3; TICRR; AGFG2; SMC4; SGO1; KIF18B; CDCA3; CHAC1; SLC2A9; PWWP2B; SPRR1B; GPR68; SRPRB; S100A14; TOP2A; ESPL1; HJURP; GUCY2D; ETV4; RNF43; GCHFR; CENPF; LIMK2; ST6GALNAC1; RBBP8NL; HOPX; ST3GAL4; HES1; CENPK; ASPM; CEACAM5; TMPRSS2; ARRDC1; OSBPL3; KIF14; TCN1; CDH3; TLCD1; KIF15; LINC01983; GRHL3; KNL1; DEPDC1B; E2F2; RALGPS2; BLVRA; PLEK2; CDC25C; CYP4F12; RAD54L; BLVRB; XXYLT1; SH3TC1; MALT1; POLQ; SCIN; TMPRSS11D; ABRACL; CTNNBIP1; AREG; NUF2; PCLAF; IGFL1; TOM1; TYMP; TTC39A; CASTOR1; TMEM141; MVD; ACOX1; GALR2; LINC01559; KIF20A; IL36RN; HM13; ZNF726; GEN1; TNFAIP2; MTFR2; EVPL; COMTD1; DIAPH3; NR2F6; MACC1; LINC01572; TRIM16; SKA3; KIF2C; PTPN13; ZWINT; ZMYND19; STK38; TFCP2L1; TRIM16L; BCL11B; ARHGAP27; PTK7; TK1; CDC45; AKR1C1; KNTC1; ITGB6; IER5; PUSL1; SFN; SCNN1A; SNX24; CDKN2A; PGBD2; NDC80; DOK4; EPB41L4A; SH3BP1; ITGB4; CENPW; AIF1L; ERBB3; PHLDA1; KRT78; IL22RA1; EZH2; SAPCD2; ENTPD3; PLK4; EMP2; CENPU; PPARGC1B; IVL; RASAL2; ADAM15; EPHA2; ABCC1; PRC1; SPRR1A; TNFSF15; CSRP2; OGFRP1; SERINC5; PRSS8; LINC01644; NCAPG; PTTG1; AQP3; TMED3; PLCB3; ITGA2; TBC1D10A; ULK3; CTSV; KIAA1217; ALOX15B; GPR1; SCNN1G; ORC6,2.17208768445724e-05
52,Vagina,182,1169,8645,1180,9814,7.06627338240682e-05,PADI1; LGALS9B; COL1A1; MIR205HG; ; STING1; PLAT; KRT15; ANKRD22; TENT5B; NA; MANCR; SH3PXD2A; PRDM8; RHOV; CACNB3; SELP; TPRG1; NPR2; KRT3; MEX3A; WNT16; MUC4; SPTSSB; HAS3; PLEKHG3; LINC00705; ADGRF1; LINC01214; SCEL; ATG9B; IFITM1; MUC20; CCDC80; ADGRF4; GALNT5; TROAP; NR1D1; IQGAP3; TGM5; MCUB; PYROXD2; MAB21L4; GSDMC; RHBDL2; IKBKB; VAMP8; ANXA1; CRISPLD2; SCNN1B; C11orf95; NINL; CHEK2; ARL4A; MEIS1; ASAP3; WSB1; ELF3; CDK3; TICRR; SLC2A9; IGFBP4; SPRR1B; S100A14; P3H2; ESPL1; GUCY2D; ETV4; CCDC102A; TMEM39B; LIMK2; RBBP8NL; DDAH2; HOPX; HES1; LIG1; ETNK2; CHD3; PTPRS; PLEKHA5; ARRDC1; WDR27; OSBPL3; C1R; MAX; FRG2C; CDH3; PHF19; RUNX2; SFRP4; MELTF; PPM1M; LINC01983; GRHL3; PRICKLE2; NYNRIN; LAMA3; E2F2; RALGPS2; CYP4F12; ZNF600; XXYLT1; MALT1; SPTSSA; TMPRSS11D; NR2F1; MRC2; IGFL1; TTC39A; ADAMTS10; CMTM3; CASTOR1; ZNF726; GEN1; TNFAIP2; EVPL; PTPRU; COMTD1; NRM; APOL1; MACC1; TRIM16; ZNF846; ZNF300; PTPN13; LGI4; LINC02614; COL6A1; ARHGAP27; MOV10; PTK7; ITGB6; GNA14; PUSL1; ZNF398; INVS; SFN; SCNN1A; NUMBL; ACIN1; GAL3ST4; PGBD2; COL24A1; ABCA12; NDC80; PCSK5; AMT; EPB41L4A; SH3BP1; ITGB4; CENPW; ERBB3; PHLDA1; KRT78; MEIS2; KRTDAP; KLK14; PCOLCE; TPST1; HHAT; IVL; RASAL2; ADAM15; EPHA2; FXYD5; PLA2G4D; SPRR1A; OGFRP1; SERINC5; LINC01644; SNHG8; AQP3; TMED3; PLCB3; ITGA2; TBC1D10A; CTSV; HOXD3; ALOX15B; GPR1; PBX1; SCNN1G,0.000749024978535123
47,Spleen,173,1136,8678,1180,9814,0.000349210916917337,LGALS9; NOX5; ; STING1; LCK; FCRL2; THEMIS2; ADAM28; LAG3; TRIM22; IFI16; SULT1A1; NA; MANCR; IL32; ZNF467; PTAFR; LINC01547; IL7R; SCN9A; ARHGEF40; AIM2; LINC00705; ODF2L; NCF4; LINC01800; RUFY4; IFITM1; BTN3A2; ADAM19; NLRC5; NFATC2; NOS3; CD6; CMTM7; CARMIL2; MCUB; PTPN6; GMFG; DNMT3A; GSDMC; SMCO4; P2RY6; CD96; PLAU; CXCL1; AZU1; LINC01588; IKBKB; VAMP8; CARD9; MMP9; DOK3; WSB1; CDK3; KANK3; IL27RA; NCOA5; JTB; CTSD; EML4; APOBEC3C; PWWP2B; ARHGDIB; MZB1; EVA1A; ARHGAP9; P3H2; PIK3CD; HMGB2; TM4SF18; BATF3; RASGRP2; ITGB2; IL24; PTPRH; NSUN5; LY96; PLCB2; NAA40; LIG1; BACH2; PHYKPL; ARRDC1; NAGLU; OSBPL3; LINC01116; MAX; TERT; PPM1M; GDPD5; SECTM1; EXOC3L1; KIAA0040; E2F2; RALGPS2; BLVRA; TCN2; ZNF600; BLVRB; SH3TC1; FLVCR2; ADM5; MFNG; ST6GAL1; ABRACL; RNF135; TYMP; TRIB2; ZNF124; SLC7A7; C7orf26; SIGLEC15; RBCK1; ZBTB40; GEN1; TNFAIP2; PLEKHG5; MYBL1; APOL1; ZDHHC24; C2CD2; JDP2; DOCK10; APOBEC3B; FTL; ERAP2; PSMB8-AS1; CHFR; TLR2; ADGRE5; FCMR; ATP6V0B; PADI4; ARHGAP30; ARHGAP27; MOV10; OTULINL; ITGAL; PTGER1; GMPPA; IER5; CEP128; GPR132; GPR183; NABP1; ACIN1; TRIM25; PGBD2; SLC26A11; ICAM3; MCTP2; SH3BP1; STAT4; AIF1L; POLD1; PLEKHG1; TSPAN32; ADAM8; ANKLE1; PCGF3; BTN3A3; IFFO1; FXYD5; SPNS3; SSH2; EWSR1; MTRF1; NASP; SLFN11; SRSF2; NUP210; NINJ1,0.00308469643276981
37,Minor_Salivary_Gland,188,1283,8531,1180,9814,0.00137323030479684,FAM20A; MIR205HG; ASS1; ; AQP5; TFF3; ADAM28; TCIM; ANKRD36C; MISP3; IFI16; SMIM31; NA; TMC5; RHOV; C5orf38; KRT3; MEX3A; B3GNT6; MUC4; CP; LINC01547; GALNT6; ADGRF1; CLDN3; MGLL; C1RL; MUC20; ENPP3; ARRDC2; ACP6; GALNT5; NFATC2; ARHGEF38; SLPI; PYROXD2; KRT7; KRTCAP2; SMCO4; FAM177B; PLEKHS1; RHBDL2; GJC3; MSLN; IKBKB; VAMP8; ANXA1; TMEM208; SYT8; SCNN1B; DNAH5; ASAP3; SLC39A7; LRRC26; ELF3; CDK3; MMP11; AGFG2; JTB; SLC2A9; CFTR; CTSD; EML4; SPRR1B; ETV6; MZB1; SRPRB; S100A14; SLC25A37; RNF207; SPDEF; ETV4; SMARCD2; RNF43; NOSTRIN; LIMK2; ST6GALNAC1; RBBP8NL; ST3GAL4; HES1; NAA40; ABHD11; UVSSA; C15orf65; TMPRSS2; ARRDC1; ATG101; NAGLU; PIM3; LUCAT1; TMEM150C; TCN1; VWA5A; MYBPH; CDH3; RUNX2; RAP1GAP2; PER2; MELTF; STX5; TLCD1; SECTM1; STEAP3; LAMA3; KIAA0040; PYGB; SCIN; SPTSSA; TMPRSS11D; ST6GAL1; ABRACL; MFSD3; CCPG1; IGFL1; TOM1; TYMP; ZNF69; ARSJ; PCDHB13; CCDC148; TENT5A; SUMF2; HM13; GEN1; TNFAIP2; PTPRU; KLHL24; COMTD1; NR2F6; KIAA1549; MACC1; LXN; TRIM16; MTUS1; STK38; MGAM2; TFCP2L1; TLR2; ARHGAP27; PTK7; MET; SOX4; GMPPA; CHST4; SDC4; PUSL1; CX3CL1; CASZ1; CLCNKB; SCNN1A; RCBTB2; PGBD2; SEC61A1; MCTP2; WFDC2; EPB41L4A; ITGB4; DEPTOR; ERBB3; PHLDA1; HTR3A; SAPCD2; MAML2; MEIS2; ENTPD3; RASD1; HHAT; IVL; TMEM63A; ARFGEF3; EPHA2; PCGF3; SPRR1A; STARD10; TNFSF15; OGFRP1; SERINC5; PRSS8; LINC01644; AQP3; TMED3; CDK6; ITGA2; PRR15L; TTC39C; KIAA1217; SCNN1G; GNPTAB,0.0103973151648904
17,Brain_Nucleus_accumbens_.basal_ganglia.,135,890,8924,1180,9814,0.00190895065277338,BCAS1; ; RASGRF1; DNAH2; PRTFDC1; TIAM1; NA; PPFIA4; TUBB3; PLCB1; SOX2; ENO2; SCN1A; OBSCN-AS1; TMOD2; DNM3; SLC7A11; PCDH9; AGPAT4; HS3ST5; STRIP2; ASIC1; ARHGAP33; FAXC; CARMIL2; LINC01597; FBLL1; NRGN; NDRG4; ATAT1; MPP2; ENC1; TMEM145; KIF3C; SYT12; RGS17; NDRG2; TMEM132A; CIT; CLSTN3; PGM2L1; AP4S1; DNAJB2; MACROD2; LY6G5C; CCDC88A; RPS6KL1; GPR137C; FMNL2; DISP3; C12orf76; CST3; NTRK2; MMP24; AGAP2; CXXC4; PSD; OPRL1; TMEM178A; PTPRZ1; LINC00460; TMCC2; RNF187; FRMD5; GAD1; ABHD12; RNFT2; DUSP8; SYNGAP1; STMN3; MAP4K4; CSPG5; SYT5; CNIH2; MAP2; RNF208; SH2D5; SHF; TYRO3; ITPKB; ADGRL1; DLX1; SLC10A5; DDN; POU3F2; LRRC4; CALB1; GPR19; VSNL1; EFR3B; CPLANE2; PYDC1; NGEF; GALR3; BRSK1; MSANTD1; MCTP1; WDR49; RASGEF1A; OMG; LINC00205; PCNX2; BCL11B; KCNAB2; ATL1; ALDH6A1; PIGX; IDNK; ADORA1; SPEF1; BTBD9; SLC18B1; LCMT1; GUK1; NHLH1; HSDL1; TPRG1L; NECAB2; SPRYD3; DGKH; TNIK; MEIS2; ENTPD3; STK32C; ARFGEF3; MARCKSL1; KIAA0319; SEPTIN5; CDK5; SYBU; PASK; ANKRD13B; ARL2; GPR83; SNTA1,0.0126467980746237
15,Brain_Hippocampus,141,943,8871,1180,9814,0.00266381302448563,SLC4A8; BCAS1; ; RASGRF1; DOC2A; PRTFDC1; TIAM1; NA; PPFIA4; TUBB3; CACNB3; PLCB1; SOX2; ENO2; SCN1A; TMOD2; DNM3; PCDH9; AGPAT4; HS3ST5; ASIC1; CARMIL2; LINC01597; FBLL1; NRGN; NDRG4; ATAT1; MPP2; ENC1; TMEM145; KIF3C; SYT12; NDRG2; TMEM132A; CIT; CLSTN3; PGM2L1; MEPE; SLC17A7; AP4S1; DNAJB2; CPNE2; VSTM2L; CCDC88A; RPS6KL1; GPR137C; CNGB1; FA2H; FMNL2; DISP3; C12orf76; CST3; NTRK2; MMP24; AGAP2; CXXC4; PSD; TMEM178A; PTPRZ1; LINC00460; IPO13; TMCC2; RNF187; FRMD5; GAD1; ABHD12; RNFT2; DUSP8; SYNGAP1; STMN3; IFT80; MAP4K4; CDK18; CSPG5; FIBCD1; SYT5; PLLP; CNIH2; MAP2; RNF208; SH2D5; SLC5A11; TYRO3; ITPKB; ADGRL1; DLX1; DDN; POU3F2; LRRC4; GPR19; VSNL1; EFR3B; SYT17; NGEF; LINC01003; ADD3; BRSK1; CXXC5; VSTM5; KIAA1549; WDR49; DOCK10; RASGEF1A; OMG; LINC00205; YKT6; PCNX2; KCNAB2; ATL1; ALDH6A1; PIGX; IDNK; ADORA1; SPEF1; BTBD9; SLC18B1; GUK1; BDNF; NHLH1; TPRG1L; AIF1L; PEX16; NECAB2; SPRYD3; TNIK; SAPCD2; LINC00957; STK32C; GRM2; ARFGEF3; MARCKSL1; KIAA0319; SEPTIN5; CDK5; SYBU; RAB15; MADD; ADAM11; ANKRD13B; GPR83; TMC7,0.0148407158271826
13,Brain_Cortex,146,982,8832,1180,9814,0.00280013506173257,BCAS1; PNKD; ; RASGRF1; DOC2A; PRTFDC1; NA; PPFIA4; TUBB3; CACNB3; PLCB1; TFAP2D; SOX2; ENO2; SCN1A; TMOD2; DNM3; PCDH9; AGPAT4; HS3ST5; VAMP1; ASIC1; FBXL2; ARHGAP33; FAXC; CARMIL2; GPR3; LINC01597; FBLL1; NRGN; NDRG4; ATAT1; HPCAL1; MPP2; ENC1; TMEM145; KIF3C; SYT12; SLF1; NDRG2; TMEM132A; CIT; CLSTN3; PGM2L1; MEPE; SLC17A7; AP4S1; DNAJB2; VSTM2L; CCDC88A; RPS6KL1; GPR137C; CNGB1; FGF9; FMNL2; DISP3; C12orf76; CST3; NTRK2; MMP24; AGAP2; CXXC4; PSD; OPRL1; TMEM178A; PTPRZ1; LINC00460; TMCC2; RNF187; FRMD5; GAD1; ABHD12; RNFT2; DUSP8; SYNGAP1; STMN3; CSPG5; TRAPPC9; RAP1GAP2; SYT5; CNIH2; EXTL1; MAP2; RNF208; SH2D5; SHF; TLCD3B; SLC5A11; TYRO3; ADGRL1; DLX1; DDN; POU3F2; LRRC4; GPR19; VSNL1; EFR3B; SYT17; NGEF; BRSK1; CXXC5; VSTM5; KIAA1549; RASGEF1A; KCNAB3; OMG; LINC00205; PCNX2; KCNAB2; ATL1; ALDH6A1; SCN1B; NTNG1; CDKN2AIPNL; PIGX; IDNK; ATP6V0D1; ADORA1; NREP; SPEF1; BTBD9; SLC18B1; LCMT1; KALRN; GUK1; NHLH1; TPRG1L; PEX16; NECAB2; SPRYD3; TNIK; LINC00957; STK32C; GRM2; ARFGEF3; KIAA0319; SEPTIN5; CDK5; SYBU; RAB15; MADD; NUDC; ADAM11; RAB40C; ANKRD13B; GPR83,0.0148407158271826
