"","ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","1*KO_SALI -1*SALI"
"7226","ENSG00000168961","LGALS9",2.70716176289452,4.54668785152384,73.8849303469659,8.28060609445652e-18,1.14288925315689e-13,1
"7211","ENSG00000168878","SFTPB",-5.72855607440782,10.3565541554218,47.5451336134919,5.37520280637302e-12,2.86348218346001e-08,-1
"9465","ENSG00000198203","SULT1C2",2.57267827653232,4.04988626490526,47.2577128021256,6.22405923082165e-12,2.86348218346001e-08,1
"8854","ENSG00000186493","C5orf38",-3.03745670740586,3.28368952349569,43.7834782207529,3.6678833816556e-11,1.26560316084026e-07,-1
"9885","ENSG00000205403","CFI",2.91091727175533,5.56431399226012,34.2468305970097,4.85465427428064e-09,1.34007876587243e-05,1
"10007","ENSG00000210156","MT-TK",3.93923534864217,3.15174926022247,31.4965885658524,1.99790958200264e-08,4.59585800846673e-05,1
"3940","ENSG00000132274","TRIM22",1.72923812894138,2.89367511144586,30.3838734076674,3.54462761972168e-08,6.98899291534266e-05,1
"1804","ENSG00000104368","PLAT",5.25648679757614,8.55429174240734,25.9235215650271,3.55214396277402e-07,0.000544741010824523,1
"4807","ENSG00000141068","KSR1",1.52686519273837,3.97781447129581,26.0828837866929,3.27070609372642e-07,0.000544741010824523,1
"7658","ENSG00000172889","EGFL7",-2.55957185409413,1.87750219708351,24.4578793085922,7.59522555180708e-07,0.000952993664236739,-1
"12384","ENSG00000255346","NOX5",3.47879172589559,3.79938487597678,24.5097403281109,7.39351292301561e-07,0.000952993664236739,1
"4915","ENSG00000142623","PADI1",2.738625679469,2.54764236261368,24.2262278070892,8.56578181506425e-07,0.00098520767176264,1
"7486","ENSG00000171346","KRT15",1.1021258166753,8.5217244954262,24.0200689745909,9.533678687273e-07,0.00101218333262878,1
"517","ENSG00000062282","DGAT2",-1.50472440829563,3.61392318460087,22.5759012244445,2.02002621507565e-06,0.00193772825334219,-1
"7869","ENSG00000175170","FAM182B",1.64106122037356,3.18017156374805,22.4959044574034,2.10592115636378e-06,0.00193772825334219,1
"2735","ENSG00000115523","GNLY",6.88547787130374,8.34111415275733,22.2001099988541,2.45659721724217e-06,0.00199446792896332,1
"5656","ENSG00000152766","ANKRD22",1.16584110656207,4.28888710368065,22.2745080544366,2.36323144840647e-06,0.00199446792896332,1
"7576","ENSG00000172137","CALB2",1.80213388861811,3.04796303849626,21.6259280482735,3.31342310385365e-06,0.00254065920441045,1
"1180","ENSG00000090238","YPEL3",-1.43288323735124,6.02996574085522,21.2912281145129,3.94532750336175e-06,0.00286596895796836,-1
"7373","ENSG00000170298","LGALS9B",1.94672547467296,4.27987066243814,21.1843572914858,4.17155392124769e-06,0.00287221375416186,1
"8724","ENSG00000185303","SFTPA2",3.40950025048789,10.7430067412186,21.0952384975824,4.37012670898413e-06,0.00287221375416186,1
"3255","ENSG00000122852","SFTPA1",3.48874600491627,10.0554742785555,20.6506579141156,5.51182434791086e-06,0.00330757389782025,1
"4526","ENSG00000137959","IFI44L",2.20953783547377,4.0747860286599,20.707036007739,5.35189852290652e-06,0.00330757389782025,1
"3592","ENSG00000127838","PNKD",-1.10786475821784,6.87141986874184,19.9766580865588,7.83933175731362e-06,0.0043279382765777,-1
"4786","ENSG00000140853","NLRC5",1.3082197219152,4.13831240511552,19.9773604162636,7.83645281191227e-06,0.0043279382765777,1
"3811","ENSG00000130720","FIBCD1",1.99137172562212,1.48916915113676,19.0312474129456,1.28595289672365e-05,0.0068264314925307,1
"1667","ENSG00000102678","FGF9",-1.55674903533386,2.38885310925208,18.6671968756353,1.55637145303247e-05,0.00750377655580355,-1
"5697","ENSG00000153294","ADGRF4",-1.43124464947569,2.48285439900628,18.6425129373354,1.57665208026593e-05,0.00750377655580355,-1
"9507","ENSG00000198502","HLA-DRB5",3.18748082857758,1.3778363148821,18.6697933141112,1.55425347584295e-05,0.00750377655580355,1
"7557","ENSG00000171916","LGALS9C",2.85717487449282,1.64999018418912,18.5039126403593,1.6955586390839e-05,0.00780070011221201,1
"8796","ENSG00000185909","KLHDC8B",-1.00586316258236,4.70142617397305,18.098614638578,2.09753986538925e-05,0.00933878878132335,-1
"2230","ENSG00000108950","FAM20A",2.34386197568161,5.66379860244599,17.5632443480748,2.77908337285939e-05,0.0119865339725642,1
"7688","ENSG00000173198","CYSLTR1",2.97907999413325,0.84975394218792,17.2938710542958,3.2021802057193e-05,0.0133928761210114,1
"4220","ENSG00000135253","KCP",1.88091635443652,2.9812870241295,16.9583894773521,3.82081004289351e-05,0.0155102412388283,1
"2540","ENSG00000113070","HBEGF",1.13280934753573,4.19181364958547,16.8111697875374,4.12895541109917e-05,0.0162822407382831,1
"7779","ENSG00000174175","SELP",4.09436309756717,3.0880232124945,16.7507430284425,4.26255689808476e-05,0.0163421695298238,1
"7209","ENSG00000168874","ATOH8",-2.2473511155745,1.57883603270795,16.5614680399405,4.70982967711728e-05,0.0166679664624545,-1
"8465","ENSG00000182866","LCK",2.77175684675207,3.89546019170817,16.5698570026142,4.68904102305658e-05,0.0166679664624545,1
"9192","ENSG00000196502","SULT1A1",0.939823076303966,5.20557268482904,16.6086697854341,4.59405357237704e-05,0.0166679664624545,1
"8012","ENSG00000176907","TCIM",-1.54188114862082,4.53658922804387,16.2775769964661,5.47075226332388e-05,0.0184164201800966,-1
"9435","ENSG00000198040","ZNF84",3.12385676345151,1.57875797157466,16.2835206072934,5.4536186153964e-05,0.0184164201800966,1
"3647","ENSG00000128567","PODXL",1.22466830811337,3.75723685545397,16.1602183810232,5.82037220111329e-05,0.0189725271380792,1
"10856","ENSG00000228742","LINC02577",2.71317734497213,5.72701157724812,16.1309944806473,5.91087282232579e-05,0.0189725271380792,1
"3992","ENSG00000132704","FCRL2",4.18026815035129,2.55144411087855,15.982070882058,6.39452141045829e-05,0.0200584510243512,1
"9906","ENSG00000205595",NA,3.56964750455408,3.42037819092119,15.7123425766385,7.37414119418847e-05,0.0226173103915976,1
"6817","ENSG00000165795","NDRG2",1.70350083747863,1.74464553563102,15.6535264803007,7.60705995513902e-05,0.0228244872827889,1
"5290","ENSG00000147041","SYTL5",1.67767482537357,4.96157524531744,15.4805267103831,8.33596396446295e-05,0.0240279544134577,1
"10904","ENSG00000229391","HLA-DRB6",3.29841441150629,1.45794001442269,15.4759126165035,8.35633829768127e-05,0.0240279544134577,1
"9767","ENSG00000204287","HLA-DRA",3.39767022155475,5.15579880700488,15.1427371909193,9.96810215169785e-05,0.0277759396721598,1
"11793","ENSG00000242574","HLA-DMB",2.44859890649941,2.06728274581003,15.1249820362626,0.000100622879554267,0.0277759396721598,1
"6394","ENSG00000163083","INHBB",-1.19151592274065,4.4026930946805,14.461175292198,0.000143078403349871,0.0379763100583639,-1
"6502","ENSG00000163739","CXCL1",-1.93611325646984,1.25569107969326,14.4694338797519,0.000142452436366329,0.0379763100583639,-1
"230","ENSG00000019582","CD74",1.82797504885694,6.98755368285753,14.2141579076153,0.000163138458831387,0.0391237895152131,1
"373","ENSG00000047457","CP",2.89143720285178,6.5922248587047,14.2172989887411,0.000162866377652587,0.0391237895152131,1
"3899","ENSG00000131711","MAP1B",1.92608731093881,6.81905821967773,14.1734567876807,0.000166705675837474,0.0391237895152131,1
"5220","ENSG00000145990","GFOD1",-1.68454719061078,1.81117570729438,14.3262030991062,0.000153710366657641,0.0391237895152131,-1
"5527","ENSG00000150977","RILPL2",1.11791194621981,3.72496210213208,14.2230891191155,0.000162366032245347,0.0391237895152131,1
"8071","ENSG00000177675","CD163L1",1.61410162440566,1.72096837282944,14.1673893691075,0.000167244137182841,0.0391237895152131,1
"10808","ENSG00000228253","MT-ATP8",1.17990294235883,7.20330208939018,14.1716538797138,0.000166865494787121,0.0391237895152131,1
"6132","ENSG00000160180","TFF3",-1.98066414661778,1.78307583083785,14.0596699010207,0.000177100873681038,0.0400712501400933,-1
"7566","ENSG00000171992","SYNPO",-1.78895129578907,3.12846902719319,14.0683370764885,0.00017628659322522,0.0400712501400933,-1
"2480","ENSG00000112175","BMP5",2.96724720690121,3.52182326745436,13.6687488188228,0.000218053181204356,0.0478891638131769,1
"5101","ENSG00000144285","SCN1A",1.99808772794321,1.84315741498024,13.6641079194908,0.000218592763384303,0.0478891638131769,1
"9128","ENSG00000196126","HLA-DRB1",2.90774371745685,2.32010511442987,13.6102899649488,0.000224949142271613,0.0485116884630125,1
"4065","ENSG00000133619","KRBA1",1.41971036370125,2.52436022816294,13.5036918354877,0.000238094567975331,0.0505566342645464,0
"10559","ENSG00000225071","",3.42762241426301,1.25348957717858,13.2825636207961,0.00026788593273077,0.05602063096288,0
"3809","ENSG00000130707","ASS1",-1.11276671496942,6.56844653681383,13.209636537805,0.000278513378813839,0.0573737560356507,0
"11806","ENSG00000242808","SOX2-OT",1.6894236086386,2.48582487455172,13.1780232266088,0.000283251390637708,0.0574917013762007,0
"8356","ENSG00000181577","C6orf223",-0.994246556205945,4.5580736120699,13.1409426271118,0.000288912470266205,0.0577908683277415,0
"6001","ENSG00000158246","TENT5B",-1.20836136629373,2.89600339469063,12.9906553656372,0.000313049379397861,0.0617243933492754,0
"8851","ENSG00000186470","BTN3A2",0.830972475603874,5.67493700663153,12.9281532392708,0.000323676954087642,0.062920976342502,0
"8344","ENSG00000181444","ZNF467",-0.800118317559626,5.40539191429633,12.8918017668722,0.000330024565695942,0.0632638757741026,0
"1362","ENSG00000100079","LGALS2",1.90313698877535,1.71520165999916,12.7973065320845,0.000347118749975061,0.0656292190021342,0
"12835","ENSG00000261126","RBFADN",1.79458324928688,0.673183533755764,12.7035618785356,0.000364959750393833,0.0680699253369686,0
"1783","ENSG00000104081","BMF",-0.953059352409991,6.69366711102517,12.5491522306087,0.0003963860926445,0.0726676967692242,0
"8620","ENSG00000184371","CSF1",-1.93981772995401,2.41976815734149,12.5315351553373,0.000400140918306118,0.0726676967692242,0
"2981","ENSG00000118523","CCN2",-1.87901233063641,1.89189469417043,12.4937492956356,0.000408315899062612,0.0731892992060023,0
"10357","ENSG00000220903",NA,4.22004299165879,1.72328002565792,12.3061839421415,0.000451460037749724,0.0798852748848934,0
"5435","ENSG00000149243","KLHL35",-1.35449105340238,2.26002096154888,12.2263738859024,0.000471186841769366,0.0823205163303897,0
"698","ENSG00000070729","CNGB1",2.53597886260106,0.54833525666849,12.189773629349,0.000480522141452628,0.0829020824541146,0
"2747","ENSG00000115602","IL1RL1",2.36701350198597,1.23391171082472,12.1543588248346,0.000489732761865154,0.0834480441884302,0
"2202","ENSG00000108622","ICAM2",1.99355300400121,0.186112444961319,12.0278252411485,0.000524121934777333,0.0874853687492712,0
"8579","ENSG00000183960","KCNH8",2.37514096801186,-0.0909592062767538,12.0207903996821,0.000526103869452942,0.0874853687492712,0
"8639","ENSG00000184557","SOCS3",1.4203414215571,5.65887958291151,11.9415810666953,0.000548948745740595,0.0901975070084725,0
"11091","ENSG00000231924","PSG1",2.96231309663235,0.177374778232551,11.8065379412827,0.000590230849771815,0.0958396022182423,0
"3816","ENSG00000130755","GMFG",3.17080793290265,-0.124018498748477,11.7397120757248,0.000611804877823973,0.0981875688805404,0
"12060","ENSG00000249572","",1.63018943769354,0.543249886938715,11.5868946445665,0.000664182299590021,0.105368322976339,0
"228","ENSG00000019186","CYP24A1",2.76045394185019,1.40597710779924,11.5129089111705,0.000691145361390124,0.108399866794392,0
"4820","ENSG00000141337","ARSG",1.28033933298148,2.11533521571633,11.4128895844623,0.000729363012786218,0.110622728598631,0
"6374","ENSG00000162949","CAPN13",1.02491535333738,4.57996902498212,11.4286147394416,0.000723215857767006,0.110622728598631,0
"12030","ENSG00000248771","SMIM31",1.03514520645346,5.66541544824716,11.4264696944666,0.000724051289202339,0.110622728598631,0
"13259","ENSG00000267737","",2.07554982182866,1.17384895547721,11.3354203792734,0.000760426182972745,0.114080458449889,0
"11955","ENSG00000246203","",1.18689294779958,3.55086043918032,11.2906554334079,0.00077898175813941,0.115607593826238,0
"1924","ENSG00000105388","CEACAM5",1.26360777755637,7.62230556710626,11.2306913947483,0.000804556669485742,0.118132884598321,0
"332","ENSG00000039560","RAI14",-1.00064691875519,5.25635612901255,11.1736468980081,0.000829673818041199,0.12053850564847,0
"4516","ENSG00000137841","PLCB2",2.55142788308182,0.627129222580987,11.1094788826798,0.000858876207884703,0.122208344548708,0
"11018","ENSG00000230937","MIR205HG",1.88177193741615,5.04816690749023,11.1130691078868,0.000857215216393226,0.122208344548708,0
"6467","ENSG00000163565","IFI16",0.974293887449352,6.75770383175195,11.0594327200679,0.000882371363047204,0.124270301558954,0
"409","ENSG00000050438","SLC4A8",1.45853075517591,4.13181913862931,11.0077426111647,0.000907320791125635,0.124620879283016,0
"11431","ENSG00000236097","BNIP3P2",1.9705425452115,4.29381255106751,11.0343096795857,0.000894409754440819,0.124620879283016,0
"12592","ENSG00000258947","TUBB3",1.24662638601458,3.18784669008829,10.998313756166,0.000911948181972515,0.124620879283016,0
"480","ENSG00000058335","RASGRF1",1.60874434208589,3.12814971077571,10.9611226487382,0.000930434295593472,0.125900530860599,0
"7294","ENSG00000169604","ANTXR1",2.71922996886594,0.15255039823308,10.9067154858873,0.000958162646178847,0.128393794587965,0
"199","ENSG00000013619","MAMLD1",-1.12759097870206,2.39516972369556,10.6786867763642,0.00108376971828539,0.139831118579564,0
"2218","ENSG00000108821","COL1A1",0.746074222497064,6.82856355253297,10.6103474159311,0.00112456558196867,0.139831118579564,0
"3512","ENSG00000126368","NR1D1",-1.04099794713067,6.09507895117895,10.6164385955975,0.00112086716776711,0.139831118579564,0
