list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
36	Lung	20	1271	8543	42	9814	4.6135613033952e-08	LGALS9; TRIM22; PLAT; SFTPA2; SFTPA1; NLRC5; HLA-DRB5; FAM20A; HBEGF; SELP; SULT1A1; PODXL; LINC02577; NA; HLA-DRA; HLA-DMB; CD74; RILPL2; BMP5; HLA-DRB1	2.44518749079946e-06
53	Whole_Blood	12	616	9198	42	9814	6.50036055849885e-06	LGALS9; TRIM22; GNLY; ANKRD22; LGALS9B; NLRC5; LGALS9C; LCK; FCRL2; NA; HLA-DRA; RILPL2	0.000172259554800219
47	Spleen	15	1136	8678	42	9814	3.88268927677456e-05	LGALS9; TRIM22; NOX5; NLRC5; HLA-DRB5; LCK; SULT1A1; FCRL2; NA; HLA-DRA; HLA-DMB; CD74; RILPL2; CD163L1; HLA-DRB1	0.000685941772230172
46	Small_Intestine_Terminal_Ileum	14	1249	8565	42	9814	0.00044941362385284	LGALS9; TRIM22; NLRC5; LGALS9C; LCK; SULT1A1; FCRL2; NA; HLA-DRA; HLA-DMB; CD74; CD163L1; BMP5; HLA-DRB1	0.00595473051605013
22	Cells_EBV.transformed_lymphocytes	12	1506	8308	42	9814	0.0207810739201943	LGALS9; TRIM22; KSR1; IFI44L; NLRC5; LCK; NA; HLA-DRA; HLA-DMB; CD74; RILPL2; HLA-DRB1	0.220279383554059
41	Pancreas	6	589	9225	42	9814	0.0378962581810945	SULT1C2; CFI; KSR1; ANKRD22; PODXL; NA	0.334750280599668
1	Adipose_Subcutaneous	10	1336	8478	42	9814	0.0515193805456868	CALB2; HLA-DRB5; HBEGF; SELP; NA; HLA-DRA; HLA-DMB; CD74; RILPL2; HLA-DRB1	0.390075309845915
2	Adipose_Visceral_.Omentum.	9	1258	8556	42	9814	0.0810821520655252	CFI; PLAT; CALB2; FAM20A; HBEGF; SELP; PODXL; NA; CD163L1	0.537169257434105
52	Vagina	8	1169	8645	42	9814	0.119641338978442	PLAT; PADI1; KRT15; ANKRD22; LGALS9B; SELP; NA; RILPL2	0.70386160143933
48	Stomach	9	1395	8419	42	9814	0.13280407574327	LGALS9; SULT1C2; PLAT; ANKRD22; LGALS9B; LGALS9C; FAM20A; HBEGF; NA	0.70386160143933
31	Fallopian_Tube	7	1183	8631	42	9814	0.237293050015284	CFI; PLAT; FAM20A; SELP; ZNF84; PODXL; NA	0.998962679209538
27	Colon_Transverse	8	1445	8369	42	9814	0.271524098320915	LGALS9; PLAT; LGALS9B; LGALS9C; SULT1A1; NA; CD163L1; BMP5	0.998962679209538
12	Brain_Cerebellum	6	1048	8766	42	9814	0.288973043592416	FAM182B; CALB2; NA; NDRG2; MAP1B; SCN1A	0.998962679209538
29	Esophagus_Mucosa	7	1319	8495	42	9814	0.332152542309165	PADI1; KRT15; ANKRD22; LGALS9B; LGALS9C; HBEGF; NA	0.998962679209538
16	Brain_Hypothalamus	5	915	8899	42	9814	0.353663232931103	CALB2; NA; NDRG2; MAP1B; SCN1A	0.998962679209538
15	Brain_Hippocampus	5	943	8871	42	9814	0.378299500263471	FIBCD1; NA; NDRG2; MAP1B; SCN1A	0.998962679209538
32	Heart_Atrial_Appendage	6	1173	8641	42	9814	0.387497748140013	CFI; HBEGF; SELP; PODXL; NA; CP	0.998962679209538
34	Kidney_Cortex	6	1273	8541	42	9814	0.467545012928105	SULT1C2; CFI; PLAT; FAM20A; PODXL; NA	0.998962679209538
43	Prostate	6	1278	8536	42	9814	0.471511657450204	PLAT; NOX5; KRT15; ZNF84; NA; BMP5	0.998962679209538
11	Brain_Cerebellar_Hemisphere	5	1057	8757	42	9814	0.478151596839797	FAM182B; CALB2; NA; MAP1B; SCN1A	0.998962679209538
35	Liver	5	1064	8750	42	9814	0.484176137347773	CFI; FAM20A; SULT1A1; NA; CP	0.998962679209538
5	Artery_Coronary	6	1339	8475	42	9814	0.519316116323011	PLAT; SELP; NA; CD74; MAP1B; RILPL2	0.998962679209538
24	Cervix_Ectocervix	5	1148	8666	42	9814	0.55462444034398	KSR1; FAM20A; SELP; NA; RILPL2	0.998962679209538
50	Thyroid	6	1400	8414	42	9814	0.565645172834767	SULT1C2; KSR1; ZNF84; PODXL; NA; RILPL2	0.998962679209538
8	Brain_Amygdala	4	929	8885	42	9814	0.571744580100702	NA; NDRG2; MAP1B; SCN1A	0.998962679209538
9	Brain_Anterior_cingulate_cortex_.BA24.	4	962	8852	42	9814	0.600446095195561	NA; NDRG2; MAP1B; SCN1A	0.998962679209538
14	Brain_Frontal_Cortex_.BA9.	4	978	8836	42	9814	0.613972488748447	NA; NDRG2; MAP1B; SCN1A	0.998962679209538
20	Brain_Substantia_nigra	4	981	8833	42	9814	0.616479382283874	NA; NDRG2; MAP1B; SCN1A	0.998962679209538
13	Brain_Cortex	4	982	8832	42	9814	0.617312933022196	NA; NDRG2; MAP1B; SCN1A	0.998962679209538
51	Uterus	6	1477	8337	42	9814	0.621279152425576	KSR1; FAM20A; SELP; ZNF84; PODXL; NA	0.998962679209538
19	Brain_Spinal_cord_.cervical_c.1.	4	1029	8785	42	9814	0.655286756035036	NA; NDRG2; MAP1B; SCN1A	0.998962679209538
25	Cervix_Endocervix	5	1283	8531	42	9814	0.65793330564059	KSR1; FAM20A; SELP; NA; RILPL2	0.998962679209538
39	Nerve_Tibial	5	1339	8475	42	9814	0.69633856806333	PLAT; KSR1; ZNF84; NA; CD74	0.998962679209538
4	Artery_Aorta	5	1346	8468	42	9814	0.700940121332913	PLAT; NA; CP; MAP1B; RILPL2	0.998962679209538
49	Testis	1	298	9516	42	9814	0.72687883997042	NA	0.998962679209538
17	Brain_Nucleus_accumbens_.basal_ganglia.	3	890	8924	42	9814	0.746893698580118	NA; NDRG2; SCN1A	0.998962679209538
18	Brain_Putamen_.basal_ganglia.	3	917	8897	42	9814	0.765472839521106	NA; NDRG2; SCN1A	0.998962679209538
10	Brain_Caudate_.basal_ganglia.	3	919	8895	42	9814	0.766805954853587	NA; NDRG2; SCN1A	0.998962679209538
45	Skin_Sun_Exposed_.Lower_leg.	4	1203	8611	42	9814	0.774191396818239	KRT15; ANKRD22; NLRC5; NA	0.998962679209538
44	Skin_Not_Sun_Exposed_.Suprapubic.	4	1210	8604	42	9814	0.778251453552947	KRT15; ANKRD22; NLRC5; NA	0.998962679209538
42	Pituitary	3	1051	8763	42	9814	0.842371599482193	ZNF84; NA; BMP5	0.998962679209538
21	Breast_Mammary_Tissue	4	1345	8469	42	9814	0.846178732197793	KRT15; SELP; PODXL; NA	0.998962679209538
33	Heart_Left_Ventricle	4	1346	8468	42	9814	0.846611634167584	HBEGF; PODXL; NA; BMP5	0.998962679209538
3	Adrenal_Gland	4	1519	8295	42	9814	0.90791623372782	CFI; FIBCD1; SULT1A1; NA	0.998962679209538
37	Minor_Salivary_Gland	3	1283	8531	42	9814	0.925877479494889	FAM20A; NA; CP	0.998962679209538
40	Ovary	3	1335	8479	42	9814	0.938058518250331	CFI; ZNF84; NA	0.998962679209538
7	Bladder	3	1390	8424	42	9814	0.948968301388304	PLAT; NA; BMP5	0.998962679209538
6	Artery_Tibial	3	1475	8339	42	9814	0.962456680186596	NA; MAP1B; RILPL2	0.998962679209538
38	Muscle_Skeletal	2	1402	8412	42	9814	0.987787280862183	NA; NDRG2	0.998962679209538
26	Colon_Sigmoid	2	1429	8385	42	9814	0.989122684823503	PLAT; NA	0.998962679209538
23	Cells_Transformed_fibroblasts	2	1598	8216	42	9814	0.994811695490501	TRIM22; NA	0.998962679209538
28	Esophagus_Gastroesophageal_Junction	1	1441	8373	42	9814	0.998750045676288	NA	0.998962679209538
30	Esophagus_Muscularis	1	1478	8336	42	9814	0.998962679209538	NA	0.998962679209538
