list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
32	Heart_Atrial_Appendage	8	1173	8641	16	9814	0.000215949970885384	EGFL7; FGF9; KLHDC8B; ATOH8; TCIM; CXCL1; GFOD1; SYNPO	0.0114453484569253
36	Lung	6	1271	8543	16	9814	0.0117633248212585	SFTPB; C5orf38; EGFL7; PNKD; TCIM; CXCL1	0.273016038443025
33	Heart_Left_Ventricle	6	1346	8468	16	9814	0.0154537380250769	EGFL7; FGF9; KLHDC8B; TCIM; GFOD1; SYNPO	0.273016038443025
1	Adipose_Subcutaneous	5	1336	8478	16	9814	0.055679819581042	C5orf38; EGFL7; DGAT2; TCIM; INHBB	0.60397564852649
14	Brain_Frontal_Cortex_.BA9.	4	978	8836	16	9814	0.0675390043858342	YPEL3; PNKD; FGF9; GFOD1	0.60397564852649
13	Brain_Cortex	4	982	8832	16	9814	0.06837460171998	YPEL3; PNKD; FGF9; GFOD1	0.60397564852649
2	Adipose_Visceral_.Omentum.	4	1258	8556	16	9814	0.13926341232826	EGFL7; DGAT2; TCIM; INHBB	0.86500416685004
34	Kidney_Cortex	4	1273	8541	16	9814	0.143815962947521	C5orf38; PNKD; FGF9; TCIM	0.86500416685004
37	Minor_Salivary_Gland	4	1283	8531	16	9814	0.146887500031139	C5orf38; TCIM; INHBB; TFF3	0.86500416685004
21	Breast_Mammary_Tissue	4	1345	8469	16	9814	0.166560200549909	C5orf38; EGFL7; DGAT2; INHBB	0.882769062914516
12	Brain_Cerebellum	3	1048	8766	16	9814	0.24014573592385	YPEL3; FGF9; GFOD1	0.982053279754892
11	Brain_Cerebellar_Hemisphere	3	1057	8757	16	9814	0.244203374116189	YPEL3; FGF9; GFOD1	0.982053279754892
35	Liver	3	1064	8750	16	9814	0.247369673418789	DGAT2; PNKD; TCIM	0.982053279754892
53	Whole_Blood	2	616	9198	16	9814	0.265720927491406	DGAT2; YPEL3	0.982053279754892
47	Spleen	3	1136	8678	16	9814	0.280396489549016	EGFL7; YPEL3; CXCL1	0.982053279754892
45	Skin_Sun_Exposed_.Lower_leg.	3	1203	8611	16	9814	0.311704761924867	C5orf38; DGAT2; ADGRF4	0.982053279754892
44	Skin_Not_Sun_Exposed_.Suprapubic.	3	1210	8604	16	9814	0.314998221808173	C5orf38; DGAT2; ADGRF4	0.982053279754892
6	Artery_Tibial	3	1475	8339	16	9814	0.44003001185037	ATOH8; GFOD1; SYNPO	1
29	Esophagus_Mucosa	2	1319	8495	16	9814	0.654130028351247	ADGRF4; CXCL1	1
5	Artery_Coronary	2	1339	8475	16	9814	0.6627694855575	ATOH8; SYNPO	1
4	Artery_Aorta	2	1346	8468	16	9814	0.665756626737821	ATOH8; SYNPO	1
48	Stomach	2	1395	8419	16	9814	0.686135568427563	C5orf38; PNKD	1
50	Thyroid	2	1400	8414	16	9814	0.68816295109788	ATOH8; TFF3	1
38	Muscle_Skeletal	2	1402	8412	16	9814	0.688971211507281	ATOH8; SYNPO	1
26	Colon_Sigmoid	2	1429	8385	16	9814	0.699732502049568	KLHDC8B; TCIM	1
23	Cells_Transformed_fibroblasts	2	1598	8216	16	9814	0.760862668986493	C5orf38; CXCL1	1
18	Brain_Putamen_.basal_ganglia.	1	917	8897	16	9814	0.792120023489181	PNKD	1
10	Brain_Caudate_.basal_ganglia.	1	919	8895	16	9814	0.792867078785978	PNKD	1
24	Cervix_Ectocervix	1	1148	8666	16	9814	0.863586346442206	EGFL7	1
52	Vagina	1	1169	8645	16	9814	0.868784777399624	ADGRF4	1
46	Small_Intestine_Terminal_Ileum	1	1249	8565	16	9814	0.886935631401367	TFF3	1
43	Prostate	1	1278	8536	16	9814	0.892912768589044	PNKD	1
40	Ovary	1	1335	8479	16	9814	0.903807711063089	KLHDC8B	1
39	Nerve_Tibial	1	1339	8475	16	9814	0.90453185141937	ATOH8	1
28	Esophagus_Gastroesophageal_Junction	1	1441	8373	16	9814	0.921359612144905	KLHDC8B	1
27	Colon_Transverse	1	1445	8369	16	9814	0.921959095436575	TFF3	1
51	Uterus	1	1477	8337	16	9814	0.926603035113201	EGFL7	1
30	Esophagus_Muscularis	1	1478	8336	16	9814	0.926743895307298	KLHDC8B	1
3	Adrenal_Gland	1	1519	8295	16	9814	0.932305741938969	KLHDC8B	1
7	Bladder	0	1390	8424	16	9814	1		1
8	Brain_Amygdala	0	929	8885	16	9814	1		1
9	Brain_Anterior_cingulate_cortex_.BA24.	0	962	8852	16	9814	1		1
15	Brain_Hippocampus	0	943	8871	16	9814	1		1
16	Brain_Hypothalamus	0	915	8899	16	9814	1		1
17	Brain_Nucleus_accumbens_.basal_ganglia.	0	890	8924	16	9814	1		1
19	Brain_Spinal_cord_.cervical_c.1.	0	1029	8785	16	9814	1		1
20	Brain_Substantia_nigra	0	981	8833	16	9814	1		1
22	Cells_EBV.transformed_lymphocytes	0	1506	8308	16	9814	1		1
25	Cervix_Endocervix	0	1283	8531	16	9814	1		1
31	Fallopian_Tube	0	1183	8631	16	9814	1		1
41	Pancreas	0	589	9225	16	9814	1		1
42	Pituitary	0	1051	8763	16	9814	1		1
49	Testis	0	298	9516	16	9814	1		1
