,list_name,successInSample_count,sample_count,notSample_count,success_count,population_count,pvalue,successInSampleGenes,FDR
36,Lung,26,1271,8543,58,9814,2.26638998042532e-09,LGALS9; SFTPB; C5orf38; TRIM22; PLAT; EGFL7; SFTPA2; SFTPA1; PNKD; NLRC5; HLA-DRB5; FAM20A; HBEGF; SELP; SULT1A1; TCIM; PODXL; LINC02577; NA; HLA-DRA; HLA-DMB; CXCL1; CD74; RILPL2; BMP5; HLA-DRB1,1.20118668962542e-07
53,Whole_Blood,14,616,9198,58,9814,9.78927538456579e-06,LGALS9; TRIM22; DGAT2; GNLY; ANKRD22; YPEL3; LGALS9B; NLRC5; LGALS9C; LCK; FCRL2; NA; HLA-DRA; RILPL2,0.000259415797690993
47,Spleen,18,1136,8678,58,9814,5.87679529325326e-05,LGALS9; TRIM22; EGFL7; NOX5; YPEL3; NLRC5; HLA-DRB5; LCK; SULT1A1; FCRL2; NA; HLA-DRA; HLA-DMB; CXCL1; CD74; RILPL2; CD163L1; HLA-DRB1,0.00103823383514141
46,Small_Intestine_Terminal_Ileum,15,1249,8565,58,9814,0.00495666169376882,LGALS9; TRIM22; NLRC5; LGALS9C; LCK; SULT1A1; FCRL2; NA; HLA-DRA; HLA-DMB; CD74; CD163L1; TFF3; BMP5; HLA-DRB1,0.0656757674424369
32,Heart_Atrial_Appendage,14,1173,8641,58,9814,0.00717328007417225,CFI; EGFL7; FGF9; KLHDC8B; HBEGF; SELP; ATOH8; TCIM; PODXL; NA; CXCL1; CP; GFOD1; SYNPO,0.0760367687862258
1,Adipose_Subcutaneous,15,1336,8478,58,9814,0.00922964395551825,C5orf38; EGFL7; DGAT2; CALB2; HLA-DRB5; HBEGF; SELP; TCIM; NA; HLA-DRA; HLA-DMB; INHBB; CD74; RILPL2; HLA-DRB1,0.0815285216070779
2,Adipose_Visceral_.Omentum.,13,1258,8556,58,9814,0.0294768740441039,CFI; PLAT; EGFL7; DGAT2; CALB2; FAM20A; HBEGF; SELP; TCIM; PODXL; NA; INHBB; CD163L1,0.22318204633393
41,Pancreas,6,589,9225,58,9814,0.132999877767417,SULT1C2; CFI; KSR1; ANKRD22; PODXL; NA,0.83367929693959
12,Brain_Cerebellum,9,1048,8766,58,9814,0.161242998990791,FAM182B; CALB2; YPEL3; FGF9; NA; NDRG2; MAP1B; GFOD1; SCN1A,0.83367929693959
22,Cells_EBV.transformed_lymphocytes,12,1506,8308,58,9814,0.16954485826722,LGALS9; TRIM22; KSR1; IFI44L; NLRC5; LCK; NA; HLA-DRA; HLA-DMB; CD74; RILPL2; HLA-DRB1,0.83367929693959
48,Stomach,11,1395,8419,58,9814,0.193718852066486,LGALS9; SULT1C2; C5orf38; PLAT; ANKRD22; LGALS9B; PNKD; LGALS9C; FAM20A; HBEGF; NA,0.83367929693959
34,Kidney_Cortex,10,1273,8541,58,9814,0.213369636505329,SULT1C2; C5orf38; CFI; PLAT; PNKD; FGF9; FAM20A; TCIM; PODXL; NA,0.83367929693959
14,Brain_Frontal_Cortex_.BA9.,8,978,8836,58,9814,0.216996497406347,YPEL3; PNKD; FGF9; NA; NDRG2; MAP1B; GFOD1; SCN1A,0.83367929693959
13,Brain_Cortex,8,982,8832,58,9814,0.220217172776495,YPEL3; PNKD; FGF9; NA; NDRG2; MAP1B; GFOD1; SCN1A,0.83367929693959
52,Vagina,9,1169,8645,58,9814,0.249252906430018,PLAT; PADI1; KRT15; ANKRD22; LGALS9B; ADGRF4; SELP; NA; RILPL2,0.85387387803327
33,Heart_Left_Ventricle,10,1346,8468,58,9814,0.267234704599405,EGFL7; FGF9; KLHDC8B; HBEGF; TCIM; PODXL; NA; GFOD1; SYNPO; BMP5,0.85387387803327
11,Brain_Cerebellar_Hemisphere,8,1057,8757,58,9814,0.283794053323694,FAM182B; CALB2; YPEL3; FGF9; NA; MAP1B; GFOD1; SCN1A,0.85387387803327
35,Liver,8,1064,8750,58,9814,0.289994901973563,CFI; DGAT2; PNKD; FAM20A; SULT1A1; TCIM; NA; CP,0.85387387803327
29,Esophagus_Mucosa,9,1319,8495,58,9814,0.376356201323539,PADI1; KRT15; ANKRD22; LGALS9B; ADGRF4; LGALS9C; HBEGF; NA; CXCL1,0.999147656582083
27,Colon_Transverse,9,1445,8369,58,9814,0.488394344409234,LGALS9; PLAT; LGALS9B; LGALS9C; SULT1A1; NA; CD163L1; TFF3; BMP5,0.999147656582083
5,Artery_Coronary,8,1339,8475,58,9814,0.544764271541866,PLAT; SELP; ATOH8; NA; CD74; MAP1B; RILPL2; SYNPO,0.999147656582083
21,Breast_Mammary_Tissue,8,1345,8469,58,9814,0.550152607843557,C5orf38; EGFL7; KRT15; DGAT2; SELP; PODXL; NA; INHBB,0.999147656582083
31,Fallopian_Tube,7,1183,8631,58,9814,0.558999264988219,CFI; PLAT; FAM20A; SELP; ZNF84; PODXL; NA,0.999147656582083
45,Skin_Sun_Exposed_.Lower_leg.,7,1203,8611,58,9814,0.577684166350936,C5orf38; KRT15; DGAT2; ANKRD22; NLRC5; ADGRF4; NA,0.999147656582083
44,Skin_Not_Sun_Exposed_.Suprapubic.,7,1210,8604,58,9814,0.584143172383141,C5orf38; KRT15; DGAT2; ANKRD22; NLRC5; ADGRF4; NA,0.999147656582083
50,Thyroid,8,1400,8414,58,9814,0.59839294040097,SULT1C2; KSR1; ATOH8; ZNF84; PODXL; NA; RILPL2; TFF3,0.999147656582083
16,Brain_Hypothalamus,5,915,8899,58,9814,0.639604727514968,CALB2; NA; NDRG2; MAP1B; SCN1A,0.999147656582083
43,Prostate,7,1278,8536,58,9814,0.644435542608863,PLAT; NOX5; KRT15; PNKD; ZNF84; NA; BMP5,0.999147656582083
37,Minor_Salivary_Gland,7,1283,8531,58,9814,0.648678962626438,C5orf38; FAM20A; TCIM; NA; INHBB; CP; TFF3,0.999147656582083
15,Brain_Hippocampus,5,943,8871,58,9814,0.6666289384747,FIBCD1; NA; NDRG2; MAP1B; SCN1A,0.999147656582083
24,Cervix_Ectocervix,6,1148,8666,58,9814,0.686758843786575,KSR1; EGFL7; FAM20A; SELP; NA; RILPL2,0.999147656582083
4,Artery_Aorta,7,1346,8468,58,9814,0.69969301160551,PLAT; ATOH8; NA; CP; MAP1B; RILPL2; SYNPO,0.999147656582083
51,Uterus,7,1477,8337,58,9814,0.790177738112541,KSR1; EGFL7; FAM20A; SELP; ZNF84; PODXL; NA,0.999147656582083
18,Brain_Putamen_.basal_ganglia.,4,917,8897,58,9814,0.803629678755603,PNKD; NA; NDRG2; SCN1A,0.999147656582083
10,Brain_Caudate_.basal_ganglia.,4,919,8895,58,9814,0.805037495673049,PNKD; NA; NDRG2; SCN1A,0.999147656582083
8,Brain_Amygdala,4,929,8885,58,9814,0.811958253721327,NA; NDRG2; MAP1B; SCN1A,0.999147656582083
39,Nerve_Tibial,6,1339,8475,58,9814,0.821431029535036,PLAT; KSR1; ATOH8; ZNF84; NA; CD74,0.999147656582083
9,Brain_Anterior_cingulate_cortex_.BA24.,4,962,8852,58,9814,0.83342703258066,NA; NDRG2; MAP1B; SCN1A,0.999147656582083
49,Testis,1,298,9516,58,9814,0.833664031797638,NA,0.999147656582083
