list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
41	Pancreas	17	707	10200	112	10907	0.000840098251117072	TCEA3; ADM2; SLC25A47; HTR3A; ; CHAC1; DAPK1; B3GALT5; DNAH5; HGD; GRB10; PRLH; SLC28A3; PAEP; DNAJC12; HPN; SLC1A4	0.0235764361253409
35	Liver	24	1193	9714	112	10907	0.000889676834918523	TCIM; SLC17A9; ETNK2; TCEA3; ADM2; SLC25A47; PCK2; DHRS3; ; CHAC1; DNAH5; HGD; SESN2; SLC2A9; SULT1A1; SYT17; NUDT12; DNAJC12; METTL7A; HPN; ZNF385B; ABAT; SUGCT; ARID3C	0.0235764361253409
37	Minor_Salivary_Gland	24	1353	9554	112	10907	0.00481800139193684	C5orf38; TCIM; ALDH3A1; TCEA3; TFF3; ADM2; HTR3A; ; IRX3; SIDT1; B3GALT5; DNAH5; SCNN1B; ARG2; SLC2A9; INHBB; CPD; SCNN1G; SLC28A3; ERN2; LINC00160; NECTIN4; C11orf16; TSPAN1	0.0772326299211837
53	Whole_Blood	16	779	10128	112	10907	0.00582887772990066	LGALS9; SLC25A47; YPEL3; GNGT2; TREM1; ; RIPOR2; PRLH; CPD; LRRC4; PAEP; LGALS9C; HACD4; AZU1; OLAH; GNLY	0.0772326299211837
29	Esophagus_Mucosa	23	1399	9508	112	10907	0.0141611796920326	KRT78; ALDH3A1; AHNAK2; PDLIM2; ADM2; ; IRX3; KRT6A; CHAC1; ALOX15B; SCNN1B; S100A3; ARG2; SESN2; SLC2A9; IGFL2-AS1; TRERF1; SCNN1G; SLC28A3; LINC00160; NECTIN4; WFDC12; LGALS9C	0.150108504735545
36	Lung	22	1400	9507	112	10907	0.0263329794915404	C5orf38; C6orf223; TCIM; LGALS9; EGFL7; FLRT3; PDLIM2; GNGT2; TREM1; ; ALOX15B; DAPK1; DNAH5; SFTPD; SLC2A9; SULT1A1; CPD; SCNN1G; C11orf16; ZNF385B; HACD4; AZU1	0.232607985508607
12	Brain_Cerebellum	19	1197	9710	112	10907	0.0353023635272114	CALB2; DUSP8; SLC8A2; YPEL3; ; GFOD1; SIDT1; ZNF34; LRRC4; DNAJC12; SHANK1; SCAMP5; PCBP3; ZNF385B; PTCH1; SCN1B; SCN2B; FBLL1; ABAT	0.243611181042394
11	Brain_Cerebellar_Hemisphere	19	1203	9704	112	10907	0.0368892186065201	CALB2; DUSP8; SLC8A2; YPEL3; ; GFOD1; SIDT1; ZNF34; LRRC4; DNAJC12; SHANK1; SCAMP5; PCBP3; ZNF385B; PTCH1; SCN1B; SCN2B; FBLL1; ABAT	0.243611181042394
48	Stomach	22	1466	9441	112	10907	0.0413679364034254	C5orf38; LGALS9; ALDH3A1; SLC17A9; TCEA3; FLRT3; ADM2; HTR3A; ; DAPK1; HGD; PGC; SCNN1B; CPD; SCNN1G; ERN2; NUDT12; METTL7A; TSPAN1; HPN; ZNF385B; LGALS9C	0.243611181042394
44	Skin_Not_Sun_Exposed_.Suprapubic.	19	1295	9612	112	10907	0.0683371936847128	C5orf38; KRT78; AHNAK2; PDLIM2; ; IRX3; ALOX15B; OR7C1; SCNN1B; S100A3; IL31RA; TACC2; IGFL2-AS1; TRERF1; PPP1R14C; SCNN1G; SLC28A3; NECTIN4; WFDC12	0.362187126528978
13	Brain_Cortex	17	1149	9758	112	10907	0.0778941495429395	DUSP8; CARMIL2; SLC8A2; ZNF358; YPEL3; ; GFOD1; DISP3; LRRC4; SYT17; SHANK1; SCAMP5; SCN1B; SCN2B; FBLL1; ABAT; SLC1A4	0.375308175070527
34	Kidney_Cortex	19	1358	9549	112	10907	0.098448398153633	C5orf38; C6orf223; TCIM; ETNK2; FLRT3; ADM2; PCK2; ; DAPK1; HGD; GABARAP; ARG2; SESN2; SLC2A9; SCNN1G; GAL3ST1; TSPAN1; HPN; SUGCT	0.434813758511879
45	Skin_Sun_Exposed_.Lower_leg.	18	1293	9614	112	10907	0.110173170468879	C5orf38; KRT78; AHNAK2; PDLIM2; ; IRX3; ALOX15B; OR7C1; SCNN1B; S100A3; IL31RA; TACC2; IGFL2-AS1; PPP1R14C; SCNN1G; SLC28A3; NECTIN4; WFDC12	0.449167541142351
42	Pituitary	16	1141	9766	112	10907	0.12233046334563	SIMC1; DUSP8; KRBA1; ; SIDT1; OR7C1; DISP3; DAPK1; DNAH5; GABARAP; ARG2; SYT17; DNAJC12; PCBP3; C11orf16; FBLL1	0.454130209284878
14	Brain_Frontal_Cortex_.BA9.	16	1150	9757	112	10907	0.128527417722135	DUSP8; CARMIL2; SLC8A2; YPEL3; ; GFOD1; DISP3; LRRC4; SYT17; SHANK1; SCAMP5; GNAQ; SCN2B; FBLL1; ABAT; SLC1A4	0.454130209284878
52	Vagina	17	1263	9644	112	10907	0.147587740122453	KRT78; ETNK2; AHNAK2; PDLIM2; DHRS3; ; KRT6A; ALOX15B; B3GALT5; SCNN1B; SLC2A9; IGFL2-AS1; TRERF1; SCNN1G; LINC00160; NECTIN4; WFDC12	0.488884389155624
8	Brain_Amygdala	15	1106	9801	112	10907	0.160566677189864	DUSP8; CARMIL2; SLC8A2; ; DISP3; LRRC4; SYT17; DNAJC12; SHANK1; SCAMP5; GNAQ; SCN2B; FBLL1; ABAT; SLC1A4	0.497341487982769
15	Brain_Hippocampus	15	1116	9791	112	10907	0.16890842988094	DUSP8; CARMIL2; SLC8A2; ; DISP3; LRRC4; SYT17; SHANK1; SCAMP5; GAL3ST1; GNAQ; FIBCD1; SCN2B; FBLL1; ABAT	0.497341487982769
9	Brain_Anterior_cingulate_cortex_.BA24.	15	1132	9775	112	10907	0.182722368318178	DUSP8; CARMIL2; SLC8A2; ZNF358; ; DISP3; LRRC4; SYT17; SHANK1; SCAMP5; GNAQ; SCN2B; FBLL1; ABAT; SLC1A4	0.509699237940181
17	Brain_Nucleus_accumbens_.basal_ganglia.	14	1070	9837	112	10907	0.206650730419997	DUSP8; CARMIL2; SLC8A2; ; DISP3; LRRC4; DNAJC12; SHANK1; SCAMP5; GNAQ; SCN2B; FBLL1; ABAT; SLC1A4	0.547624435612992
18	Brain_Putamen_.basal_ganglia.	14	1088	9819	112	10907	0.224482949900988	DUSP8; CARMIL2; SLC8A2; ; DISP3; LRRC4; DNAJC12; SHANK1; SCAMP5; GNAQ; SCN2B; FBLL1; ABAT; SLC1A4	0.550563197638536
10	Brain_Caudate_.basal_ganglia.	14	1092	9815	112	10907	0.228535666944298	DUSP8; CARMIL2; SLC8A2; ; DISP3; LRRC4; SYT17; SHANK1; SCAMP5; GNAQ; SCN2B; FBLL1; ABAT; SLC1A4	0.550563197638536
20	Brain_Substantia_nigra	14	1142	9765	112	10907	0.281675151862516	; DISP3; BOLA2B; LRRC4; SYT17; DNAJC12; SHANK1; SCAMP5; GAL3ST1; GNAQ; SCN2B; FBLL1; ABAT; SLC1A4	0.649077523857102
16	Brain_Hypothalamus	13	1090	9817	112	10907	0.327072965980682	CALB2; SLC8A2; ; DISP3; LRRC4; SYT17; DNAJC12; SHANK1; SCAMP5; SCN2B; FBLL1; ABAT; SLC1A4	0.722286133207338
32	Heart_Atrial_Appendage	15	1301	9606	112	10907	0.357049027506425	C6orf223; TCIM; EGFL7; KRBA1; ZNF358; ; GFOD1; SLC2A9; GRB10; PRLH; TACC2; PPP1R14C; BLM; ZNF385B; SCN1B	0.756943938313621
27	Colon_Transverse	17	1516	9391	112	10907	0.387366501037715	LGALS9; NEK3; TCEA3; TFF3; HTR3A; PCK2; ; B3GALT5; SCNN1B; BOLA2B; SULT1A1; SCNN1G; ERN2; NUDT12; TSPAN1; TRABD2A; LGALS9C	0.772051811584099
47	Spleen	14	1247	9660	112	10907	0.403862079398414	LGALS9; EGFL7; SLC17A9; CARMIL2; PDLIM2; YPEL3; GNGT2; ; SIDT1; RIPOR2; GRB10; SULT1A1; RAI14; AZU1	0.772051811584099
46	Small_Intestine_Terminal_Ileum	15	1345	9562	112	10907	0.407876428761411	LGALS9; NEK3; TFF3; CARMIL2; HTR3A; PCK2; ; SIDT1; B3GALT5; SLC2A9; SULT1A1; ERN2; TSPAN1; TRABD2A; LGALS9C	0.772051811584099
19	Brain_Spinal_cord_.cervical_c.1.	13	1180	9727	112	10907	0.438080861137788	SLC8A2; ; GABARAP; PRLH; NUDT12; DNAJC12; SHANK1; SCAMP5; GAL3ST1; GNAQ; SCN2B; FBLL1; ABAT	0.791187146127801
38	Muscle_Skeletal	16	1475	9432	112	10907	0.447841780827057	PRKG1; TCEA3; ZNF358; TBX15; ; TRIM72; CHAC1; FKBP5; ARG2; GRB10; TACC2; PPP1R14C; SPEG; LINC00160; ZNF385B; SCN1B	0.791187146127801
43	Prostate	14	1334	9573	112	10907	0.508539261257735	ELOVL5; FLRT3; DHRS3; ; ALOX15B; OR7C1; GPR161; DNAH5; HGD; ARG2; SLC2A9; TRERF1; SCNN1G; TSPAN1	0.86943809182774
