list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
46	Small_Intestine_Terminal_Ileum	8	1345	9562	27	10907	0.0134485285728646	LGALS9; ; B3GALT5; SULT1A1; ERN2; TSPAN1; TRABD2A; LGALS9C	0.348845856412136
29	Esophagus_Mucosa	8	1399	9508	27	10907	0.0168422599947686	KRT78; ALDH3A1; PDLIM2; ; S100A3; IGFL2-AS1; NECTIN4; LGALS9C	0.348845856412136
48	Stomach	8	1466	9441	27	10907	0.0218932013756707	LGALS9; ALDH3A1; ; DAPK1; ERN2; METTL7A; TSPAN1; LGALS9C	0.348845856412136
27	Colon_Transverse	8	1516	9391	27	10907	0.0263279891631801	LGALS9; ; B3GALT5; SULT1A1; ERN2; TSPAN1; TRABD2A; LGALS9C	0.348845856412136
53	Whole_Blood	5	779	10128	27	10907	0.0398258471602547	LGALS9; GNGT2; ; LRRC4; LGALS9C	0.372893733427026
37	Minor_Salivary_Gland	7	1353	9554	27	10907	0.0422143849162671	ALDH3A1; ; B3GALT5; ERN2; NECTIN4; C11orf16; TSPAN1	0.372893733427026
36	Lung	7	1400	9507	27	10907	0.0494888420764314	LGALS9; PDLIM2; GNGT2; ; DAPK1; SULT1A1; C11orf16	0.374701232864409
52	Vagina	6	1263	9644	27	10907	0.0841360969372101	KRT78; PDLIM2; ; B3GALT5; IGFL2-AS1; NECTIN4	0.490510457433348
45	Skin_Sun_Exposed_.Lower_leg.	6	1293	9614	27	10907	0.0920096681157846	KRT78; PDLIM2; ; S100A3; IGFL2-AS1; NECTIN4	0.490510457433348
44	Skin_Not_Sun_Exposed_.Suprapubic.	6	1295	9612	27	10907	0.0925491429119524	KRT78; PDLIM2; ; S100A3; IGFL2-AS1; NECTIN4	0.490510457433348
47	Spleen	5	1247	9660	27	10907	0.18923076889629	LGALS9; PDLIM2; GNGT2; ; SULT1A1	0.87130191807737
41	Pancreas	3	707	10200	27	10907	0.253585999273518	; DAPK1; B3GALT5	0.87130191807737
16	Brain_Hypothalamus	4	1090	9817	27	10907	0.281587918485027	CALB2; ; LRRC4; SHANK1	0.87130191807737
7	Bladder	5	1445	9462	27	10907	0.282741978279298	; DAPK1; ERN2; METTL7A; TSPAN1	0.87130191807737
15	Brain_Hippocampus	4	1116	9791	27	10907	0.296506455181057	; LRRC4; SHANK1; FIBCD1	0.87130191807737
42	Pituitary	4	1141	9766	27	10907	0.310976477284978	KRBA1; ; DAPK1; C11orf16	0.87130191807737
12	Brain_Cerebellum	4	1197	9710	27	10907	0.343718271674992	CALB2; ; LRRC4; SHANK1	0.87130191807737
11	Brain_Cerebellar_Hemisphere	4	1203	9704	27	10907	0.347245691881573	CALB2; ; LRRC4; SHANK1	0.87130191807737
22	Cells_EBV.transformed_lymphocytes	5	1579	9328	27	10907	0.351428899281207	LGALS9; GNGT2; ; BLM; E2F1	0.87130191807737
31	Fallopian_Tube	4	1292	9615	27	10907	0.399722581411185	; GPR161; METTL7A; C11orf16	0.87130191807737
2	Adipose_Visceral_.Omentum.	4	1370	9537	27	10907	0.445479652425357	CALB2; ; DAPK1; METTL7A	0.87130191807737
4	Artery_Aorta	4	1441	9466	27	10907	0.486462901458067	PRKG1; PDLIM2; ; GPR161	0.87130191807737
5	Artery_Coronary	4	1441	9466	27	10907	0.486462901458067	PRKG1; PDLIM2; ; GPR161	0.87130191807737
17	Brain_Nucleus_accumbens_.basal_ganglia.	3	1070	9837	27	10907	0.502231309484601	; LRRC4; SHANK1	0.87130191807737
18	Brain_Putamen_.basal_ganglia.	3	1088	9819	27	10907	0.513875737457661	; LRRC4; SHANK1	0.87130191807737
10	Brain_Caudate_.basal_ganglia.	3	1092	9815	27	10907	0.516446406080309	; LRRC4; SHANK1	0.87130191807737
26	Colon_Sigmoid	4	1505	9402	27	10907	0.522558202088282	PRKG1; ; GPR161; DAPK1	0.87130191807737
8	Brain_Amygdala	3	1106	9801	27	10907	0.525393591192577	; LRRC4; SHANK1	0.87130191807737
9	Brain_Anterior_cingulate_cortex_.BA24.	3	1132	9775	27	10907	0.541795590822131	; LRRC4; SHANK1	0.87130191807737
20	Brain_Substantia_nigra	3	1142	9765	27	10907	0.548027229164111	; LRRC4; SHANK1	0.87130191807737
13	Brain_Cortex	3	1149	9758	27	10907	0.552363268117899	; LRRC4; SHANK1	0.87130191807737
14	Brain_Frontal_Cortex_.BA9.	3	1150	9757	27	10907	0.552980928028179	; LRRC4; SHANK1	0.87130191807737
3	Adrenal_Gland	4	1593	9314	27	10907	0.570465978074649	; SULT1A1; METTL7A; FIBCD1	0.87130191807737
35	Liver	3	1193	9714	27	10907	0.57910882784228	; SULT1A1; METTL7A	0.87130191807737
24	Cervix_Ectocervix	3	1245	9662	27	10907	0.609527678073429	KRT78; ; NECTIN4	0.87130191807737
32	Heart_Atrial_Appendage	3	1301	9606	27	10907	0.64076562025977	KRBA1; ; BLM	0.87130191807737
49	Testis	1	421	10486	27	10907	0.654967079433847		0.87130191807737
43	Prostate	3	1334	9573	27	10907	0.658409217622183	; GPR161; TSPAN1	0.87130191807737
34	Kidney_Cortex	3	1358	9549	27	10907	0.670878178911584	; DAPK1; TSPAN1	0.87130191807737
25	Cervix_Endocervix	3	1360	9547	27	10907	0.671903376653441	; ERN2; C11orf16	0.87130191807737
40	Ovary	3	1420	9487	27	10907	0.701660214024545	; DAPK1; TRABD2A	0.87130191807737
33	Heart_Left_Ventricle	3	1426	9481	27	10907	0.704529271623038	KRBA1; ; BLM	0.87130191807737
1	Adipose_Subcutaneous	3	1431	9476	27	10907	0.706905329760885	CALB2; ; METTL7A	0.87130191807737
28	Esophagus_Gastroesophageal_Junction	3	1505	9402	27	10907	0.740499506350363	; GPR161; DAPK1	0.879775034573793
30	Esophagus_Muscularis	3	1540	9367	27	10907	0.755370505864022	; GPR161; DAPK1	0.879775034573793
6	Artery_Tibial	3	1560	9347	27	10907	0.763578331894236	PRKG1; PDLIM2; 	0.879775034573793
23	Cells_Transformed_fibroblasts	3	1658	9249	27	10907	0.800817843735463	PDLIM2; ; S100A3	0.890078331339192
19	Brain_Spinal_cord_.cervical_c.1.	2	1180	9727	27	10907	0.806108677439268	; SHANK1	0.890078331339192
50	Thyroid	2	1455	9452	27	10907	0.89229367099853	; METTL7A	0.945249968050051
38	Muscle_Skeletal	2	1475	9432	27	10907	0.89698435839039	PRKG1; 	0.945249968050051
51	Uterus	2	1533	9374	27	10907	0.909580157934955	; GPR161	0.945249968050051
21	Breast_Mammary_Tissue	1	1430	9477	27	10907	0.977614965693328		0.977805766281842
39	Nerve_Tibial	1	1433	9474	27	10907	0.977805766281842		0.977805766281842
