list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
2	Alveolar cells type 2	17	1382	9290	115	10672	0.317158736156859	TCIM; TCEA3; FLRT3; YPEL3; IRX3; ALOX15B; DAPK1; PGC; GABARAP; SFTPD; TACC2; SULT1A1; RAI14; METTL7A; ZNF385B; GNAQ; GNLY	1
10	Club cells	15	1432	9240	115	10672	0.588895890375636	TCIM; ALDH3A1; TCEA3; TFF3; FLRT3; DHRS3; IRX3; DNAH5; SCNN1B; GABARAP; SFTPD; TACC2; RAI14; METTL7A; TSPAN1	1
25	Hepatocytes	14	1347	9325	115	10672	0.60031535803552	ELOVL5; ETNK2; TCEA3; SLC25A47; PCK2; DHRS3; HGD; FKBP5; SULT1A1; CPD; DNAJC12; METTL7A; HPN; ABAT	1
1	Alveolar cells type 1	14	1469	9203	115	10672	0.730439441173663	TCIM; ELOVL5; TCEA3; FLRT3; PDLIM2; DHRS3; SCNN1B; GABARAP; SFTPD; TACC2; SULT1A1; RAI14; METTL7A; GNAQ	1
18	Enterocytes	12	1389	9283	115	10672	0.832802579218153	LGALS9; TCEA3; TFF3; PDLIM2; PCK2; DHRS3; B3GALT5; GABARAP; SULT1A1; METTL7A; TSPAN1; GNAQ	1
39	Paneth cells	12	1392	9280	115	10672	0.834976611381717	LGALS9; TCEA3; TFF3; PDLIM2; PCK2; B3GALT5; GABARAP; SULT1A1; METTL7A; TSPAN1; TRABD2A; LGALS9C	1
29	Ito cells	11	1397	9275	115	10672	0.901732216408967	EGFL7; SRPX; TFF3; PDLIM2; YPEL3; DHRS3; DAPK1; FKBP5; GRB10; METTL7A; GNAQ	1
41	Proximal tubular cells	11	1403	9269	115	10672	0.904674554298881	ETNK2; TCEA3; PDLIM2; PCK2; HGD; ARG2; DNAJC12; METTL7A; TSPAN1; HPN; ABAT	1
9	Ciliated cells	11	1404	9268	115	10672	0.905157911479936	ALDH3A1; TFF3; IRX3; DNAH5; GABARAP; RIPOR2; TACC2; METTL7A; C11orf16; TSPAN1; HACD4	1
50	Undifferentiated cells	11	1421	9251	115	10672	0.913073946108754	LGALS9; TCEA3; TFF3; PCK2; GABARAP; SULT1A1; ERN2; METTL7A; TSPAN1; TRABD2A; GNAQ	1
12	Cone photoreceptor cells	11	1427	9245	115	10672	0.915734981833605	DUSP8; USP9Y; YPEL3; GNGT2; GRB10; RAI14; SCAMP5; PCBP3; ZNF385B; UTY; SLC25A29	1
30	Kupffer cells	10	1352	9320	115	10672	0.92978777798415	LGALS9; ELOVL5; YPEL3; DAPK1; FKBP5; GABARAP; SULT1A1; METTL7A; GNAQ; HACD4	1
7	Cardiomyocytes	9	1359	9313	115	10672	0.965340676322072	TCEA3; ZNF358; GFOD1; FKBP5; BOLA2B; TACC2; PPP1R14C; SPEG; TRABD2A	1
27	Horizontal cells	9	1375	9297	115	10672	0.968664955693617	DUSP8; AHNAK2; ZNF358; YPEL3; GPR161; LRRC4; SCAMP5; PCBP3; GNAQ	1
31	Late spermatids	8	1263	9409	115	10672	0.969665920607578	ELOVL5; ETNK2; DHRS3; GRB10; RAI14; TSPAN1; PTCH1; TRABD2A	1
36	Mucus-secreting cells	9	1404	9268	115	10672	0.973974594466213	LGALS9; TCEA3; TFF3; GABARAP; CPD; ERN2; METTL7A; TSPAN1; GNAQ	1
20	Exocrine glandular cells	9	1411	9261	115	10672	0.975128988204121	TCIM; LGALS9; CALB2; TCEA3; PCK2; DHRS3; PGC; GABARAP; TSPAN1	1
11	Collecting duct cells	9	1425	9247	115	10672	0.977300953692492	TCIM; YPEL3; SCNN1B; ARG2; SCNN1G; METTL7A; TSPAN1; GNAQ; SLC25A29	1
23	Glandular cells	9	1428	9244	115	10672	0.977743565131252	ELOVL5; TCEA3; TFF3; YPEL3; DHRS3; PGC; ARG2; TACC2; TSPAN1	1
8	Cholangiocytes	9	1431	9241	115	10672	0.97817839153209	TCEA3; TFF3; YPEL3; HGD; FKBP5; PGC; GRB10; CPD; METTL7A	1
28	Intestinal endocrine cells	8	1373	9299	115	10672	0.985671051035992	TCEA3; TFF3; GABARAP; DNAJC12; SCAMP5; METTL7A; TSPAN1; GNAQ	1
38	Pancreatic endocrine cells	8	1408	9264	115	10672	0.988834575180856	TCIM; LGALS9; YPEL3; DHRS3; PGC; GABARAP; DNAJC12; TSPAN1	1
16	Early spermatids	6	1245	9427	115	10672	0.994468666069975	ETNK2; GRB10; RAI14; TSPAN1; TRABD2A; OLAH	1
32	Leydig cells	7	1384	9288	115	10672	0.994812697254276	SRPX; PDLIM2; YPEL3; FKBP5; RAI14; METTL7A; PTCH1	1
17	Endothelial cells	7	1399	9273	115	10672	0.995390058721983	EGFL7; ELOVL5; TFF3; YPEL3; FKBP5; RAI14; GNAQ	1
14	Distal tubular cells	7	1416	9256	115	10672	0.995971245004405	C5orf38; TCIM; TCEA3; YPEL3; HGD; SULT1A1; ZNF385B	1
42	Rod photoreceptor cells	6	1369	9303	115	10672	0.99802672060902	YPEL3; GRB10; SCAMP5; PCBP3; ZNF385B; SLC25A29	1
40	Peritubular cells	6	1388	9284	115	10672	0.998323188784639	SRPX; PDLIM2; YPEL3; FKBP5; METTL7A; PTCH1	1
49	T-cells	6	1393	9279	115	10672	0.998393843848914	ELOVL5; PDLIM2; YPEL3; FKBP5; SASH3; GNLY	1
48	Syncytiotrophoblasts	6	1413	9259	115	10672	0.998649075515712	PDLIM2; YPEL3; ARG2; TACC2; RAI14; NECTIN4	1
4	Basal glandular cells	6	1445	9227	115	10672	0.998978681052166	ELOVL5; FLRT3; YPEL3; DHRS3; ARG2; TSPAN1	1
51	Urothelial cells	6	1447	9225	115	10672	0.998996493201215	YPEL3; DHRS3; KRT6A; ARG2; TACC2; TSPAN1	1
6	Bipolar cells	5	1350	9322	115	10672	0.99933858294127	DUSP8; YPEL3; SCAMP5; PCBP3; ZNF385B	1
37	Muller glia cells	5	1358	9314	115	10672	0.999385782778283	ELOVL5; YPEL3; SULT1A1; METTL7A; PTCH1	1
