list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
39	Paneth cells	8	1392	9280	26	10672	0.0146608769319812	LGALS9; PDLIM2; B3GALT5; SULT1A1; METTL7A; TSPAN1; TRABD2A; LGALS9C	0.74770472353104
18	Enterocytes	6	1389	9283	26	10672	0.112582428087433	LGALS9; PDLIM2; B3GALT5; SULT1A1; METTL7A; TSPAN1	1
50	Undifferentiated cells	6	1421	9251	26	10672	0.122314610350073	LGALS9; SULT1A1; ERN2; METTL7A; TSPAN1; TRABD2A	1
30	Kupffer cells	4	1352	9320	26	10672	0.422588775072471	LGALS9; DAPK1; SULT1A1; METTL7A	1
29	Ito cells	4	1397	9275	26	10672	0.448557280704665	SRPX; PDLIM2; DAPK1; METTL7A	1
9	Ciliated cells	4	1404	9268	26	10672	0.452575661616301	ALDH3A1; METTL7A; C11orf16; TSPAN1	1
36	Mucus-secreting cells	4	1404	9268	26	10672	0.452575661616301	LGALS9; ERN2; METTL7A; TSPAN1	1
2	Alveolar cells type 2	3	1382	9290	26	10672	0.672693826434029	DAPK1; SULT1A1; METTL7A	1
32	Leydig cells	3	1384	9288	26	10672	0.673702836092072	SRPX; PDLIM2; METTL7A	1
40	Peritubular cells	3	1388	9284	26	10672	0.67571460552767	SRPX; PDLIM2; METTL7A	1
41	Proximal tubular cells	3	1403	9269	26	10672	0.683184411806833	PDLIM2; METTL7A; TSPAN1	1
20	Exocrine glandular cells	3	1411	9261	26	10672	0.687120240841827	LGALS9; CALB2; TSPAN1	1
10	Club cells	3	1432	9240	26	10672	0.697292381963395	ALDH3A1; METTL7A; TSPAN1	1
1	Alveolar cells type 1	3	1469	9203	26	10672	0.714652287745961	PDLIM2; SULT1A1; METTL7A	1
16	Early spermatids	2	1245	9427	26	10672	0.824112366215251	TSPAN1; TRABD2A	1
31	Late spermatids	2	1263	9409	26	10672	0.83052275762836	TSPAN1; TRABD2A	1
25	Hepatocytes	2	1347	9325	26	10672	0.857864918988717	SULT1A1; METTL7A	1
37	Muller glia cells	2	1358	9314	26	10672	0.861146805768982	SULT1A1; METTL7A	1
28	Intestinal endocrine cells	2	1373	9299	26	10672	0.865516135459489	METTL7A; TSPAN1	1
27	Horizontal cells	2	1375	9297	26	10672	0.866089594864899	GPR161; LRRC4	1
22	Fibroblasts	2	1403	9269	26	10672	0.873897519008477	SRPX; PDLIM2	1
43	Sertoli cells	2	1403	9269	26	10672	0.873897519008477	PDLIM2; METTL7A	1
38	Pancreatic endocrine cells	2	1408	9264	26	10672	0.875249199707541	LGALS9; TSPAN1	1
48	Syncytiotrophoblasts	2	1413	9259	26	10672	0.876588210362242	PDLIM2; NECTIN4	1
11	Collecting duct cells	2	1425	9247	26	10672	0.879750696775775	METTL7A; TSPAN1	1
7	Cardiomyocytes	1	1359	9313	26	10672	0.971159341920585	TRABD2A	1
33	Macrophages	1	1367	9305	26	10672	0.971797458365202	LGALS9	1
26	Hofbauer cells	1	1382	9290	26	10672	0.972957523454082	LGALS9	1
3	B-cells	1	1387	9285	26	10672	0.973333911801709	METTL7A	1
49	T-cells	1	1393	9279	26	10672	0.9737789308166	PDLIM2	1
5	Basal keratinocytes	1	1398	9274	26	10672	0.974144316790228	PDLIM2	1
24	granulocytes	1	1398	9274	26	10672	0.974144316790228	CALB2	1
47	Suprabasal keratinocytes	1	1398	9274	26	10672	0.974144316790228	PDLIM2	1
13	Cytotrophoblasts	1	1407	9265	26	10672	0.974789710020075	METTL7A	1
15	Ductal cells	1	1410	9262	26	10672	0.975001377654328	LGALS9	1
44	Smooth muscle cells	1	1411	9261	26	10672	0.975071553013968	PDLIM2	1
35	monocytes	1	1415	9257	26	10672	0.975350364977703	LGALS9	1
14	Distal tubular cells	1	1416	9256	26	10672	0.975419598045714	SULT1A1	1
21	Extravillous trophoblasts	1	1424	9248	26	10672	0.975966771347302	PDLIM2	1
12	Cone photoreceptor cells	1	1427	9245	26	10672	0.976168926203693	GNGT2	1
23	Glandular cells	1	1428	9244	26	10672	0.976235947071049	TSPAN1	1
8	Cholangiocytes	1	1431	9241	26	10672	0.976435924024202	METTL7A	1
34	Melanocytes	1	1433	9239	26	10672	0.976568341977314	SRPX	1
4	Basal glandular cells	1	1445	9227	26	10672	0.977347950275021	TSPAN1	1
51	Urothelial cells	1	1447	9225	26	10672	0.977475435988613	TSPAN1	1
19	Erythroid cells	2	2417	8255	26	10672	0.98921867864162	PDLIM2; METTL7A	1
6	Bipolar cells	0	1350	9322	26	10672	1		1
17	Endothelial cells	0	1399	9273	26	10672	1		1
42	Rod photoreceptor cells	0	1369	9303	26	10672	1		1
45	Spermatocytes	0	1383	9289	26	10672	1		1
46	Spermatogonia	0	1412	9260	26	10672	1		1
