list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
2	Alveolar cells type 2	14	1382	9290	89	10672	0.258030674542431	TCIM; TCEA3; FLRT3; YPEL3; IRX3; ALOX15B; PGC; GABARAP; SFTPD; TACC2; RAI14; ZNF385B; GNAQ; GNLY	1
25	Hepatocytes	12	1347	9325	89	10672	0.450394316976041	ELOVL5; ETNK2; TCEA3; SLC25A47; PCK2; DHRS3; HGD; FKBP5; CPD; DNAJC12; HPN; ABAT	1
10	Club cells	12	1432	9240	89	10672	0.540079280274398	TCIM; TCEA3; TFF3; FLRT3; DHRS3; IRX3; DNAH5; SCNN1B; GABARAP; SFTPD; TACC2; RAI14	1
1	Alveolar cells type 1	11	1469	9203	89	10672	0.696339876915196	TCIM; ELOVL5; TCEA3; FLRT3; DHRS3; SCNN1B; GABARAP; SFTPD; TACC2; RAI14; GNAQ	1
12	Cone photoreceptor cells	10	1427	9245	89	10672	0.76853897956767	DUSP8; USP9Y; YPEL3; GRB10; RAI14; SCAMP5; PCBP3; ZNF385B; UTY; SLC25A29	1
7	Cardiomyocytes	8	1359	9313	89	10672	0.894352258026628	TCEA3; ZNF358; GFOD1; FKBP5; BOLA2B; TACC2; PPP1R14C; SPEG	1
41	Proximal tubular cells	8	1403	9269	89	10672	0.913173389195629	ETNK2; TCEA3; PCK2; HGD; ARG2; DNAJC12; HPN; ABAT	1
23	Glandular cells	8	1428	9244	89	10672	0.922564069682374	ELOVL5; TCEA3; TFF3; YPEL3; DHRS3; PGC; ARG2; TACC2	1
8	Cholangiocytes	8	1431	9241	89	10672	0.92363135085277	TCEA3; TFF3; YPEL3; HGD; FKBP5; PGC; GRB10; CPD	1
27	Horizontal cells	7	1375	9297	89	10672	0.950998949450373	DUSP8; AHNAK2; ZNF358; YPEL3; SCAMP5; PCBP3; GNAQ	1
29	Ito cells	7	1397	9275	89	10672	0.956259210512699	EGFL7; TFF3; YPEL3; DHRS3; FKBP5; GRB10; GNAQ	1
17	Endothelial cells	7	1399	9273	89	10672	0.956711825828709	EGFL7; ELOVL5; TFF3; YPEL3; FKBP5; RAI14; GNAQ	1
9	Ciliated cells	7	1404	9268	89	10672	0.957825358631593	TFF3; IRX3; DNAH5; GABARAP; RIPOR2; TACC2; HACD4	1
31	Late spermatids	6	1263	9409	89	10672	0.960526695162385	ELOVL5; ETNK2; DHRS3; GRB10; RAI14; PTCH1	1
11	Collecting duct cells	7	1425	9247	89	10672	0.962230899474857	TCIM; YPEL3; SCNN1B; ARG2; SCNN1G; GNAQ; SLC25A29	1
30	Kupffer cells	6	1352	9320	89	10672	0.976082552230308	ELOVL5; YPEL3; FKBP5; GABARAP; GNAQ; HACD4	1
42	Rod photoreceptor cells	6	1369	9303	89	10672	0.978325930445017	YPEL3; GRB10; SCAMP5; PCBP3; ZNF385B; SLC25A29	1
28	Intestinal endocrine cells	6	1373	9299	89	10672	0.978825121778057	TCEA3; TFF3; GABARAP; DNAJC12; SCAMP5; GNAQ	1
18	Enterocytes	6	1389	9283	89	10672	0.980718751424963	TCEA3; TFF3; PCK2; DHRS3; GABARAP; GNAQ	1
38	Pancreatic endocrine cells	6	1408	9264	89	10672	0.982765711867219	TCIM; YPEL3; DHRS3; PGC; GABARAP; DNAJC12	1
20	Exocrine glandular cells	6	1411	9261	89	10672	0.983070067463652	TCIM; TCEA3; PCK2; DHRS3; PGC; GABARAP	1
14	Distal tubular cells	6	1416	9256	89	10672	0.983566387842578	C5orf38; TCIM; TCEA3; YPEL3; HGD; ZNF385B	1
6	Bipolar cells	5	1350	9322	89	10672	0.991235436300628	DUSP8; YPEL3; SCAMP5; PCBP3; ZNF385B	1
49	T-cells	5	1393	9279	89	10672	0.993389149452588	ELOVL5; YPEL3; FKBP5; SASH3; GNLY	1
36	Mucus-secreting cells	5	1404	9268	89	10672	0.99385409523124	TCEA3; TFF3; GABARAP; CPD; GNAQ	1
50	Undifferentiated cells	5	1421	9251	89	10672	0.994512559064311	TCEA3; TFF3; PCK2; GABARAP; GNAQ	1
16	Early spermatids	4	1245	9427	89	10672	0.994640110225328	ETNK2; GRB10; RAI14; OLAH	1
4	Basal glandular cells	5	1445	9227	89	10672	0.995329767390292	ELOVL5; FLRT3; YPEL3; DHRS3; ARG2	1
51	Urothelial cells	5	1447	9225	89	10672	0.995392410611234	YPEL3; DHRS3; KRT6A; ARG2; TACC2	1
33	Macrophages	4	1367	9305	89	10672	0.997759917665154	TREM1; FKBP5; GABARAP; GNAQ	1
32	Leydig cells	4	1384	9288	89	10672	0.998021852176175	YPEL3; FKBP5; RAI14; PTCH1	1
39	Paneth cells	4	1392	9280	89	10672	0.998134713989076	TCEA3; TFF3; PCK2; GABARAP	1
19	Erythroid cells	10	2417	8255	89	10672	0.998211297477106	YPEL3; DHRS3; GFOD1; HGD; FKBP5; ARG2; GRB10; SASH3; GNAQ; GNLY	1
47	Suprabasal keratinocytes	4	1398	9274	89	10672	0.998215284069089	AHNAK2; YPEL3; KRT6A; PPP1R14C	1
48	Syncytiotrophoblasts	4	1413	9259	89	10672	0.99840237774792	YPEL3; ARG2; TACC2; RAI14	1
35	monocytes	4	1415	9257	89	10672	0.998425854509493	ALOX15B; FKBP5; GABARAP; GNAQ	1
37	Muller glia cells	3	1358	9314	89	10672	0.999486022947128	ELOVL5; YPEL3; PTCH1	1
3	B-cells	3	1387	9285	89	10672	0.999593241133949	ELOVL5; YPEL3; SASH3	1
40	Peritubular cells	3	1388	9284	89	10672	0.999596520912083	YPEL3; FKBP5; PTCH1	1
5	Basal keratinocytes	3	1398	9274	89	10672	0.999627937260635	AHNAK2; KRT6A; PPP1R14C	1
24	granulocytes	3	1398	9274	89	10672	0.999627937260635	ELOVL5; TFF3; GABARAP	1
43	Sertoli cells	3	1403	9269	89	10672	0.999642740954348	ELOVL5; YPEL3; FKBP5	1
15	Ductal cells	3	1410	9262	89	10672	0.99966250834033	TCIM; DHRS3; GABARAP	1
34	Melanocytes	3	1433	9239	89	10672	0.999720255709063	TFF3; SLC1A4; GNLY	1
26	Hofbauer cells	2	1382	9290	89	10672	0.999940704531493	EGFL7; GABARAP	1
13	Cytotrophoblasts	2	1407	9265	89	10672	0.999952497350283	YPEL3; ARG2	1
22	Fibroblasts	1	1403	9269	89	10672	0.999996628813117	ELOVL5	1
44	Smooth muscle cells	1	1411	9261	89	10672	0.999996879325338	ELOVL5	1
46	Spermatogonia	1	1412	9260	89	10672	0.999996909315624	EGFL7	1
21	Extravillous trophoblasts	1	1424	9248	89	10672	0.99999724771709	YPEL3	1
45	Spermatocytes	0	1383	9289	89	10672	1		1
