list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
35	Liver	75	1193	9714	317	10907	4.56492852596553e-11	ASS1; PNKD; DGAT2; TCIM; GADD45G; AKR1C2; NA; PALM3; IL32; ; GADD45B; PNPO; ALDH2; TMEM208; SERPINA6; YIF1A; VAMP8; SYT12; SMCO4; NUPR1; TMEM150A; ANGPTL4; GCAT; IFITM10; IGFBP4; AGFG2; GCHFR; NUDT16L1; SRPRB; SLC25A38; MT1X; NAGLU; AKR1C3; PHYH; ETNK2; CEBPB; MFSD3; TYMP; DCXR; MVD; CRELD2; CYP4F12; GALR3; TMEM141; COMTD1; F7; SELENBP1; BLVRB; TM7SF2; NNMT; MPC1; FLVCR2; MT2A; FTL; HM13; STEAP3; RBCK1; MGST1; LDHD; GMPPA; DGCR6L; CXXC5; HPN; NR2F6; OCEL1; ALDH6A1; AKR1C1; STARD10; APMAP; SDC4; GCDH; FASN; RCL1; SIL1; MFSD2A	2.41941211876173e-09
36	Lung	78	1400	9507	317	10907	5.30130264059851e-09	SFTPB; PNKD; SFTPC; THEMIS2; TCIM; NA; IL32; C5orf38; ZNF467; FSTL3; FAM177A1; ; KRT7; GADD45B; C16orf89; ARRDC2; CCL20; SFTA2; CXCL1; MSLN; VAMP8; PLXNA2; VAMP5; MACROD2; TMEM104; HPCAL1; TMEM150A; BMP2; SLC39A7; IL27RA; CTSD; GCHFR; RP1; HOPX; F2RL3; ARRDC1; TREM1; NAGLU; EXOC3L1; UVSSA; CEBPB; TYMP; SLC7A7; PIM3; BLVRA; CFLAR; VIPR1; BLVRB; TCN2; CXCL3; FLVCR2; ZFP36L2; SPTSSA; FTL; HM13; CSF2; SUSD2; SYS1; PTPRM; PDGFB; SUMF2; EFNB2; CPAMD8; RNF135; KLF6; TNFAIP2; CEP70; PAG1; SCNN1A; GPR153; EMP2; PTGER1; ADGRE5; MACC1; SDC4; OTULINL; CHFR; MFSD2A	1.40484519975861e-07
48	Stomach	74	1466	9441	317	10907	8.43895197899026e-07	PNKD; MISP3; AKR1C2; NA; PALM3; C5orf38; ZNF467; ; C16orf89; CTSE; TMEM208; NFKBIL1; YIF1A; VAMP8; SMCO4; SCNN1B; TMEM150A; BMP2; SLC39A7; SURF1; PWWP2B; JTB; RP1; SRPRB; SLC25A38; HMOX2; SPDEF; ARRDC1; NAGLU; AKR1C3; SMARCD2; C15orf65; UVSSA; DCXR; ATG101; STX5; TPRN; PIM3; CRELD2; PLLP; TMEM141; COMTD1; SELENBP1; BLVRB; CXCL3; HM13; STEAP3; TENT5A; SYS1; LDHD; SUMF2; CCPG1; GMPPA; TTC39A; PFKFB2; PUSL1; TFCP2L1; PGC; SCNN1A; PDGFA; PEX16; MPV17L2; HPN; CASZ1; ZMYND19; NR2F6; OCEL1; ATP6V0B; PTGER1; AKR1C1; STARD10; SDC4; GCDH; SIL1	1.12250202570521e-05
34	Kidney_Cortex	70	1358	9549	317	10907	8.47171340154874e-07	ASS1; PNKD; MISP3; TCIM; NA; PALM3; IL32; C5orf38; S100A5; ZNF467; ; TBC1D16; RASSF4; PNPO; TMEM208; VAMP8; B4GALT7; SMCO4; TMEM150A; FGF9; SURF1; CTSD; GCHFR; JTB; MYO3B; NUDT16L1; ABHD11; HMOX2; ARRDC1; NAGLU; C15orf65; PHYH; ETNK2; MFSD3; DCXR; DPEP1; SLC7A7; TMEM147; PIM3; TMEM141; COMTD1; TLCD1; TCN2; MPC1; MGST3; FTL; SYS1; LDHD; SUMF2; ZDHHC24; TTC39A; CPAMD8; GLRX; TFCP2L1; RNF135; TNFAIP2; COMMD7; SCNN1A; CXXC5; MPV17L2; HPN; NR2F6; OCEL1; ATP6V0B; ALDH6A1; PTGER1; SUCLG1; NDUFS8; MACC1; SDC4	1.12250202570521e-05
37	Minor_Salivary_Gland	67	1353	9554	317	10907	6.28553829736509e-06	ASS1; TFF3; MISP3; TCIM; NA; C5orf38; ; KRT7; CLDN3; MGLL; ARRDC2; SLPI; TMEM208; SYT8; MSLN; VAMP8; GJC3; SMCO4; SCNN1B; ASAP3; S100A14; LRRC26; SLC39A7; CTSD; AGFG2; SPRR1B; JTB; ABHD11; SRPRB; SPDEF; ARRDC1; NAGLU; SMARCD2; C15orf65; PI3; UVSSA; MFSD3; TYMP; ST3GAL4; ATG101; MYBPH; STX5; SECTM1; TOM1; PIM3; COMTD1; TLCD1; PYGB; SPTSSA; HM13; STEAP3; TENT5A; SUMF2; CCPG1; GMPPA; TRIM16; PUSL1; TFCP2L1; TNFAIP2; SCNN1A; CASZ1; NR2F6; STARD10; MACC1; PTPRU; SDC4; SPRR1A	6.66267059520699e-05
41	Pancreas	39	707	10200	317	10907	7.932662951148e-05	KRT83; NA; PALM3; IL32; KRT86; ; CLDN3; SYT8; SERPINA6; VAMP8; PLXNA2; GJC3; NUPR1; TMEM150A; GCAT; PWWP2B; MYO3B; ABHD11; SRPRB; MT1X; C15orf65; CHPF; DPEP1; MYBPH; TPRN; CRELD2; H2AC18; GALR3; COMTD1; TM7SF2; HM13; STEAP3; PDGFA; HPN; STARD10; MACC1; OTULINL; RCL1; SIL1	0.00070071856068474
32	Heart_Atrial_Appendage	57	1301	9606	317	10907	0.00091153674476656	ATOH8; SYNPO; TCIM; GADD45G; NA; IL32; MYBPHL; CRIP2; KLHDC8B; FSTL3; ; CCDC80; GADD45B; ALDH2; CXCL1; CLGN; VAMP5; PLEKHF1; SMCO4; FGF9; CRY2; SLC39A7; CTSD; YAF2; GCAT; TMEM245; VSTM2L; NUDT16L1; HMOX2; CCDC107; PHYH; RGS9BP; CHPF; ST3GAL4; PTGES2; NDUFB9; CRELD1; TMEM141; CFLAR; TM7SF2; PYGB; CXCL3; MPC1; MGST3; TENT5A; LDHD; PDGFB; TRIM16L; GPR153; AKR1C1; SUCLG1; NDUFS8; JMJD6; FIS1; CISD1; CCDC69; CDKN2AIPNL	0.00690163535323252
33	Heart_Left_Ventricle	61	1426	9481	317	10907	0.00107182590597194	SYNPO; TCIM; GADD45G; NA; IL32; CRIP2; KLHDC8B; FSTL3; FAM177A1; ; CLGN; PLEKHF1; SMCO4; FGF9; CRY2; IL27RA; SURF1; CTSD; YAF2; GCAT; TMEM245; NUDT16L1; HMOX2; C15orf65; IPO13; PHYH; RGS9BP; CHPF; ST3GAL4; PTGES2; NDUFB9; TMEM147; EMC8; CRELD1; CFLAR; COMTD1; BLVRB; TM7SF2; PYGB; MPC1; MGST3; NBAS; TENT5A; PTPRM; LDHD; PDGFB; TTC39A; CPAMD8; PFKFB2; COMMD7; MPV17L2; CASZ1; NR2F6; SUCLG1; NDUFS8; JMJD6; GCDH; FIS1; CISD1; CCDC69; CDKN2AIPNL	0.00710084662706411
2	Adipose_Visceral_.Omentum.	56	1370	9537	317	10907	0.00479829847988416	ASS1; DGAT2; TCIM; AKR1C2; NA; CSF1; ; CCDC80; GADD45B; TBC1D16; MGLL; RASSF4; ALDH2; MSLN; VAMP5; TDRD10; MESP1; BMP2; ANGPTL4; IL27RA; IGFBP4; GCHFR; F2RL3; MT1X; NAGLU; AKR1C3; CCDC107; EXOC3L1; CEBPB; TYMP; PIM3; BLVRA; BLVRB; NNMT; TCN2; CXCL3; ZFP36L2; MT2A; MGST3; FTL; MGST1; SYS1; PTPRM; PDGFB; EFNB2; RNF135; KLF6; TNFAIP2; ZNF26; RSL1D1; GPR153; AKR1C1; APMAP; FASN; RCL1; CCDC69	0.0282566466037623
45	Skin_Sun_Exposed_.Lower_leg.	52	1293	9614	317	10907	0.00903270420376146	DGAT2; KRT83; TENT5B; NA; C5orf38; KRT86; ; ADGRF4; MAB21L4; DLGAP4; SYT8; NR1D1; VAMP8; SCNN1B; ASAP3; S100A14; CRY2; BMP2; ARL4A; AGFG2; SPRR1B; HOPX; MT1X; SMARCD2; ATG101; STX5; TMEM147; TOM1; PIM3; CYP4F12; PLLP; OSBPL6; TLCD1; TM7SF2; ZFP36L2; SUSD2; TRIM16; PUSL1; CTNNBIP1; TFCP2L1; RNF135; KLF6; MED8; SCNN1A; CASZ1; ZMYND19; EMP2; SFN; MACC1; SDC4; LINC01422; MFSD2A	0.0478733322799358
