list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
53	Whole_Blood	100	779	10128	784	10907	4.38563822086924e-09	LGALS9; LGALS9B; ; LGALS9C; LCK; FCRL2; LAG3; TRIM22; ANKRD22; FCGR2A; AQP2; KRT3; SLC25A47; TFAP2D; NA; PTAFR; NLRP12; PSG6; IL7R; NCF4; PAEP; RUFY4; BTN3A2; LGALS2; LINC01800; AIM2; NLRC5; IFITM2; ADAM19; IFITM1; ARID5A; CD6; TMEM121B; CD96; GMFG; AZU1; PTPN6; CMTM7; LINC01588; MMP9; PRLH; CARD9; DOK3; PFKFB4; MZB1; DHRS9; HSPA6; ARHGAP9; RASGRP2; MAP2K6; IL24; SLC25A37; PLCB2; LUCAT1; IL1R2; ARHGDIB; BPIFB4; HMGB2; LY96; OPRL1; IL12RB2; SLC15A3; LILRA6; ITGB2; PIK3CD; FAM151A; E2F2; LIMK2; MFNG; CD79A; SH3TC1; PPM1M; TCN1; TIGD3; GPRC5D; FCRL3; BLK; SIGLEC15; AREG; PSMB8-AS1; LRRC4; KIAA0040; FCMR; PFKFB3; ARHGAP30; ITGAL; MGAM2; MYBL1; ARHGAP27; GPR132; KCNAB2; GPR183; APOBEC3B; TLR2; TSPAN32; STAT4; FXYD5; RAB37; SH3BP1; ADAM8	2.3243882570607e-07
52	Vagina	137	1263	9644	784	10907	2.65923022386361e-07	PADI1; LGALS9B; COL1A1; MIR205HG; ; PLAT; STING1; KRT15; ANKRD22; MANCR; RHOV; CACNB3; SH3PXD2A; PRDM8; TPRG1; MUC4; SELP; KRT3; WNT16; NA; NPR2; MEX3A; LINC00705; HAS3; SPTSSB; LINC01214; PLEKHG3; ATG9B; ADGRF1; LINC02783; IFITM1; HOXB2; SCEL; MUC20; TGM5; PYROXD2; TROAP; RHBDL2; GALNT5; MCUB; CRISPLD2; ELF3; GSDMC; IQGAP3; MEIS1; IKBKB; CHEK2; ANXA1; WSB1; HOXB1; CDK3; NINL; SLC2A9; C11orf95; TICRR; HES1; ETV4; P3H2; RBBP8NL; SMO; CCDC102A; TMEM39B; ESPL1; CHD3; LINC01983; PTPRS; DDAH2; C1R; FRG2C; LIG1; LINC00960; PRICKLE2; WDR27; E2F2; MRC2; LIMK2; MELTF; PPM1M; IGFL1; ZNF600; PLEKHA5; ADAMTS10; NYNRIN; CDH3; TMPRSS11D; XXYLT1; OSBPL3; RUNX2; PHF19; APOL1; RALGPS2; GRHL3; NCCRP1; MASP1; LGI4; CMTM3; LAMA3; MALT1; HES2; EVPL; LINC02614; NR2F1; ACIN1; GAL3ST4; NRM; PCSK5; GEN1; ZNF726; ARHGAP27; AMT; MOV10; EPB41L4A; ABCA12; PTPN13; LINC02068; PCOLCE; ZNF300; KRTDAP; ERBB3; INVS; KRT78; COL6A1; COL24A1; TEN1; CENPW; FXYD5; KLK14; CPNE1; HHAT; SH3BP1; PLA2G4D; MEIS2; SERINC5; PTK7; ITGB6; HOXD3; NDC80	7.04696009323855e-06
47	Spleen	125	1247	9660	784	10907	4.96469544868307e-05	LGALS9; NOX5; ; STING1; LCK; FCRL2; ADAM28; LAG3; TRIM22; MANCR; SULT1A1; IFI16; SCN9A; NA; PTAFR; LINC00705; IL7R; ARHGEF40; NCF4; RUFY4; LINC01547; BTN3A2; ODF2L; LINC01800; AIM2; NLRC5; ADAM19; IFITM1; CD6; CARMIL2; CD96; NFATC2; GMFG; AZU1; PTPN6; MCUB; CMTM7; LINC01588; MMP9; GSDMC; NOS3; CARD9; IKBKB; DNMT3A; WSB1; DOK3; KANK3; CDK3; P2RY6; PLAU; MZB1; BATF3; ARHGAP9; APOBEC3C; RASGRP2; P3H2; IL24; NCOA5; EVA1A; PLCB2; PHYKPL; ARHGDIB; RAB42; HMGB2; LY96; TERT; EML4; GDPD5; TM4SF18; LINC01116; PTPRH; SLC15A3; BACH2; LILRA6; ITGB2; LIG1; PIK3CD; ADM5; E2F2; MFNG; CD79A; SH3TC1; NAA40; PPM1M; ZNF600; FCRL3; BLK; ZNF124; OSBPL3; APOL1; RALGPS2; ST6GAL1; SIGLEC15; ABRACL; DOCK10; PSMB8-AS1; KIAA0040; ERAP2; FCMR; ACIN1; ARHGAP30; ITGAL; PLEKHG5; GEN1; MYBL1; TRIB2; ARHGAP27; C2CD2; MOV10; GPR132; ZBTB40; GPR183; APOBEC3B; ANKLE1; TLR2; TSPAN32; JDP2; STAT4; FXYD5; CPNE1; CEP128; SH3BP1; NASP; SLC26A11; ADAM8	0.000877096195934009
31	Fallopian_Tube	126	1292	9615	784	10907	0.000157293153408859	CFI; FAM20A; ; PLAT; STING1; DNAH2; LAG3; ZNF618; PODXL; SH3PXD2A; SELP; NA; NPR2; MEX3A; LINC02679; HOXB3; PAEP; PLEKHG3; CCDC74A; ODF2L; TRIM45; ID3; IFITM1; HOXB2; MUC20; PLXNB1; SPATA6L; KRTCAP2; DBN1; C1RL; NGF; CRISPLD2; ACP6; CARD9; SOCS3; MEIS1; PLEKHG2; WDR54; HOXB1; CDK3; TRANK1; GPR161; CAPN12; KIAA0825; DNAJB13; C11orf95; REC8; C1QTNF6; DNAH5; CCDC189; APOBEC3C; RNF207; KCNC3; DTX3; CCDC74B; NCOA5; C20orf96; DNAH11; PHYKPL; SMO; CCDC102A; TTLL10; AMIGO2; TMEM39B; CHD3; LINC01116; MYLIP; PTPRS; DDAH2; C1R; SYNGAP1; STON1; PRICKLE2; ADM5; CFAP52; WDR27; MRC2; MELTF; TEAD2; ZNF594; DNAAF3; ADAMTS10; NYNRIN; CDH3; IFT88; CCDC148; XXYLT1; PHF19; PCDHB13; RALGPS2; IQCN; LINC01376; LAMA3; LINC02614; NR2F1; ACIN1; NRM; LXN; WDR49; CCDC153; PRR29; KIAA0895L; ZNF43; SPEF1; AMT; MOV10; MOK; RIBC2; PLEKHH2; ZBTB40; WFDC2; PHC1; PCOLCE; HYI; MFSD10; RAB36; COL6A1; ZNF609; CEP128; WDR6; NASP; MEIS2; PTK7; LRRC56; HOXD3; DRC3	0.00208413428266738
12	Brain_Cerebellum	117	1197	9710	784	10907	0.000255336005650006	FAM182B; ; RASGRF1; CALB2; DOC2A; SYNE1; TIAM1; PPFIA4; TUBB3; CACNB3; SCN1A; NA; NPR2; ENO2; NACAD; OBSCN-AS1; TMOD2; EXPH5; ASIC1; AGPAT4; DNM3; AVIL; FBLL1; ARHGAP33; TMEM121B; GRAMD1B; LINC01597; ATAT1; SOGA1; PRKCG; TMEM145; MPP2; NDRG2; FAXC; KIAA1614; SLF1; NDRG4; RGS17; NINL; TRANK1; LY6G5C; SLC17A7; KIF3C; REC8; HCN3; GPR137C; TMEM132A; CLSTN3; SAMD14; RPS6KL1; CIT; MMP24; PHTF1; KCNC3; AGAP2; DTX3; KCNH3; TMCC2; TLE2; C12orf76; TMEM178A; TNFRSF25; PTPRZ1; DAB2IP; OPRL1; SLC45A1; CSPG5; LINC01719; TLCD3B; RNFT2; RAP1GAP2; STMN3; SLC10A5; SHF; GAD1; MTCL1; CNIH2; TIAF1; GPR19; TIGD3; PCDHA7; FRMD5; MAPKBP1; PYDC1; NYNRIN; DLGAP1; EFR3B; VSNL1; PCNX2; CALB1; BRSK1; KCNAB3; SCN1B; OMG; LRRC4; ZNF337; RASGEF1A; ATL1; PLEKHG5; KIAA0895L; IDNK; LINC00304; NHLH1; NXPH4; GOLGA8A; PHC1; ANKLE1; LINC00205; RALGDS; CDR2L; MAMDC4; KPNA5; RAB37; KIAA0319; NREP; ATP2B2; ADAM11	0.00231371803790836
16	Brain_Hypothalamus	108	1090	9817	784	10907	0.000272027762869093	SLC4A8; BCAS1; ; RASGRF1; CALB2; DOC2A; PRTFDC1; PPFIA4; TUBB3; SCN1A; SCN9A; SOX2; NA; ENO2; NACAD; TMOD2; HS3ST5; ASIC1; PCDH9; AGPAT4; DNM3; VAMP1; FBLL1; GPR3; FBXL2; TMEM121B; LINC01597; ATAT1; NRGN; PRKCG; TMEM145; MPP2; NDRG2; FAXC; SLF1; NDRG4; RGS17; ACYP1; ENC1; KIF3C; ALK; PGM2L1; HCN3; GPR137C; TMEM132A; AP4S1; CLSTN3; SAMD14; RPS6KL1; CCDC88A; FMNL2; CNGB1; CIT; MMP24; NTRK2; AGAP2; KCNH3; TMCC2; C12orf76; SYT5; TMEM178A; CPNE2; PTPRZ1; CXXC4; OPRL1; SLC45A1; CSPG5; CDH8; RNFT2; MAP4K4; STMN3; CDK18; SLC10A5; SHF; GAD1; SH2D5; CNIH2; DLX1; SLC5A11; GPR19; FRMD5; MSANTD1; DLGAP1; POU3F2; EFR3B; VSTM5; SYT17; ITPKB; VSNL1; CALB1; BRSK1; OMG; LRRC4; NTNG1; RASGEF1A; WDR49; ATL1; KIAA1549; IDNK; BTBD9; NHLH1; KCNAB2; NECAB2; LINC00205; KIAA0319; SLC26A11; ATP2B2; ADAM11	0.00231371803790836
17	Brain_Nucleus_accumbens_.basal_ganglia.	106	1070	9837	784	10907	0.000313739888030048	BCAS1; ; DNAH2; RASGRF1; PRTFDC1; TIAM1; PPFIA4; TUBB3; PLCB1; SCN1A; SOX2; NA; ENO2; NACAD; OBSCN-AS1; TMOD2; HS3ST5; ASIC1; PCDH9; AGPAT4; DNM3; FBLL1; SLC7A11; ARHGAP33; CARMIL2; TMEM121B; STRIP2; LINC01597; ATAT1; NRGN; PRKCG; TMEM145; MPP2; NDRG2; FAXC; NDRG4; RGS17; LY6G5C; ENC1; KIF3C; PGM2L1; GPR137C; TMEM132A; AP4S1; CLSTN3; SAMD14; RPS6KL1; CCDC88A; FMNL2; CIT; MMP24; NTRK2; AGAP2; KCNH3; TMCC2; C12orf76; SYT5; TMEM178A; PTPRZ1; CXXC4; OPRL1; SLC45A1; CSPG5; SYNGAP1; CDH8; RNFT2; MAP4K4; STMN3; SLC10A5; SHF; GAD1; SH2D5; CNIH2; DLX1; GPR19; FRMD5; PYDC1; MSANTD1; DDN; DLGAP1; POU3F2; MCTP1; EFR3B; ITPKB; VSNL1; PCNX2; CALB1; NGEF; BRSK1; OMG; LRRC4; RASGEF1A; WDR49; ATL1; HTR1D; IDNK; SPEF1; BCL11B; BTBD9; NHLH1; KCNAB2; NECAB2; LINC00205; KIAA0319; MEIS2; ATP2B2	0.00231371803790836
41	Pancreas	75	707	10200	784	10907	0.000357985476120255	CFI; KSR1; ; CAPN13; PODXL; SMIM31; SYT16; ANKRD22; FGL1; AQP2; KRT3; SLC25A47; TFAP2D; NA; GALNT6; PSG6; CUZD1; PAEP; LGALS2; SPATA6L; PRELID2; ERP27; FGFR4; ELF3; PRLH; MEIS1; MECOM; ARHGEF38; FBXW12; C4BPB; C1orf127; CAPN12; MEPE; PLEKHS1; TFPI2; CFTR; DNAH5; SULT1C2; ETV4; CHAC1; LINC01814; ACY3; ANXA10; EVA1A; BPIFB4; GDPD5; CXXC4; PTPRH; IL12RB2; UNC5CL; RNF43; BMP8B; RAP1GAP2; SERPINI2; LINC00960; FAM151A; CTRB1; TCN1; GPRC5D; HAAO; TMPRSS2; ZNF69; KLB; ALDOB; KIAA1549; ITIH4; MGAM2; CHST4; LINC02068; IL22RA1; ERBB3; HYI; TMEM63A; CEL; MTUS1	0.00231371803790836
46	Small_Intestine_Terminal_Ileum	128	1345	9562	784	10907	0.00039289551587123	LGALS9; ; CAPN13; LGALS9C; LCK; EFNA2; FCRL2; ADAM28; LAG3; TRIM22; SMIM31; SULT1A1; ACOT11; TMC5; NA; GALNT6; B3GNT6; IL7R; IL7; HOXB3; BTN3A2; LGALS2; ADGRF1; ODF2L; LINC01800; AIM2; NLRC5; BMP5; NLRP9; HHLA2; ENPP3; ADAM19; CD6; MTMR11; CARMIL2; FAM177B; PRELID2; CD96; NFATC2; MUC3A; PTPN6; FGFR4; LINC01588; ELF3; IQGAP3; IKBKB; ARHGEF38; SLC25A34; PFKFB4; CDK3; PLEKHS1; SLC2A9; MCM7; ARHGAP9; RASGRP2; LINC01224; CDCA3; IL24; LINC01814; ACY3; RBBP8NL; PLCB2; PHYKPL; TERT; EML4; AOC1; PTPRH; PIK3C2B; BACH2; CASP6; LIG1; UNC5CL; RNF43; TMEM176B; FAM151A; CCDC68; MFNG; CD79A; LUZP1; MELTF; ST6GALNAC1; NAA40; ZNF600; ZNF789; TIGD3; GALR2; VWA5A; FCRL3; TMPRSS2; BLK; ZNF124; OSBPL3; CDHR2; SCIN; RUNX2; ADAMTS14; PLEK2; RALGPS2; ABRACL; PSMB8-AS1; ERAP2; FCMR; FASTKD1; ACIN1; LTK; ALDOB; STK38; ARHGAP30; ITGAL; PCSK5; MGAM2; HTR1D; GEN1; ARHGAP27; MOV10; HEXIM1; SLC35E2B; GPR132; ZBTB40; GPR183; LINC02068; IL22RA1; PPARGC1B; ERBB3; ACOX1; ACAA2; SH3BP1; KNTC1	0.00231371803790836
36	Lung	132	1400	9507	784	10907	0.000465281204776346	LGALS9; FAM20A; ; PLAT; STING1; SFTPA2; SFTPA1; DNAH2; TRIM22; PODXL; LINC02577; SPOCD1; SULT1A1; FCGR2A; IFI16; SELP; TMC5; NOD1; NA; LINC02679; PTAFR; IL1RL1; IL7R; IL7; BTN3A2; IDO1; ODF2L; NLRC5; BMP5; ADAM19; ARID5A; CD6; CD96; GMFG; AZU1; PTPN6; GALNT5; CMTM7; CRISPLD2; FGFR4; ELF3; CARD9; SOCS3; MEIS1; IKBKB; MECOM; ARHGEF38; PLEKHG2; PICART1; WSB1; KANK3; RGCC; PPFIBP1; GRK5; DNAJB13; SLC2A9; NOSTRIN; BATF3; DNAH5; GPR68; SMURF2; P3H2; C2orf91; ESAM; EVA1A; DNAH11; PLCB2; LUCAT1; KIFC3; RAB42; LY96; EML4; CPNE2; PIK3C2B; SLC15A3; BACH2; LILRA6; ITGB2; WARS1; CFAP52; CCDC68; MRC2; LIMK2; MFNG; LUZP1; TEAD2; SH3TC1; PPM1M; MIR4435-2HG; APOL1; SOX4; AREG; ARSJ; CMTM3; LAMA3; PSMB8-AS1; KIAA0040; NR2F1; SERPINH1; ERAP2; NRM; LXN; WDR49; CCDC153; LTK; ARHGAP30; BMPER; KIAA1549; ITGAL; PRR29; ARHGAP27; MOV10; EPB41L4A; PLEKHH2; ITGA3; DLL4; GPR183; LINC02068; FNIP2; TLR2; MFSD10; TSPAN32; JDP2; ARHGAP29; CX3CL1; STAT4; FXYD5; SLC26A11; PTK7; ITGB6; ADAM8; DRC3	0.00246599038531463
