list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
36	Lung	208	1400	9507	1099	10907	8.97044451041091e-10	SFTPB; LGALS9; FAM20A; ; PLAT; STING1; PNKD; SFTPA2; SFTPA1; DNAH2; SFTPC; THEMIS2; TRIM22; PODXL; LINC02577; SPOCD1; TCIM; SULT1A1; FCGR2A; NA; IFI16; IL32; SELP; C5orf38; TMC5; NOD1; LINC02679; ZNF467; FSTL3; PTAFR; FAM177A1; IL1RL1; KRT7; IL7R; IL7; BTN3A2; IDO1; ODF2L; GADD45B; NLRC5; BMP5; ADAM19; C16orf89; ARID5A; CD6; ARRDC2; CD96; GMFG; CCL20; AZU1; PTPN6; GALNT5; SFTA2; CXCL1; CMTM7; CRISPLD2; FGFR4; ELF3; CARD9; SOCS3; MEIS1; IKBKB; MECOM; MSLN; VAMP8; ARHGEF38; PLEKHG2; PLXNA2; VAMP5; MACROD2; PICART1; WSB1; KANK3; TMEM104; RGCC; PPFIBP1; GRK5; HPCAL1; DNAJB13; SLC2A9; TMEM150A; NOSTRIN; BATF3; DNAH5; BMP2; GPR68; SLC39A7; SMURF2; IL27RA; CTSD; GCHFR; P3H2; C2orf91; ESAM; EVA1A; DNAH11; RP1; PLCB2; LUCAT1; KIFC3; RAB42; HOPX; LY96; F2RL3; EML4; CPNE2; ARRDC1; TREM1; NAGLU; PIK3C2B; SLC15A3; BACH2; EXOC3L1; LILRA6; ITGB2; UVSSA; WARS1; CFAP52; CEBPB; CCDC68; MRC2; LIMK2; TYMP; MFNG; LUZP1; TEAD2; SH3TC1; PPM1M; MIR4435-2HG; SLC7A7; PIM3; BLVRA; CFLAR; APOL1; VIPR1; BLVRB; SOX4; TCN2; AREG; CXCL3; FLVCR2; ZFP36L2; SPTSSA; ARSJ; FTL; HM13; CMTM3; CSF2; LAMA3; SUSD2; SYS1; PSMB8-AS1; PTPRM; PDGFB; SUMF2; KIAA0040; NR2F1; SERPINH1; ERAP2; NRM; LXN; WDR49; CCDC153; LTK; ARHGAP30; BMPER; KIAA1549; ITGAL; EFNB2; CPAMD8; PRR29; ARHGAP27; RNF135; KLF6; MOV10; TNFAIP2; EPB41L4A; CEP70; PLEKHH2; ITGA3; PAG1; SCNN1A; DLL4; GPR183; LINC02068; FNIP2; GPR153; EMP2; TLR2; PTGER1; MFSD10; TSPAN32; JDP2; ARHGAP29; CX3CL1; ADGRE5; MACC1; SDC4; STAT4; FXYD5; OTULINL; SLC26A11; PTK7; ITGB6; ADAM8; DRC3; CHFR; MFSD2A	4.75433559051778e-08
53	Whole_Blood	126	779	10128	1099	10907	2.67713370573102e-08	LGALS9; LGALS9B; ; LGALS9C; LCK; DGAT2; FCRL2; LAG3; THEMIS2; TRIM22; KRT83; ANKRD22; FCGR2A; NA; IL32; AQP2; KRT3; SLC25A47; TFAP2D; ZNF467; PTAFR; NLRP12; PSG6; KRT86; IL7R; NCF4; PAEP; RUFY4; BTN3A2; LGALS2; LINC01800; AIM2; NLRC5; IFITM2; ADAM19; IFITM1; ARID5A; CD6; TMEM121B; CD96; GMFG; AZU1; PTPN6; CMTM7; LINC01588; MMP9; PRLH; CARD9; DOK3; PFKFB4; MZB1; DHRS9; HSPA6; IL27RA; ARHGAP9; RASGRP2; MAP2K6; IL24; SLC25A37; PLCB2; LUCAT1; IL1R2; ARHGDIB; BPIFB4; HMGB2; LY96; TREM1; OPRL1; IL12RB2; SLC15A3; PI3; LILRA6; ITGB2; PIK3CD; FAM151A; CEBPB; E2F2; LIMK2; TYMP; MFNG; CD79A; MYBPH; SH3TC1; PPM1M; TCN1; TIGD3; SLC7A7; GPRC5D; SECTM1; FCRL3; BLK; H2AC18; SIGLEC15; AREG; FTL; CSF2; PSMB8-AS1; LRRC4; KIAA0040; FCMR; RLN3; PFKFB3; ARHGAP30; ITGAL; PFKFB2; MGAM2; MYBL1; ARHGAP27; GPR132; KCNAB2; PAG1; PADI4; GPR183; APOBEC3B; ATP6V0B; TLR2; TSPAN32; ADGRE5; APMAP; STAT4; FXYD5; RAB37; OTULINL; SH3BP1; ATP6V0D1; ADAM8	7.09440432018721e-07
41	Pancreas	112	707	10200	1099	10907	5.10003400906995e-07	CFI; KSR1; ; CAPN13; PODXL; SMIM31; KRT83; SYT16; ANKRD22; FGL1; NA; PALM3; IL32; AQP2; KRT3; SLC25A47; TFAP2D; GALNT6; PSG6; KRT86; CUZD1; PAEP; CLDN3; LGALS2; SPATA6L; PRELID2; ERP27; FGFR4; ELF3; PRLH; MEIS1; MECOM; SYT8; SERPINA6; VAMP8; ARHGEF38; PLXNA2; FBXW12; GJC3; C4BPB; C1orf127; CAPN12; MEPE; PLEKHS1; NUPR1; TFPI2; CFTR; TMEM150A; DNAH5; SULT1C2; GCAT; PWWP2B; ETV4; CHAC1; LINC01814; ACY3; ANXA10; EVA1A; MYO3B; ABHD11; SRPRB; BPIFB4; GDPD5; MT1X; CXXC4; PTPRH; C15orf65; IL12RB2; UNC5CL; RNF43; BMP8B; RAP1GAP2; CHPF; SERPINI2; LINC00960; FAM151A; DPEP1; CTRB1; MYBPH; TCN1; GPRC5D; HAAO; TPRN; CRELD2; TMPRSS2; H2AC18; ZNF69; GALR3; COMTD1; TM7SF2; KLB; HM13; STEAP3; ALDOB; KIAA1549; ITIH4; MGAM2; CHST4; PDGFA; HPN; LINC02068; IL22RA1; ERBB3; HYI; TMEM63A; CEL; MTUS1; STARD10; MACC1; OTULINL; RCL1; SIL1	9.01006008269025e-06
52	Vagina	171	1263	9644	1099	10907	1.70330836770687e-05	PADI1; LGALS9B; COL1A1; MIR205HG; ; PLAT; STING1; KRT15; ANKRD22; TENT5B; MANCR; RHOV; CACNB3; SH3PXD2A; NA; PRDM8; TPRG1; MUC4; SELP; KRT3; WNT16; NPR2; MEX3A; LINC00705; HAS3; CCDC80; SPTSSB; LINC01214; PLEKHG3; ATG9B; ADGRF1; LINC02783; IFITM1; HOXB2; SCEL; MUC20; TGM5; ADGRF4; PYROXD2; TROAP; RHBDL2; GALNT5; MCUB; CRISPLD2; MAB21L4; ELF3; GSDMC; IQGAP3; MEIS1; IKBKB; NR1D1; VAMP8; CHEK2; ANXA1; WSB1; HOXB1; CDK3; NINL; SCNN1B; SLC2A9; C11orf95; ASAP3; S100A14; TICRR; ARL4A; GUCY2D; IGFBP4; HES1; ETV4; SPRR1B; P3H2; RBBP8NL; SMO; CCDC102A; HOPX; TMEM39B; ESPL1; CHD3; ARRDC1; LINC01983; PTPRS; SFRP4; DDAH2; C1R; PI3; FRG2C; LIG1; ETNK2; LINC00960; PRICKLE2; WDR27; E2F2; MRC2; LIMK2; MELTF; PPM1M; IGFL1; ZNF600; PLEKHA5; ADAMTS10; NYNRIN; CDH3; TMPRSS11D; CYP4F12; XXYLT1; OSBPL3; MAX; RUNX2; PHF19; COMTD1; APOL1; RALGPS2; GRHL3; NCCRP1; MASP1; LGI4; SPTSSA; CMTM3; CASTOR1; LAMA3; MALT1; HES2; EVPL; LINC02614; NR2F1; ZNF846; ACIN1; GAL3ST4; NRM; TTC39A; TRIM16; PCSK5; PUSL1; GEN1; ZNF726; ARHGAP27; AMT; MOV10; TNFAIP2; EPB41L4A; SCNN1A; ABCA12; PTPN13; LINC02068; PCOLCE; ZNF300; KRTDAP; ERBB3; INVS; KRT78; SFN; COL6A1; COL24A1; TEN1; MACC1; PTPRU; CENPW; FXYD5; KLK14; CPNE1; HHAT; SH3BP1; S100A7; PLA2G4D; MEIS2; SERINC5; PTK7; ITGB6; HOXD3; SPRR1A; NDC80	0.00022568835872116
29	Esophagus_Mucosa	183	1399	9508	1099	10907	6.40422691672891e-05	PADI1; LGALS9B; MIR205HG; ; KRT15; LGALS9C; ANKRD22; TENT5B; MANCR; RHOV; TIAM1; AKR1C2; NA; TPRG1; MUC4; ACOT11; FOSL1; KRT3; SOX2; B3GNT6; HAS3; LINC01214; ATG9B; ADGRF1; EXPH5; LINC02783; HOXB2; MGLL; SCEL; MUC20; TGM5; CENPE; CYP24A1; ADGRF4; HELLS; SLPI; TROAP; RHBDL2; CCL20; GALNT5; SFTA2; CXCL1; LINC01588; MAB21L4; FANCA; GTSE1; ELF3; GSDMC; IQGAP3; MECOM; SYT8; KIF20B; FANCI; VAMP8; CHEK2; PLXNA2; ANXA1; HOXB1; SMC4; SCNN1B; AURKB; DHRS9; SLC2A9; S100A14; TICRR; GPR68; TOP2A; ARL4A; SGO1; PWWP2B; GUCY2D; CDCA3; AGFG2; HES1; KIF18B; ETV4; GCHFR; SPRR1B; CHAC1; RBBP8NL; SRPRB; HOPX; ESPL1; HJURP; ARRDC1; LINC01983; CENPF; PI3; RNF43; CENPK; LINC00960; ASPM; E2F2; KIF14; LIMK2; TYMP; ST3GAL4; ST6GALNAC1; SH3TC1; IGFL1; TCN1; RAD54L; CEACAM5; GALR2; MVD; TOM1; KIF15; CDH3; TMPRSS2; TMPRSS11D; LINC01572; CYP4F12; DEPDC1B; CDC25C; KNL1; XXYLT1; OSBPL3; SCIN; BLVRA; TMEM141; COMTD1; TLCD1; PLEK2; BLVRB; RALGPS2; GRHL3; NCCRP1; POLQ; AREG; LINC01559; ABRACL; PCLAF; NUF2; HM13; CASTOR1; MALT1; HES2; EVPL; TTC39A; STK38; TRIM16; KIF20A; IL36RN; PUSL1; CTNNBIP1; GEN1; ZNF726; ARHGAP27; TFCP2L1; DIAPH3; TNFAIP2; MTFR2; BCL11B; SKA3; EPB41L4A; KIF2C; SCNN1A; PTPN13; ZWINT; TRIM16L; ZMYND19; NR2F6; EMP2; IL22RA1; PPARGC1B; ERBB3; KRT78; TK1; SFN; AKR1C1; CDC45; ACOX1; TEN1; MACC1; CENPW; SH3BP1; S100A7; SERINC5; PTK7; ITGB6; SPRR1A; KNTC1; NDC80	0.000678848053173264
47	Spleen	161	1247	9660	1099	10907	0.000359118982415409	LGALS9; NOX5; ; STING1; LCK; FCRL2; ADAM28; LAG3; THEMIS2; TRIM22; MANCR; SULT1A1; NA; IFI16; IL32; SCN9A; ZNF467; PTAFR; LINC00705; IL7R; ARHGEF40; NCF4; RUFY4; LINC01547; BTN3A2; ODF2L; LINC01800; AIM2; NLRC5; ADAM19; IFITM1; CD6; CARMIL2; CD96; NFATC2; GMFG; AZU1; PTPN6; CXCL1; MCUB; CMTM7; LINC01588; MMP9; GSDMC; NOS3; CARD9; IKBKB; DNMT3A; VAMP8; WSB1; DOK3; KANK3; CDK3; SMCO4; P2RY6; PLAU; MZB1; BATF3; IL27RA; ARHGAP9; APOBEC3C; CTSD; RASGRP2; PWWP2B; NSUN5; JTB; P3H2; IL24; NCOA5; EVA1A; PLCB2; PHYKPL; ARHGDIB; RAB42; HMGB2; LY96; TERT; EML4; GDPD5; TM4SF18; LINC01116; ARRDC1; NAGLU; PTPRH; SLC15A3; BACH2; EXOC3L1; LILRA6; ITGB2; LIG1; PIK3CD; ADM5; E2F2; TYMP; MFNG; CD79A; SH3TC1; NAA40; PPM1M; ZNF600; SLC7A7; SECTM1; FCRL3; BLK; ZNF124; OSBPL3; BLVRA; MAX; APOL1; BLVRB; RALGPS2; ST6GAL1; SIGLEC15; TCN2; ABRACL; FLVCR2; FTL; RBCK1; DOCK10; PSMB8-AS1; KIAA0040; ZDHHC24; ERAP2; FCMR; GMPPA; ACIN1; C7orf26; ARHGAP30; ITGAL; PLEKHG5; GEN1; MYBL1; TRIB2; ARHGAP27; C2CD2; RNF135; MOV10; TNFAIP2; GPR132; ZNF26; ZBTB40; PADI4; GPR183; APOBEC3B; ANKLE1; ATP6V0B; TLR2; PTGER1; TSPAN32; JDP2; ADGRE5; STAT4; FXYD5; CPNE1; OTULINL; CEP128; SH3BP1; NASP; SLC26A11; ADAM8; CHFR	0.00317221767800278
35	Liver	153	1193	9714	1099	10907	0.000690848922561102	CFI; FAM20A; ; ASS1; PNKD; DGAT2; EFNA2; TCIM; GADD45G; SULT1A1; FGL1; GPRC5C; AKR1C2; NA; PALM3; IL32; SLC25A47; SCN9A; CP; SPTLC3; IL7; GADD45B; NLRP9; SPATA6L; C1RL; PNPO; MUC3A; ALDH2; FGFR4; LINC01588; TMEM208; SERPINA6; YIF1A; VAMP8; SYT12; CCDC150; C4BPB; CDK3; SMCO4; CAPN12; NUPR1; SLC2A9; TMEM150A; HCN3; C1QTNF6; DNAH5; ANGPTL4; GCAT; IFITM10; IGFBP4; AGFG2; GCHFR; CHAC1; LINC01814; ACY3; ANXA10; EVA1A; THRSP; NUDT16L1; HGFAC; SRPRB; SLC25A38; PHYKPL; SMO; KIFC3; EML4; MT1X; NAGLU; AKR1C3; PTPRH; C1R; PHYH; CASP6; UNC5CL; RNF43; TMEM176B; ETNK2; FAM151A; SLC10A5; CEBPB; MFSD3; TYMP; DCXR; SH3TC1; TIAF1; HAAO; MVD; CRELD2; CYP26A1; CYP4F12; ZNF69; GALR3; CDHR2; TMEM141; COMTD1; APOL1; PLEK2; SYT17; F7; SELENBP1; BLVRB; RALGPS2; TM7SF2; ST6GAL1; KLB; NNMT; MASP1; ABRACL; MPC1; FLVCR2; MT2A; FTL; HM13; STEAP3; RBCK1; MGST1; LDHD; GMPPA; ALDOB; ITIH4; GEN1; IDNK; F2; AMT; CHST4; ADH6; DGCR6L; HNMT; HSD3B7; CXXC5; HPN; LINC02068; FNIP2; NR2F6; OCEL1; ALDH6A1; ERBB3; HYI; AKR1C1; MET; MAMDC4; STARD10; APMAP; ACOX1; TEN1; SDC4; ACAA2; GCDH; FASN; RCL1; SERINC5; SIL1; MFSD2A	0.00523071327081977
46	Small_Intestine_Terminal_Ileum	167	1345	9562	1099	10907	0.00171140432323925	LGALS9; ; ASS1; TFF3; CAPN13; LGALS9C; LCK; EFNA2; FCRL2; ADAM28; LAG3; TRIM22; SMIM31; SULT1A1; NA; IL32; ACOT11; TMC5; GALNT6; B3GNT6; IL7R; IL7; HOXB3; BTN3A2; CLDN3; LGALS2; ADGRF1; ODF2L; LINC01800; AIM2; NLRC5; BMP5; NLRP9; HHLA2; ENPP3; ADAM19; CD6; MTMR11; CARMIL2; FAM177B; PRELID2; CD96; NFATC2; CCL20; MUC3A; PTPN6; FGFR4; LINC01588; ELF3; IQGAP3; IKBKB; VAMP8; ARHGEF38; SLC25A34; PFKFB4; CDK3; SMCO4; PLEKHS1; SLC2A9; MCM7; BMP2; ARL4A; IL27RA; ARHGAP9; RASGRP2; LINC01224; CDCA3; GCHFR; NSUN5; IL24; LINC01814; ACY3; MISP; RBBP8NL; ABHD11; PLCB2; PHYKPL; TERT; EML4; AOC1; ARRDC1; AKR1C3; PTPRH; PIK3C2B; BACH2; CASP6; LIG1; UNC5CL; RNF43; TMEM176B; FAM151A; CCDC68; MFNG; DPEP1; CD79A; LUZP1; MELTF; ST6GALNAC1; NAA40; ZNF600; ZNF789; TIGD3; SLC7A7; SECTM1; TPRN; GALR2; VWA5A; FCRL3; TMPRSS2; BLK; CYP4F12; ZNF124; OSBPL3; CDHR2; SCIN; RUNX2; COMTD1; ADAMTS14; PLEK2; ZG16; RALGPS2; TCN2; ABRACL; FLVCR2; ZFP36L2; RBCK1; PSMB8-AS1; ERAP2; FCMR; FASTKD1; GMPPA; ACIN1; LTK; ALDOB; STK38; ARHGAP30; ITGAL; PCSK5; PFKFB2; MGAM2; HTR1D; GEN1; ARHGAP27; MOV10; HEXIM1; SLC35E2B; GPR132; ZBTB40; PAG1; GPR183; LINC02068; GPR153; NR2F6; IL22RA1; PPARGC1B; OCEL1; ERBB3; SUCLG1; ACOX1; MACC1; ACAA2; LINC01422; OTULINL; SH3BP1; CHFR; KNTC1; MFSD2A	0.01133805364146
37	Minor_Salivary_Gland	167	1353	9554	1099	10907	0.00221291517419606	FAM20A; MIR205HG; ; ASS1; AQP5; TFF3; ANKRD36C; ADAM28; MISP3; SMIM31; TCIM; RHOV; NA; IFI16; MUC4; C5orf38; TMC5; KRT3; MEX3A; GALNT6; B3GNT6; CP; KRT7; LINC01547; CLDN3; ADGRF1; ENPP3; MGLL; MUC20; PYROXD2; KRTCAP2; C1RL; ARRDC2; SLPI; FAM177B; RHBDL2; NFATC2; GALNT5; ELF3; ACP6; TMEM208; IKBKB; SYT8; MSLN; VAMP8; ARHGEF38; ANXA1; GJC3; CDK3; MMP11; SMCO4; PLEKHS1; MZB1; SCNN1B; CFTR; SLC2A9; NOSTRIN; ASAP3; S100A14; LRRC26; DNAH5; SLC39A7; CTSD; RNF207; ETV6; AGFG2; HES1; ETV4; SPRR1B; JTB; LINC01814; SLC25A37; RBBP8NL; ABHD11; LUCAT1; SRPRB; SMO; RAB42; SPDEF; EML4; ARRDC1; NAGLU; SMARCD2; C15orf65; PI3; UVSSA; RNF43; RAP1GAP2; LINC00960; TMEM150C; MFSD3; LIMK2; TYMP; ST3GAL4; ATG101; MELTF; MYBPH; ST6GALNAC1; STX5; NAA40; IGFL1; TCN1; SECTM1; TOM1; VWA5A; PIM3; CDH3; CCDC148; TMPRSS2; TMPRSS11D; ZNF69; SCIN; RUNX2; COMTD1; TLCD1; PCDHB13; ST6GAL1; PYGB; SOX4; ABRACL; PER2; SPTSSA; ARSJ; HM13; STEAP3; TENT5A; LAMA3; SUMF2; KIAA0040; CCPG1; GMPPA; LXN; STK38; RCBTB2; TRIM16; KIAA1549; PUSL1; MGAM2; GEN1; ARHGAP27; TFCP2L1; TNFAIP2; CHST4; EPB41L4A; WFDC2; CLCNKB; SCNN1A; LINC02068; CASZ1; NR2F6; ERBB3; TLR2; TMEM63A; MET; CX3CL1; MTUS1; STARD10; TEN1; KLHL24; MACC1; PTPRU; SDC4; HHAT; MEIS2; SERINC5; PTK7; SPRR1A	0.0130316115813768
34	Kidney_Cortex	165	1358	9549	1099	10907	0.00450042956506685	CFI; FAM20A; ; ASS1; PLAT; ABCA4; PNKD; ZNF618; MISP3; PODXL; TCIM; GPRC5C; NA; PALM3; IL32; ACOT11; C5orf38; AQP2; S100A5; ZNF467; IL1RL1; SPTLC3; HOXB3; LGALS2; ADGRF1; LRP2; NLRP9; ENPP3; TBC1D16; HOXB2; MUC20; PLXNB1; RASSF4; CYP24A1; PNPO; ERP27; CMTM7; FGFR4; ACP6; TMEM208; MECOM; VAMP8; ARHGEF38; B4GALT7; HOXB1; CDK3; NINL; AQP6; SMCO4; CAPN12; P2RY6; PLAU; SLC2A9; TMEM150A; FGF9; NOSTRIN; SURF1; SULT1C2; CTSD; RNF207; GNGT1; GCHFR; JTB; P3H2; ACY3; EVA1A; MYO3B; NUDT16L1; ABHD11; PHYKPL; SMO; KIFC3; HMOX2; TM4SF18; AOC1; LINC01116; ARRDC1; NAGLU; LINC01983; C15orf65; PHYH; CASP6; UNC5CL; TMEM176B; ETNK2; FAM151A; MFSD3; DCXR; DPEP1; MELTF; SH3TC1; SLC16A9; SLC7A7; HAAO; TMEM147; PIM3; CCDC148; ZNF124; OSBPL3; ZNF69; SCIN; ME3; TMEM141; COMTD1; APOL1; TLCD1; BDH2; ST6GAL1; CALB1; TCN2; ABRACL; MPC1; MGST3; FTL; SYS1; LDHD; SUMF2; NR2F1; ZDHHC24; NTNG1; ALDOB; TTC39A; KIAA1549; CPAMD8; SPAG5; IL11; GLRX; RHOBTB1; IDNK; TRIB2; TFCP2L1; RNF135; MOV10; TNFAIP2; EPB41L4A; COMMD7; ITGA3; WFDC2; HSD3B7; CLCNKB; SCNN1A; CXXC5; MPV17L2; HPN; LINC02068; FNIP2; NR2F6; OCEL1; ATP6V0B; ALDH6A1; PTGER1; HYI; MFSD10; RAB36; ARHGAP29; MET; SUCLG1; NDUFS8; TEN1; MACC1; SDC4; ACAA2; HHAT; ITGB6; HOXD3	0.0238522766948543
