list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
2	Alveolar cells type 2	132	1382	9290	1071	10672	0.753359361569709	SFTPB; FAM20A; RBPMS; PNKD; SFTPA2; SFTPA1; SFTPC; RASGRF1; TRIM22; TCIM; GADD45G; SYNE1; SULT1A1; FCGR2A; IFI16; IL32; PDE4D; TMC5; FAM177A1; CP; KRT7; ODF2L; SAT1; GADD45B; CYSLTR1; IFITM2; ID3; C16orf89; IFITM1; MGLL; KRTCAP2; SLPI; GMFG; CCL20; NRGN; ALDH2; SFTA2; CXCL1; ELF3; SOCS3; MECOM; MSLN; YIF1A; VAMP8; MACROD2; ANXA1; WSB1; SMC4; RGCC; NUPR1; HPCAL1; S100A14; BMP2; CTSD; HES1; GCHFR; TMEM245; JTB; P3H2; ESAM; SLC25A37; CST3; ARHGDIB; HMGB2; HOPX; CHD3; EML4; C1R; OGT; CEBPB; DCXR; NDUFB9; PIM3; TMPRSS2; ST3GAL5; SELENOM; BLVRA; TMEM141; CFLAR; BDH2; SELENBP1; BLVRB; NNMT; SOX4; LGALS1; AREG; IQCN; CXCL3; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; MGST1; SUSD2; CCPG1; ACIN1; PFKFB3; KLF6; HEXIM1; CEP70; PGC; WFDC2; SCNN1A; RSL1D1; GOLGA8A; PTPN13; FNIP2; EMP2; GUK1; ATP6V0B; ERBB3; TLR2; HYI; SFN; MET; MTUS1; SUCLG1; ADGRE5; STARD10; NDUFS8; MACC1; SDC4; KPNA5; UBXN1; FASN; NASP; FIS1; ITGB6; CCDC69; MFSD2A	1
25	Hepatocytes	125	1347	9325	1071	10672	0.850105745012931	CFI; ASS1; PNKD; DGAT2; GADD45G; SULT1A1; FGL1; GPRC5C; AKR1C2; SH3PXD2A; IL32; SLC25A47; FAM177A1; CP; DST; SAT1; GADD45B; ACACB; IFITM2; MGLL; KRTCAP2; C1RL; SLPI; ALDH2; TMEM208; NDRG2; SERPINA6; YIF1A; VAMP8; VAMP5; C4BPB; SMCO4; NUPR1; ANGPTL4; SURF1; CTSD; YAF2; IGFBP4; HES1; GCHFR; TMEM245; JTB; SORBS2; EVA1A; CST3; SRPRB; HMGB3; HMOX2; MT1X; SMARCD2; CCDC107; C1R; PHYH; TMEM176B; ETNK2; CEBPB; TYMP; DCXR; NDUFB9; HAAO; TMEM147; EBP; TMEM141; CFLAR; COMTD1; APOL1; F7; SELENBP1; BLVRB; TM7SF2; ST6GAL1; NNMT; LGALS1; ABRACL; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; STEAP3; RBCK1; MGST1; LDHD; SUMF2; CCPG1; ALDOB; ITIH4; GLRX; F2; KLF6; ADH6; DGCR6L; HNMT; RSL1D1; PEX16; CXXC5; HPN; FNIP2; NR2F6; EMP2; GUK1; OCEL1; ATP6V0B; ALDH6A1; ERBB3; AKR1C1; SUCLG1; STARD10; APMAP; NDUFS8; ACOX1; SDC4; ACAA2; UBXN1; GCDH; FASN; RCL1; FIS1; SERINC5; SIL1; CISD1; TMEM120A; MFSD2A	1
39	Paneth cells	127	1392	9280	1071	10672	0.897651946649842	LGALS9; BCAS1; ASS1; TFF3; PNKD; LGALS9C; RHOV; SULT1A1; GPRC5C; SEMA3B; IL32; TMC5; VSIG2; FAM177A1; DST; CLDN3; LGALS2; SAT1; GADD45B; IFITM2; ID3; MGLL; KRTCAP2; MTMR11; SLPI; CCL20; MUC3A; ALDH2; CTSE; ELF3; TMEM208; MSLN; YIF1A; VAMP8; WSB1; SMCO4; NUPR1; HPCAL1; S100A14; SLC39A7; ARL4A; SURF1; CTSD; IGFBP4; HES1; GCHFR; JTB; MISP; RBBP8NL; ABHD11; CST3; HMGB2; EML4; MT1X; AOC1; ARRDC1; AKR1C3; CCDC107; DDAH2; CASP6; TMEM176B; CDK18; FA2H; TYMP; DCXR; ST3GAL4; ST6GALNAC1; CEACAM5; NDUFB9; TMEM147; TMPRSS2; EBP; CDHR2; SCIN; MAX; TMEM141; CFLAR; COMTD1; VIPR1; ZG16; SELENBP1; BLVRB; PYGB; SOX4; AREG; ABRACL; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; RBCK1; MGST1; SUMF2; LXN; GLRX; ARHGAP27; ADD3; KLF6; HEXIM1; HNMT; WFDC2; RSL1D1; PDGFA; FNIP2; NR2F6; EMP2; GUK1; ATP6V0B; ERBB3; HYI; SFN; SUCLG1; STARD10; NDUFS8; ACOX1; SDC4; STX8; ACAA2; UBXN1; KRCC1; ATP6V0D1; FIS1; SERINC5; CISD1; TMEM120A	1
18	Enterocytes	125	1389	9283	1071	10672	0.924577308347952	LGALS9; BCAS1; ASS1; TFF3; PNKD; SULT1A1; SEMA3B; IL32; ACOT11; TMC5; VSIG2; FAM177A1; DST; CLDN3; LGALS2; SAT1; GADD45B; HHLA2; ID3; MGLL; KRTCAP2; MTMR11; SLPI; PRELID2; CCL20; MUC3A; ALDH2; ELF3; TMEM208; YIF1A; VAMP8; WSB1; SMCO4; S100A14; BMP2; ARL4A; SURF1; CTSD; IGFBP4; HES1; GCHFR; JTB; SLC25A37; MISP; RBBP8NL; ABHD11; CST3; PHYKPL; HMOX2; MT1X; AOC1; ARRDC1; AKR1C3; CCDC107; PTPRH; DDAH2; PI3; PHYH; TMEM176B; CEBPB; ABHD12; TYMP; DCXR; LUZP1; PTGES2; CEACAM5; NDUFB9; TPRN; TMEM147; MVD; TMPRSS2; CYP4F12; EBP; CDHR2; SCIN; TMEM141; CFLAR; COMTD1; ZG16; SELENBP1; BLVRB; PYGB; SOX4; TCN2; AREG; ABRACL; MPC1; FAM3A; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; RBCK1; MGST1; PCSK5; EFNB2; GLRX; ADD3; TFCP2L1; KLF6; HEXIM1; ITGA3; WFDC2; PAG1; NR2F6; GUK1; OCEL1; ATP6V0B; ERBB3; HYI; SFN; SUCLG1; STARD10; NDUFS8; ACOX1; SDC4; ACAA2; UBXN1; ATP6V0D1; FIS1; SERINC5; CISD1; TMEM120A; MFSD2A	1
10	Club cells	122	1432	9240	1071	10672	0.98355051994135	SFTPB; ASS1; TFF3; PNKD; KRT15; SFTPA2; SFTPA1; SFTPC; ANKRD36C; ADAM28; TCIM; SYNE1; IFI16; MUC4; PDE4D; TMC5; CRIP2; FAM177A1; CP; KRT7; DST; CLDN3; ODF2L; SAT1; GADD45B; EXPH5; CYSLTR1; IFITM2; C16orf89; IFITM1; OR10H1; FHL2; KRTCAP2; SLPI; CCL20; ALDH2; SFTA2; CXCL1; CTSE; ELF3; SOCS3; MECOM; MSLN; VAMP8; MACROD2; ANXA1; APOD; RAB31; WSB1; RGCC; NUPR1; SCNN1B; S100A14; DNAH5; ARL4A; CTSD; HES1; JTB; SLC25A37; RP1; CST3; ARHGDIB; HMGB3; HMGB2; HOPX; EML4; MT1X; AKR1C3; ST6GALNAC1; NDUFB9; PLEKHA5; FAM189A2; ST3GAL5; SELENOM; BLVRA; TMEM141; CFLAR; SELENBP1; BLVRB; SOX4; LGALS1; AREG; MPC1; PER2; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; MGST1; CCPG1; ACIN1; STK38; ADD3; KLF6; HEXIM1; HNMT; WFDC2; SCNN1A; RSL1D1; GOLGA8A; EIF2AK2; PTPN13; EMP2; GUK1; ATP6V0B; ERBB3; SFN; AKR1C1; MET; MTUS1; SUCLG1; NDUFS8; MACC1; SDC4; KPNA5; UBXN1; KRCC1; NASP; FIS1; ITGB6; CISD1	1
8	Cholangiocytes	121	1431	9241	1071	10672	0.986885065167373	CFI; RBPMS; ASS1; TFF3; PNKD; GADD45G; FGL1; GPRC5C; AKR1C2; IL32; TMC5; VSIG2; CRIP2; FAM177A1; CP; KRT7; ARHGEF40; DST; CLDN3; LGALS2; SAT1; GADD45B; IFITM2; MGLL; KRTCAP2; ARRDC2; SLPI; ALDH2; SFTA2; CXCL1; FGFR4; ELF3; TMEM208; NDRG2; SYT8; SERPINA6; MSLN; YIF1A; VAMP8; VAMP5; WSB1; SMCO4; CAPN12; NUPR1; S100A14; BMP2; SURF1; CTSD; IGFBP4; HES1; GCHFR; TMEM245; JTB; VSTM2L; SORBS2; CST3; MT1X; CCDC107; C1R; PHYH; TMEM176B; CEBPB; DCXR; TCN1; NDUFB9; SLC7A7; PLEKHA5; TMEM147; PIM3; EBP; PLLP; TMEM141; CFLAR; SELENBP1; BLVRB; TM7SF2; ST6GAL1; NNMT; SOX4; LGALS1; AREG; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; RBCK1; MGST1; SUMF2; ALDOB; GLRX; KLF6; HEXIM1; CHST4; EPB41L4A; COMMD7; PGC; HNMT; WFDC2; SCNN1A; RSL1D1; CXXC5; EMP2; GUK1; ATP6V0B; ERBB3; HYI; AKR1C1; MTUS1; SUCLG1; STARD10; NDUFS8; SDC4; ACAA2; UBXN1; ATP6V0D1; FIS1; MEIS2; CISD1	1
38	Pancreatic endocrine cells	118	1408	9264	1071	10672	0.989499854233773	LGALS9; ASS1; ANKRD36C; SMIM31; TCIM; FGL1; AKR1C2; IL32; TMC5; VSIG2; FSTL3; FAM177A1; CP; KRT7; CUZD1; DST; LGALS2; SAT1; GADD45B; IFITM2; ID3; MGLL; FHL2; KRTCAP2; SLPI; ALDH2; CXCL1; CTSE; ELF3; TMEM208; YIF1A; VAMP8; ANXA1; WSB1; PLAU; NUPR1; PGM2L1; S100A14; ANGPTL4; SURF1; CTSD; HES1; JTB; SLC25A37; MISP; ANXA10; CST3; IL1R2; HMGB3; HMOX2; MT1X; AKR1C3; CCDC107; DDAH2; C1R; PI3; MAP4K4; TMEM176B; TYMP; CTRB1; CD79A; NDUFB9; TMEM147; EBP; SELENOM; PLLP; TMEM141; CFLAR; COMTD1; PLEK2; BLVRB; NNMT; SOX4; LGALS1; AREG; ABRACL; CXCL3; MT2A; MGST3; SPTSSA; FTL; HM13; RBCK1; MGST1; LAMA3; CCPG1; ALDOB; TRIM16; GLRX; KLF6; TNFAIP2; COMMD7; PGC; ITGA3; WFDC2; RSL1D1; CXXC5; FNIP2; GUK1; ATP6V0B; ERBB3; HYI; MFSD10; SFN; AKR1C1; MET; STARD10; NDUFS8; TEN1; MACC1; SDC4; ACAA2; UBXN1; FXYD5; ATP6V0D1; FIS1; ITGB6; CISD1	1
11	Collecting duct cells	118	1425	9247	1071	10672	0.993149549650152	CFI; RBPMS; PNKD; TCIM; GPRC5C; SEMA3B; IL32; AQP2; CRIP2; FAM177A1; KRT7; HOXB3; DST; CLDN3; KCP; ADGRF1; ODF2L; SAT1; IFITM2; ID3; HOXB2; KRTCAP2; SLPI; ALDH2; SFTA2; ELF3; TMEM208; MECOM; VAMP8; ANXA1; WSB1; ACYP1; PPFIBP1; NUPR1; SCNN1B; TFPI2; CRIM1; SURF1; CTSD; HES1; GCHFR; TMEM245; JTB; SORBS2; SLC25A37; ABHD11; CST3; ARHGDIB; KIFC3; HMGB2; CHD3; MT1X; AOC1; ARRDC1; CCDC107; DDAH2; TMEM176B; CHPF; CDK18; DCXR; NDUFB9; TMEM147; PIM3; EBP; SELENOM; SCIN; PLLP; TMEM141; CFLAR; COMTD1; BDH2; BLVRB; ST6GAL1; NNMT; SOX4; LGALS1; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; RBCK1; MGST1; PEF1; SUMF2; CCPG1; RERE; PFKFB3; ALDOB; GLRX; TFCP2L1; KLF6; PLEKHH2; HNMT; ITGA3; WFDC2; SCNN1A; CXXC5; GUK1; ATP6V0B; ALDH6A1; PTGER1; HYI; AKR1C1; ARHGAP29; SUCLG1; STARD10; NDUFS8; SDC4; ACAA2; UBXN1; FXYD5; ATP6V0D1; FIS1; ITGB6; CISD1	1
34	Melanocytes	118	1433	9239	1071	10672	0.994434130638061	COL1A1; AQP5; TFF3; PNKD; KRT15; IFI16; IL32; CRIP2; FAM177A1; CCDC80; KRT7; DST; ODF2L; SAT1; GADD45B; TBC1D16; IFITM2; ID3; IFITM1; ARID5A; KRTCAP2; NFATC2; GMFG; CXCL1; MMP9; SOCS3; TMEM208; NDRG2; YIF1A; VAMP8; VAMP5; ANXA1; APOD; WSB1; RGCC; PPFIBP1; NUPR1; MZB1; HPCAL1; S100A14; LRRC26; HSPA6; ARL4A; SURF1; CTSD; IGFBP4; HES1; GCHFR; JTB; SLC25A37; CST3; ARHGDIB; HMOX2; HMGB2; LY96; MT1X; CCDC107; MYLIP; PTPRS; DDAH2; FNBP1; CHPF; CEBPB; TYMP; DCXR; ST3GAL4; CD79A; PTGES2; NDUFB9; PLEKHA5; TMEM147; PIM3; CRELD2; CDH3; MAX; TMEM141; CFLAR; BLVRB; NNMT; SOX4; LGALS1; ABRACL; CXCL3; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; GLRX; ADD3; KLF6; MOK; COMMD7; KCNAB2; DGCR6L; HNMT; PAG1; RSL1D1; CXXC5; GPR183; EMP2; GUK1; ATP6V0B; SFN; AKR1C1; COL6A1; SUCLG1; NDUFS8; JMJD6; SDC4; STX8; UBXN1; FXYD5; ATP6V0D1; FIS1; CISD1	1
1	Alveolar cells type 1	121	1469	9203	1071	10672	0.994922616931658	SFTPB; RBPMS; AQP5; PNKD; SFTPA2; SFTPA1; SFTPC; TRIM22; TCIM; SYNE1; SULT1A1; SEMA3B; PALM3; IL32; TMC5; VSIG2; CRIP2; FAM177A1; KRT7; DST; ODF2L; SAT1; GADD45B; EXPH5; CYSLTR1; IFITM2; ID3; MGLL; SCEL; OR10H1; KRTCAP2; SLPI; GALNT5; ALDH2; SFTA2; CTSE; ELF3; MECOM; MSLN; VAMP8; ANXA1; RAB31; WSB1; SMC4; RGCC; PPFIBP1; GRK5; NUPR1; COL8A1; SCNN1B; HPCAL1; S100A14; BMP2; CTSD; TMEM245; JTB; CST3; ARHGDIB; HOPX; EML4; MT1X; CCDC107; NDUFB9; PIM3; FAM189A2; ST3GAL5; SELENOM; BLVRA; PLLP; TMEM141; CFLAR; APOL1; MAP2; SELENBP1; BLVRB; SOX4; LGALS1; AREG; CXCL3; MPC1; MT2A; MGST3; SPTSSA; FTL; MGST1; LAMA3; SUSD2; SUMF2; CCPG1; ACIN1; PFKFB3; KLF6; DIAPH3; HEXIM1; ITGA3; WFDC2; SCNN1A; RSL1D1; PDGFA; GOLGA8A; EIF2AK2; FER; EMP2; GUK1; ATP6V0B; ERBB3; SFN; AKR1C1; MTUS1; SUCLG1; NDUFS8; KLHL24; MACC1; SDC4; KPNA5; UBXN1; NASP; FIS1; SERINC5; ITGB6; CISD1	1
