list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
25	Hepatocytes	90	1347	9325	311	10672	6.29582402888512e-15	ASS1; PNKD; DGAT2; GADD45G; AKR1C2; IL32; FAM177A1; GADD45B; MGLL; SLPI; ALDH2; TMEM208; SERPINA6; YIF1A; VAMP8; VAMP5; SMCO4; NUPR1; ANGPTL4; SURF1; CTSD; YAF2; IGFBP4; GCHFR; TMEM245; JTB; CST3; SRPRB; HMGB3; HMOX2; MT1X; SMARCD2; CCDC107; PHYH; ETNK2; CEBPB; TYMP; DCXR; NDUFB9; TMEM147; EBP; TMEM141; CFLAR; COMTD1; F7; SELENBP1; BLVRB; TM7SF2; NNMT; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; STEAP3; RBCK1; MGST1; LDHD; SUMF2; CCPG1; GLRX; KLF6; DGCR6L; RSL1D1; PEX16; CXXC5; HPN; NR2F6; EMP2; GUK1; OCEL1; ATP6V0B; ALDH6A1; AKR1C1; SUCLG1; STARD10; APMAP; NDUFS8; SDC4; UBXN1; GCDH; FASN; RCL1; FIS1; SIL1; CISD1; TMEM120A; MFSD2A	3.21087025473141e-13
18	Enterocytes	81	1389	9283	311	10672	2.79295176584134e-10	ASS1; TFF3; PNKD; IL32; FAM177A1; CLDN3; GADD45B; MGLL; SLPI; CCL20; ALDH2; TMEM208; YIF1A; VAMP8; SMCO4; S100A14; BMP2; ARL4A; SURF1; CTSD; IGFBP4; GCHFR; JTB; MISP; ABHD11; CST3; HMOX2; MT1X; ARRDC1; AKR1C3; CCDC107; PI3; PHYH; CEBPB; ABHD12; TYMP; DCXR; PTGES2; NDUFB9; TPRN; TMEM147; MVD; CYP4F12; EBP; TMEM141; CFLAR; COMTD1; ZG16; SELENBP1; BLVRB; PYGB; TCN2; MPC1; FAM3A; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; RBCK1; MGST1; EFNB2; GLRX; TFCP2L1; KLF6; PAG1; NR2F6; GUK1; OCEL1; ATP6V0B; SFN; SUCLG1; STARD10; NDUFS8; SDC4; UBXN1; ATP6V0D1; FIS1; CISD1; TMEM120A; MFSD2A	7.12202700289541e-09
8	Cholangiocytes	82	1431	9241	311	10672	4.95668263828388e-10	ASS1; TFF3; PNKD; GADD45G; AKR1C2; IL32; CRIP2; FAM177A1; KRT7; CLDN3; GADD45B; MGLL; ARRDC2; SLPI; ALDH2; SFTA2; CXCL1; TMEM208; SYT8; SERPINA6; MSLN; YIF1A; VAMP8; VAMP5; SMCO4; NUPR1; S100A14; BMP2; SURF1; CTSD; IGFBP4; GCHFR; TMEM245; JTB; VSTM2L; CST3; MT1X; CCDC107; PHYH; CEBPB; DCXR; NDUFB9; SLC7A7; TMEM147; PIM3; EBP; PLLP; TMEM141; CFLAR; SELENBP1; BLVRB; TM7SF2; NNMT; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; RBCK1; MGST1; SUMF2; GLRX; KLF6; COMMD7; PGC; SCNN1A; RSL1D1; CXXC5; EMP2; GUK1; ATP6V0B; AKR1C1; SUCLG1; STARD10; NDUFS8; SDC4; UBXN1; ATP6V0D1; FIS1; CISD1	8.42636048508259e-09
39	Paneth cells	77	1392	9280	311	10672	1.00427693085537e-08	ASS1; TFF3; PNKD; IL32; FAM177A1; CLDN3; GADD45B; MGLL; SLPI; CCL20; ALDH2; CTSE; TMEM208; MSLN; YIF1A; VAMP8; SMCO4; NUPR1; HPCAL1; S100A14; SLC39A7; ARL4A; SURF1; CTSD; IGFBP4; GCHFR; JTB; MISP; ABHD11; CST3; MT1X; ARRDC1; AKR1C3; CCDC107; TYMP; DCXR; ST3GAL4; NDUFB9; TMEM147; EBP; MAX; TMEM141; CFLAR; COMTD1; VIPR1; ZG16; SELENBP1; BLVRB; PYGB; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; RBCK1; MGST1; SUMF2; GLRX; KLF6; RSL1D1; PDGFA; NR2F6; EMP2; GUK1; ATP6V0B; SFN; SUCLG1; STARD10; NDUFS8; SDC4; STX8; UBXN1; ATP6V0D1; FIS1; CISD1; TMEM120A	1.28045308684059e-07
2	Alveolar cells type 2	72	1382	9290	311	10672	3.94035158129651e-07	SFTPB; PNKD; SFTPC; TCIM; GADD45G; IL32; FAM177A1; KRT7; GADD45B; C16orf89; MGLL; SLPI; CCL20; ALDH2; SFTA2; CXCL1; MSLN; YIF1A; VAMP8; MACROD2; NUPR1; HPCAL1; S100A14; BMP2; CTSD; GCHFR; TMEM245; JTB; CST3; HOPX; CEBPB; DCXR; NDUFB9; PIM3; ST3GAL5; SELENOM; BLVRA; TMEM141; CFLAR; SELENBP1; BLVRB; NNMT; CXCL3; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; MGST1; SUSD2; CCPG1; KLF6; CEP70; PGC; SCNN1A; RSL1D1; EMP2; GUK1; ATP6V0B; SFN; SUCLG1; ADGRE5; STARD10; NDUFS8; MACC1; SDC4; UBXN1; FASN; FIS1; CCDC69; MFSD2A	4.01915861292244e-06
41	Proximal tubular cells	72	1403	9269	311	10672	7.0541619967322e-07	ASS1; PNKD; IL32; FAM177A1; GADD45B; RASSF4; PNPO; ALDH2; TMEM208; YIF1A; VAMP8; NUPR1; HPCAL1; TMEM150A; SURF1; CTSD; IGFBP4; GCHFR; JTB; NUDT16L1; CST3; HMOX2; MT1X; AKR1C3; PHYH; ETNK2; TYMP; DCXR; DPEP1; RNF187; PTGES2; NDUFB9; SLC7A7; TMEM147; EBP; SELENOM; BLVRA; BIN1; TMEM141; CFLAR; COMTD1; SELENBP1; BLVRB; TCN2; MPC1; MT2A; MGST3; SPTSSA; FTL; MGST1; LDHD; GLRX; COMMD7; DGCR6L; RSL1D1; CXXC5; HPN; LCMT1; GUK1; OCEL1; ATP6V0B; ALDH6A1; SUCLG1; NDUFS8; SDC4; STX8; UBXN1; GCDH; ATP6V0D1; FIS1; CISD1; TMEM120A	5.57335010430207e-06
34	Melanocytes	73	1433	9239	311	10672	7.64969622159108e-07	TFF3; PNKD; IL32; CRIP2; FAM177A1; CCDC80; KRT7; GADD45B; TBC1D16; CXCL1; TMEM208; YIF1A; VAMP8; VAMP5; APOD; NUPR1; HPCAL1; S100A14; LRRC26; ARL4A; SURF1; CTSD; IGFBP4; GCHFR; JTB; CST3; HMOX2; MT1X; CCDC107; CHPF; CEBPB; TYMP; DCXR; ST3GAL4; PTGES2; NDUFB9; TMEM147; PIM3; CRELD2; MAX; TMEM141; CFLAR; BLVRB; NNMT; CXCL3; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; GLRX; KLF6; COMMD7; DGCR6L; PAG1; RSL1D1; CXXC5; EMP2; GUK1; ATP6V0B; SFN; AKR1C1; SUCLG1; NDUFS8; JMJD6; SDC4; STX8; UBXN1; ATP6V0D1; FIS1; CISD1	5.57335010430207e-06
36	Mucus-secreting cells	70	1404	9268	311	10672	3.03908848471877e-06	ASS1; TFF3; PNKD; IL32; FAM177A1; CLDN3; GADD45B; MGLL; SLPI; CCL20; ALDH2; TMEM208; YIF1A; VAMP8; SMCO4; NUPR1; HPCAL1; S100A14; LRRC26; SLC39A7; ARL4A; CTSD; IGFBP4; JTB; MISP; ABHD11; CST3; SPDEF; MT1X; CCDC107; CEBPB; DCXR; NDUFB9; TMEM147; PIM3; EBP; TMEM141; CFLAR; COMTD1; ZG16; SELENBP1; BLVRB; MPC1; ZFP36L2; MT2A; MGST3; SPTSSA; FTL; HM13; RBCK1; MGST1; SUMF2; GLRX; KLF6; DGCR6L; SCNN1A; RSL1D1; NR2F6; EMP2; GUK1; ATP6V0B; SFN; SUCLG1; STARD10; NDUFS8; SDC4; UBXN1; ATP6V0D1; FIS1; CISD1	1.85219634606436e-05
38	Pancreatic endocrine cells	70	1408	9264	311	10672	3.36557363862366e-06	ASS1; TCIM; AKR1C2; IL32; FSTL3; FAM177A1; KRT7; GADD45B; MGLL; SLPI; ALDH2; CXCL1; CTSE; TMEM208; YIF1A; VAMP8; NUPR1; S100A14; ANGPTL4; SURF1; CTSD; JTB; MISP; CST3; HMGB3; HMOX2; MT1X; AKR1C3; CCDC107; PI3; TYMP; NDUFB9; TMEM147; EBP; SELENOM; PLLP; TMEM141; CFLAR; COMTD1; BLVRB; NNMT; CXCL3; MT2A; MGST3; SPTSSA; FTL; HM13; RBCK1; MGST1; CCPG1; TRIM16; GLRX; KLF6; TNFAIP2; COMMD7; PGC; RSL1D1; CXXC5; GUK1; ATP6V0B; SFN; AKR1C1; STARD10; NDUFS8; MACC1; SDC4; UBXN1; ATP6V0D1; FIS1; CISD1	1.85219634606436e-05
20	Exocrine glandular cells	70	1411	9261	311	10672	3.63175754130266e-06	ASS1; TCIM; AKR1C2; IL32; CRIP2; FAM177A1; KRT7; GADD45B; MGLL; SLPI; ALDH2; CTSE; TMEM208; YIF1A; VAMP8; NUPR1; SLC39A7; SURF1; CTSD; JTB; CST3; HMGB3; HMOX2; MT1X; AKR1C3; CCDC107; PI3; CHPF; TYMP; DPEP1; NDUFB9; TMEM147; EBP; SELENOM; TMEM141; COMTD1; BLVRB; NNMT; CXCL3; MPC1; MT2A; MGST3; SPTSSA; FTL; HM13; RBCK1; MGST1; CCPG1; GLRX; KLF6; MED8; COMMD7; PGC; RSL1D1; PEX16; CXXC5; GUK1; ATP6V0B; SFN; AKR1C1; SUCLG1; STARD10; NDUFS8; SDC4; STX8; UBXN1; ATP6V0D1; FIS1; SIL1; CISD1	1.85219634606436e-05
