list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
12	Cone photoreceptor cells	79	1427	9245	760	10672	0.995724161382947	SLC4A8; KSR1; ABCA4; ANKRD36C; PODXL; SYNE1; RPGRIP1; PDE4D; ENO2; ITSN1; DST; ODF2L; SAT1; LRP2; ADAM19; PRELID2; GRAMD1B; MEIS1; IKBKB; KIAA1614; DNMT3A; WDR54; WSB1; SLC17A7; KIAA0825; CLSTN3; HSPA6; RPS6KL1; EPB41L2; CNGB1; CIT; CDCA3; PHTF1; GNGT1; SHROOM2; AKAP6; DTX3; SORBS2; SLC25A37; KIFC3; EML4; GDPD5; FNBP1; MAP4K4; STMN3; PRICKLE2; PLEKHA5; MAPKBP1; IFT88; CCDC148; RALGPS2; CALB1; MALT1; NR2F1; SERPINH1; RERE; PFKFB3; SATB1; KIAA1549; RHOBTB1; ADD3; C2CD2; MOK; SLC35E2B; GOLGA8A; PTPN13; FNIP2; PPARGC1B; LRCH3; ZNF609; KLHL24; ARMC9; NCKAP5L; WDR6; SLC26A11; MEIS2; PTK7; NREP; DRC3	1
2	Alveolar cells type 2	60	1382	9290	760	10672	0.999998151521158	FAM20A; RBPMS; SFTPA2; SFTPA1; RASGRF1; TRIM22; SYNE1; SULT1A1; FCGR2A; IFI16; PDE4D; TMC5; CP; ODF2L; SAT1; CYSLTR1; IFITM2; ID3; IFITM1; KRTCAP2; GMFG; NRGN; ELF3; SOCS3; MECOM; ANXA1; WSB1; SMC4; RGCC; HES1; P3H2; ESAM; SLC25A37; ARHGDIB; HMGB2; CHD3; EML4; C1R; OGT; TMPRSS2; BDH2; SOX4; LGALS1; AREG; IQCN; ACIN1; PFKFB3; HEXIM1; WFDC2; GOLGA8A; PTPN13; FNIP2; ERBB3; TLR2; HYI; MET; MTUS1; KPNA5; NASP; ITGB6	1
9	Ciliated cells	56	1404	9268	760	10672	0.999999943941161	BCAS1; SFTPA2; SFTPA1; ANKRD36C; DOC2A; SYNE1; MUC4; TMC5; CP; CCDC74A; ODF2L; SAT1; EXPH5; CYSLTR1; IFITM2; MUC20; KRTCAP2; ELF3; MECOM; ANXA1; WDR54; WSB1; ACYP1; PLEKHS1; PGM2L1; DNAJB13; DNAH5; CCDC189; HES1; CCDC74B; SORBS2; C20orf96; DNAH11; HMGB2; CFAP52; ST6GALNAC1; PLEKHA5; IFT80; IFT88; OSBPL3; SOX4; AREG; OMG; ACIN1; LXN; CCDC153; PRR29; ADD3; MOK; RIBC2; WFDC2; GOLGA8A; KPNA5; KRCC1; NASP; DRC3	1
10	Club cells	57	1432	9240	760	10672	0.999999962640296	KRT15; SFTPA2; SFTPA1; ANKRD36C; ADAM28; SYNE1; IFI16; MUC4; PDE4D; TMC5; CP; DST; ODF2L; SAT1; EXPH5; CYSLTR1; IFITM2; IFITM1; OR10H1; FHL2; KRTCAP2; ELF3; SOCS3; MECOM; ANXA1; RAB31; WSB1; RGCC; DNAH5; HES1; SLC25A37; ARHGDIB; HMGB2; EML4; ST6GALNAC1; PLEKHA5; FAM189A2; SOX4; LGALS1; AREG; PER2; ACIN1; STK38; ADD3; HEXIM1; HNMT; WFDC2; GOLGA8A; EIF2AK2; PTPN13; ERBB3; MET; MTUS1; KPNA5; KRCC1; NASP; ITGB6	1
42	Rod photoreceptor cells	52	1369	9303	760	10672	0.999999987792951	ABCA4; DNAH2; ANKRD36C; PODXL; SYNE1; RPGRIP1; PDE4D; ENO2; ITSN1; DST; ODF2L; SAT1; GRAMD1B; ELF3; MEIS1; IKBKB; KIAA1614; DNMT3A; WDR54; WSB1; SLC17A7; TFPI2; TMEM132A; RPS6KL1; EPB41L2; CCDC88A; CNGB1; GNGT1; SORBS2; SLC25A37; KIFC3; HMGB2; GDPD5; PLEKHA5; IFT88; RALGPS2; RERE; SATB1; KIAA0895L; TRIB2; ADD3; MOK; SLC35E2B; GOLGA8A; PTPN13; PPARGC1B; ARHGAP29; ZNF609; ARMC9; NASP; MEIS2; DRC3	1
30	Kupffer cells	49	1352	9320	760	10672	0.999999997643151	LGALS9; TRIM22; SULT1A1; FGL1; FCGR2A; IFI16; PTAFR; NCF4; SAT1; IFITM2; ID3; KRTCAP2; GMFG; PTPN6; CMTM7; SOCS3; ANXA1; RAB31; WSB1; EPB41L2; CCDC88A; RASGRP2; HES1; IL1R2; ARHGDIB; HMGB2; LY96; DDAH2; OGT; FNBP1; ITGB2; TMEM176B; SOX4; LGALS1; AREG; ABRACL; CMTM3; PFKFB3; ARHGAP30; ADD3; KCNAB2; HNMT; GPR183; FNIP2; TLR2; JDP2; CSF2RA; ACAA2; FXYD5	1
29	Ito cells	51	1397	9275	760	10672	0.999999998334245	CFI; COL1A1; SYNE1; FGL1; IFI16; ODF2L; SAT1; IFITM2; ID3; IFITM1; KRTCAP2; GMFG; CRISPLD2; SOCS3; NDRG2; MCAM; MID1; ANXA1; WSB1; PPFIBP1; TFPI2; CRIM1; NOSTRIN; HES1; ESAM; SLC25A37; ARHGDIB; HMGB2; LY96; TM4SF18; CPNE2; DDAH2; C1R; MAP4K4; LUZP1; ST6GAL1; SOX4; LGALS1; NR2F1; SERPINH1; RERE; BMPER; TRIB2; ADD3; FNIP2; PCOLCE; COL6A1; ARHGAP29; FXYD5; NASP; MEIS2	1
43	Sertoli cells	51	1403	9269	760	10672	0.999999998720404	COL1A1; RBPMS; SYTL4; GPRC5C; IFI16; DST; SAT1; IFITM2; ID3; IFITM1; FHL2; KRTCAP2; NGF; CRISPLD2; NDRG2; MCAM; ANXA1; WSB1; SMC4; RGCC; GRK5; NOSTRIN; EPB41L2; TOP2A; RASGRP2; HES1; NTRK2; SORBS2; ESAM; ARHGDIB; HMGB2; MYLIP; DDAH2; C1R; FNBP1; MAP4K4; LGALS1; LGI4; SERPINH1; RERE; ACBD6; TRIB2; ADD3; HNMT; FNIP2; MFSD10; COL6A1; ARHGAP29; FIGN; FXYD5; NASP	1
39	Paneth cells	50	1392	9280	760	10672	0.999999999085425	LGALS9; BCAS1; LGALS9C; RHOV; SULT1A1; GPRC5C; SEMA3B; TMC5; VSIG2; DST; LGALS2; SAT1; IFITM2; ID3; KRTCAP2; MTMR11; MUC3A; ELF3; WSB1; HES1; RBBP8NL; HMGB2; EML4; AOC1; DDAH2; CASP6; TMEM176B; CDK18; FA2H; ST6GALNAC1; CEACAM5; TMPRSS2; CDHR2; SCIN; SOX4; AREG; ABRACL; LXN; ARHGAP27; ADD3; HEXIM1; HNMT; WFDC2; FNIP2; ERBB3; HYI; ACOX1; ACAA2; KRCC1; SERINC5	1
49	T-cells	50	1393	9279	760	10672	0.999999999125262	LCK; TRIM22; SYNE1; IFI16; IL7R; BTN3A2; ODF2L; SAT1; IFITM2; IFITM1; ARID5A; KRTCAP2; CD96; GMFG; PTPN6; ANXA1; WSB1; SMC4; ARHGAP9; APOBEC3C; ARHGDIB; HMGB2; EML4; MYLIP; OGT; FNBP1; ITGB2; MFNG; CBLB; LGALS1; AREG; ABRACL; SASH3; CMTM3; ERAP2; ARHGAP30; SATB1; ITGAL; MYBL1; ADD3; HEXIM1; BCL11B; GPR183; MFSD10; ACAA2; STAT4; FXYD5; CPNE1; SH3BP1; NASP	1
