list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
29	Esophagus_Mucosa	265	1399	9508	1207	10907	4.56865182173422e-21	KRT78; SCNN1B; ; HOPX; FANCI; HELLS; NA; MGLL; SFTA2; S100A8; RAD54L; MVD; STRA6; FOSL1; TICRR; SESN2; AQP3; TRERF1; CDC45; SH3RF2; GUCY2D; PCLAF; KRT6A; AHNAK2; ALOX15B; KRT16; LGALS9C; ARG2; WFDC12; SCNN1G; AKR1C1; LINC00160; E2F2; SMC4; TROAP; LINC01644; SLPI; TFCP2L1; ADM2; IL36G; S100A3; CENPW; MIR205HG; CDCA3; PADI1; AURKB; TUFT1; ZWINT; TIMELESS; GEN1; RHOV; KIF18B; HJURP; POLQ; CHEK2; MCM5; MYBL2; TBC1D10A; SPRR1B; FANCA; RHBDL2; IL22RA1; SRPRB; TGM5; MIA2; S100A7; TOM1; IGFL1; TOP2A; UPP1; SNRPF; EZH2; NECTIN4; ACOT11; DHRS9; HM13; SP6; ORC6; KRT3; FDPS; CCL20; ARL4A; HILPDA; OSBPL3; ATG9B; CASTOR1; LINC00964; ARRDC1; PI3; SGO1; RBBP8NL; TK1; NUF2; STK38; LINC01133; ADGRF1; MECOM; PTTG1; MSMO1; CENPM; EXPH5; CYP4F3; AKR1C2; XRCC2; DUOX1; EPHA2; CLSPN; ELF3; ZNF726; RAD51AP1; RECQL4; CDCA5; ALDH3A1; EVPL; SYT8; CDC6; LGALS9B; KIF14; EXO1; S100P; SPC25; KIF20B; ESPL1; KNL1; GALNT5; RNF145; NEIL3; SFN; ERV3-1; ABRACL; ANKRD22; MPST; GTSE1; IQGAP3; RMI2; ASF1B; CENPU; TAS1R3; CD164L2; GPT2; TYMP; UBE2T; GINS2; PRSS8; PROM2; KIF2C; BIRC5; IL18; ARL4D; GRHL3; DEF6; WDR76; RTKN2; PLCB3; CENPE; NDC80; IL36RN; HMGCS1; BARD1; MUC4; CDCA4; PLK4; MCM4; CENPF; PITPNM3; PRC1; CNN2; FAM214B; KNTC1; TIAM1; IVL; CERS4; SKA3; HSBP1L1; BRIP1; KIAA1217; TM4SF1; PLEK2; E2F7; TET3; CENPK; GRB7; DIAPH3; ZYG11A; TNFSF15; BLVRB; CDCA7; CDCA8; ULK3; DOK4; TRIM29; SH3BP1; ACBD3; CYP4X1; LINC01932; AKR1B10; ZBED2; LINC01978; BCKDHA; S100A14; ZNF860; MYO6; WDHD1; ZNF367; HES1; NDUFA4L2; TCP11L2; FCHO2; CDK1; ASPM; PDLIM2; TMED3; LPIN3; MUCL3; CEACAM6; PNLIPRP3; PPP1R3C; CSTB; LGALS7B; TMPRSS11E; SHMT1; KRT6C; MELK; DTL; TMEM141; TRAF4; PDZK1IP1; GPR1; MKNK2; KCNK6; OAS1; TRNP1; PLXNA2; MGST2; TEDC2; ARHGAP27; MANCR; CDC20; PWWP2B; CDC25A; ZDHHC21; RPS6KA4; OVOL1; RHBDF2; HDAC1; SPRR1A; GINS3; COMTD1; CCNB1; KIF15; DHCR24; SQLE; PTK7; CDC25C; AFDN; TLR5; LYPD3; CENPN; LINC01559; MIR924HG; TPRG1; MVK; VAMP8; PLK3; SKP2	2.42138546551913e-19
36	Lung	217	1400	9507	1207	10907	3.51524040370308e-08	TCIM; LGALS9; C5orf38; SFTPB; C6orf223; TREM1; SFTPC; ; HOPX; NA; SFTA2; SFTPD; HSD17B7; PDGFB; SPOCD1; SULT1A1; LTK; STING1; GADD45B; CEBPB; FLRT3; ALOX15B; CD247; SFTA3; FSTL3; SCNN1G; TCN2; P2RX4; DNAH2; LINC01644; RP1; LINC02679; SUSD2; CPD; F2RL3; ADGRF5; CTSD; TMEM104; MFSD2A; PLEKHG2; FAM177A1; ZNF385B; MYO10; CYP4B1; CDC25B; SPTSSA; UVSSA; REL; SLC39A7; CEP70; UPP1; MACROD2; BBC3; APOL2; FAM20A; HM13; FDPS; CCL20; ARHGEF38; VAMP5; CFLAR; ARRDC1; ECE1; DUSP1; HYPK; BATF3; MECOM; PIK3C2B; PODXL; PKN3; SARS1; MSMO1; PTPN6; PTGER1; CD7; DUOX1; ANKDD1B; SEC61A1; MSLN; FOXA2; ELF3; SLC26A11; KRT7; KIFC3; ARHGEF26; ALKAL2; ZNF467; SERTAD1; GPR153; NEDD9; GPX3; ANXA2R; CMTM7; GALNT5; TSPAN32; RNF145; ADGRE5; ABI3BP; ZFP36L2; POLD1; ODF3B; SIPA1; MIR4435-2HG; SUMF2; CD164L2; NAGLU; PTPRM; TYMP; NOD1; MOV10; LYL1; NR2F1; FBN3; PTAFR; THEMIS2; RBM17; EFNB2; RTKN2; SLFN11; ALPP; MFSD10; INPP5K; HERPUD1; VEGFC; HAVCR2; GRK5; TMEM150A; NLRC5; DEPP1; HLA-G; SFTA1P; CNN2; FAM214B; ERAP2; ITGB2; TM4SF1; SMPD1; SLC12A4; NRM; SNTN; TNFSF15; BLVRB; GNGT2; SELENOS; DNAJC1; NOSTRIN; LINC01932; STAT4; CD302; GGA2; PNKD; MYO6; SFTPA1; PLEKHH2; VIPR1; RGS16; FCHO2; PDLIM2; SDCCAG8; CEACAM6; FGFR4; VEPH1; TMEM165; BACH2; KLF6; KANK3; CDC20B; ADGRD1; PLXNA2; DLEC1; ARHGAP27; FAM111A; SMURF2; STIM2; DGKH; SLFN13; C16orf89; UBA7; RHBDF2; CCN1; CAV1; RABGGTB; ARAP1; BTN2A1; BCL2L1; ODF2L; SMAD6; FCGR2A; PLXND1; CARD8; LINC02577; ATF6; PTK7; CD6; HNRNPA3; SFTPA2; PLCB2; CREBRF; AFDN; TRIM25; DAPK1; GANC; SLFN12L; HPCAL1; SLC7A7; IKBKB; PLAT; IL32; SLC31A1; VAMP8; FCGRT; IL12RB1; LAMA3; PLK3; CCDC68; LINC00482; FMNL3	9.31538706981316e-07
37	Minor_Salivary_Gland	197	1353	9554	1207	10907	1.39172385112891e-05	TCIM; AQP5; C5orf38; TFF3; HTR3A; SCNN1B; ASS1; ; NA; MGLL; S100A8; GJC3; RNF207; SLC12A8; ERN2; AQP3; HSD11B2; ARG2; SCNN1G; P2RX4; B3GALT5; LINC00160; LINC01644; SLPI; TFCP2L1; ADM2; CPD; SLC35E1; MIR205HG; NAA40; CTSD; GEN1; RHOV; STX5; CCDC186; SPRR1B; RHBDL2; TMEM61; ANKRD36C; SRPRB; ATP6V0A2; MIA2; RHCE; SPTSSA; UVSSA; TOM1; IGFL1; TMEM208; SLC39A7; SMARCD2; SESTD1; BBC3; NECTIN4; FAM20A; HM13; PYGB; KRT3; ARHGEF38; ARRDC1; PI3; CHAF1B; RBBP8NL; HYPK; GMPPA; STK38; LINC01133; ADGRF1; RCBTB2; PKN3; PRR15L; WEE1; SEC61A1; MSLN; EPHA2; ELF3; KRT7; ARHGEF37; ZFP36L1; ZDHHC23; LINC01547; ALDH3A1; RPS10P7; ADAM28; SYT8; TMEM78; PER2; SLC17A5; GALNT5; RNF145; ERV3-1; ABRACL; ANKRD49; ODF3B; STARD10; SUMF2; MISP3; TAS1R3; CD164L2; NAGLU; GPT2; CCDC148; ICA1; TYMP; LRRC26; SIDT1; WIPI1; ATP1A1; FBN3; PRSS8; ENTPD8; PROM2; SLC16A14; DEF6; TCEA3; HMGCS1; HERPUD1; SPDEF; MUC4; WFDC2; CCPG1; ZNF69; PLEKHS1; IVL; CLCNKB; CERS4; HSBP1L1; CASZ1; KIAA1217; TM4SF1; ETV6; GRB7; NFATC2; DNAJC25; TNFSF15; PAFAH2; SELENOS; ZNF524; DNAJC1; ACBD3; NOSTRIN; CYP4X1; JTB; ASAP3; GGA2; STEAP3; S100A14; ZNF860; MYO6; TSPAN1; TTC39C; RASD1; HES1; TCP11L2; TAS2R10; TMED3; CEACAM6; CSTB; MAN1B1; TMPRSS11E; TRAF4; PDZK1IP1; XBP1; KCNK6; MGST2; CHST4; YIPF5; ARHGAP27; FAM111A; CYTH2; SLFN13; CLDN3; SPRR1A; ATP13A5; COMTD1; C11orf24; SRSF6; ATF6; MYBPH; PTK7; SMCO4; ZBED6; URB1; F3; ATG101; AFDN; GANC; TLR5; PYROXD2; GAS8; IKBKB; ALG3; SLC31A1; CCDC14; VAMP8; LAMA3; LINC00482; KCNMB3	0.000245871213699442
52	Vagina	183	1263	9644	1207	10907	3.97646166885896e-05	KRT78; COL1A1; ETNK2; SCNN1B; ; HOPX; NA; S100A8; STRA6; TICRR; AQP3; TRERF1; PLEKHG3; SH3RF2; GUCY2D; STING1; KRT6A; AHNAK2; ALOX15B; KRT16; WFDC12; SCNN1G; B3GALT5; LINC00160; E2F2; TROAP; LINC01644; CENPW; MIR205HG; PADI1; NPR2; TUFT1; GEN1; RHOV; CHEK2; TBC1D10A; SPRR1B; PHF19; RHBDL2; SHC3; XRCC3; TGM5; SPTSSA; S100A7; IGFL1; UPP1; NECTIN4; PTPRS; SP6; KRT3; ARL4A; HILPDA; OSBPL3; ATG9B; CASTOR1; LINC00964; ARRDC1; PI3; LIG1; RBBP8NL; DUSP1; LINC01133; ADGRF1; MSMO1; CACNB3; DUOX1; ANKDD1B; EPHA2; ELF3; ZNF726; ZFP36L1; EVPL; C11orf95; LGALS9B; ANXA2R; ESPL1; GALNT5; RNF145; ABI3BP; SFN; ERV3-1; ZNF846; ANKRD22; C10orf143; IQGAP3; NINL; CD164L2; TRIT1; ZNF300; MOV10; NR2F1; PROM2; PCSK5; IL18; ARL4D; GRHL3; DEF6; PLCB3; COL24A1; MCUB; NDC80; HMGCS1; BARD1; MUC4; CDCA4; RAPGEF3; TMEM120B; RUSC1; IVL; NXNL2; CERS4; LINC02298; INAFM1; GRB7; NRM; CDCA7; INVS; TRIM29; SH3BP1; ACBD3; LINC01932; AKR1B10; ZBED2; ASAP3; S100A14; ZNF860; SFRP4; HES1; NDUFA4L2; TCP11L2; FCHO2; PDLIM2; TMED3; LPIN3; CEACAM6; TRIP6; PNLIPRP3; PPP1R3C; CSTB; DCST1; TMPRSS11E; KRT6C; GPR1; KCNK6; LINC02614; SETD4; ZNF600; MGST2; ARHGAP27; MANCR; ZDHHC21; OVOL1; LMNA; SAMD11; HDAC1; STARD9; SPRR1A; GINS3; NLRP1; MAX; COMTD1; SH3PXD2A; IER5L; DDAH2; SQLE; PTK7; PRDM8; HNRNPA3; AFDN; WDR27; C1QL4; TLR5; TULP1; PYROXD2; LYPD3; IKBKB; PLAT; MIR924HG; PRICKLE2; TPRG1; MVK; VAMP8; LAMA3	0.000526881171123812
41	Pancreas	108	707	10200	1207	10907	0.000249244154485657	MT1X; HTR3A; ; NA; GJC3; SLC12A8; AQP2; KRT86; NUPR1; HPN; GALR3; CFI; P2RX4; B3GALT5; ADM2; MYBL2; GCAT; IL22RA1; SHC3; SRPRB; C4BPB; ZNF843; MIA2; H2AC18; TM7SF2; TPRN; HM13; CHPF; KRT3; ARHGEF38; ACY3; PABPC4; MECOM; PODXL; PRR15L; SEC61A1; PRELID2; MYO3B; FOXA2; ELF3; SIDT2; SYT8; ALKAL2; TMEM78; SYT16; ANKRD22; STARD10; GPT2; ICA1; XKR8; PRSS8; ENTPD8; DPEP1; ALPP; HYI; TCEA3; HERPUD1; RWDD2A; TMEM150A; DNMT3B; RCL1; ZNF69; ANPEP; PLEKHS1; ABCC3; CERS4; SIL1; SERPINA1; GRB7; ZNF165; SNTN; LARP1B; PAFAH2; ZNF524; LINC01219; DNAJC1; DNAJC12; GGA2; STEAP3; TMED3; MUCL3; TFPI2; ONECUT1; FGFR4; LINC01106; VEPH1; PDZK1IP1; XBP1; PEX6; VGF; PLXNA2; CHST4; PWWP2B; CELA2B; CLDN3; ZNF432; COMTD1; MYBPH; SLC10A1; F3; DAPK1; FCAMR; PUS3; PSG3; MIR924HG; IL32; VAMP8; SLC2A14	0.00264198803754796
53	Whole_Blood	113	779	10128	1207	10907	0.0012828193019062	LGALS9; TREM1; ; OLAH; NA; S100A8; AQP2; KRT86; GNLY; LRRC4; RIPOR2; CEBPB; CD247; LGALS9C; E2F2; CPD; MMP9; CASP5; MYBL2; HP; RHCE; H2AC18; HMGB2; UPP1; DHRS9; KRT3; HILPDA; PI3; PTPN6; CD7; CYP4F3; ACSL1; COTL1; MYBL1; ZNF467; LGALS9B; CCNDBP1; S100P; ATP6V0D1; ANXA2R; CMTM7; TSPAN32; ADGRE5; FCRL2; ANKRD22; SIPA1; PADI4; RUFY4; VSIR; ASF1B; TYMP; LYL1; XKR8; PTAFR; THEMIS2; DEF6; APMAP; RGL4; ALPP; ACAP1; HAVCR2; NLRC5; KCNAB2; HLA-G; NLRP6; CNN2; FAM214B; ANPEP; ITGB2; FGD3; SERPINA1; NCF4; SNTN; GNGT2; SH3BP1; LINC01932; STAT4; MUCL3; ATP6V0B; PIK3CD; ARHGDIB; GNAT2; AIM2; LCK; PDZK1IP1; LINC00664; OAS1; DGAT2; ARHGAP27; SPNS3; ARID3A; RHBDF2; AP5B1; ARAP1; FCGR2A; CARD8; MYBPH; SLC10A1; CD6; PLCB2; TRIM25; FCAMR; TLR5; SLFN12L; SLC7A7; IL32; GPR132; SLC2A14; FCGRT; IL12RB1; PLK3; MOB3A; LINC00482	0.0113315705001715
42	Pituitary	156	1141	9766	1207	10907	0.00221225380868185	DUSP8; DISP3; ; NA; OR7C1; STRA6; HSD17B7; ARG2; ZNF84; HCN3; LINC00957; ARHGAP33; RAD54B; WDR90; YIF1A; NAA40; CDCA3; TMEM104; NT5M; TIMELESS; SCN3A; USP36; CCDC189; ARMC12; TMEM61; IFT80; SRPRB; ZNF843; RHCE; UVSSA; TMEM208; B4GALT7; KRTAP5-1; CRELD1; SLC39A7; TRIM45; ACOT11; APOL2; TRAPPC9; HM13; CHPF; ARHGEF38; ATG9B; ARRDC1; ACYP1; ARFGAP1; GMPPA; SIMC1; ZNF789; HMGN3; RNFT2; DTX3; SEC61A1; MYO3B; ME3; SLC26A11; C20orf96; LINC01547; EME2; TENM4; RPS10P7; DNMT3A; DOK7; ADAM28; RRP12; MED8; PICK1; GPR153; ATP6V0D1; LINC00205; NPRL2; KRBA1; EIF2AK4; TMEM8B; TAS1R3; FBXL2; MOK; CCDC148; OBSCN-AS1; SIDT1; TERF2IP; B4GALNT3; MOV10; CLK2; ATAT1; LINC01597; ENTPD8; ZNF585A; FYB2; SEZ6L2; CHD5; GOLGA3; C2CD2L; IRGQ; PLD3; SH2B1; CPLANE2; URB1-AS1; HLA-G; RABAC1; TMEM120B; KIAA0895L; RBCK1; SLC4A8; SIL1; ZNF165; COL28A1; IFI6; ULK3; REC8; WDR25; STAT4; JTB; DNAJC12; WFIKKN1; POGZ; ZNF860; RASD1; RGS16; HSDL1; PRSS36; GOSR2; TAS2R10; MDH1B; TAS2R19; TMED3; LACTB2-AS1; ATP6V0B; AIM2; VEPH1; CCDC74A; PEX6; LINC00664; VGF; ZNF454; LINC02021; NYAP1; LINC02614; CFAP99; SVIP; DLEC1; TTC4; SAMD11; NLRP1; WDR54; ZNF432; SRSF6; STK36; SMCO4; TNFRSF25; DAPK1; EXD3; ZBTB8OS; GAS8; LINC01409; NPHP4	0.0167499216943054
35	Liver	159	1193	9714	1207	10907	0.00557693787936957	TCIM; GADD45G; MT1X; ANGPTL4; ETNK2; ASS1; ; NNMT; NA; MVD; HSD17B7; SESN2; CCDC150; SYT12; NUPR1; SULT1A1; HPN; GADD45B; CEBPB; GALR3; CFI; AKR1C1; HCN3; PNPO; ABLIM3; ADM2; YIF1A; AGT; SPTLC3; TIMELESS; MFSD2A; GEN1; DMGDH; GCAT; ZNF385B; IFITM10; MT2A; SRPRB; C4BPB; HP; MIA2; TMEM208; TM7SF2; ASL; FAM20A; HM13; MMAB; FDPS; ACY3; MPC1; GMPPA; SDSL; MSMO1; CYP4F3; AKR1C2; ACSL1; FASN; DCXR; SEC61A1; FOXA2; KIFC3; RPS10P7; ALDH6A1; C3; PHYH; LINC01843; ABRACL; ODF3B; STARD10; MPST; NAGLU; SLC17A9; GPT2; TYMP; ARID3C; XKR8; ENTPD8; OCEL1; FYB2; ARL4D; ANKRD24; ID2; APMAP; HYI; TCEA3; HMGCS1; HERPUD1; TMEM150A; XPNPEP3; RCL1; ZNF69; ANPEP; ABCC3; TIAF1; CERS4; HSBP1L1; RBCK1; PLEK2; SMPD1; SIL1; SERPINA1; ZYG11A; SORD; DNAJC25; BLVRB; LARP1B; PAFAH2; SCN9A; INSIG1; SDS; CD302; DNAJC12; IDNK; BCKDHA; PNKD; STEAP3; ABAT; NUDT12; TTC39C; RASD1; ISG15; PCK2; LACTB2-AS1; PPP1R3C; SHMT1; ONECUT1; FGFR4; TMEM141; TRAF4; AKR1C3; XBP1; MGST1; OAS1; MGST2; CHST4; DGAT2; FAM20C; METTL7A; COMTD1; C11orf24; GPRC5C; ZNF511; DHCR24; SLC10A1; SMCO4; COLEC11; MST1; FCAMR; CLDN1; PUS3; ZNF281; ALG3; IL32; SLC31A1; MVK; VAMP8; FCGRT; SKP2; LINC00482	0.0369472134508234
45	Skin_Sun_Exposed_.Lower_leg.	168	1293	9614	1207	10907	0.0116674828330901	KRT78; COL1A1; AQP5; C5orf38; MT1X; SCNN1B; ; HOPX; NA; OR7C1; TACC2; AQP3; KRT86; SH3RF2; AHNAK2; ALOX15B; KRT16; HSD11B2; WFDC12; DLGAP4; SCNN1G; E2F2; TFCP2L1; SPTLC3; IL36G; SUSD2; S100A3; SLC35E1; MIR205HG; TUFT1; MFSD2A; RHOV; STX5; CCDC186; TBC1D10A; SPRR1B; RHBDL2; IL22RA1; ATP6V0A2; TGM5; TOM1; REL; TM7SF2; SMARCD2; BBC3; EZH2; ZNF526; NECTIN4; SP6; ARL4A; OSBPL3; ATG9B; LIG1; RBBP8NL; CCDC9; DUSP1; SCAMP3; GCSAM; LINC01133; PIK3C2B; EXPH5; DUOX1; WEE1; EPHA2; ZNF726; CYP26B1; KIFC3; ARHGEF37; ZFP36L1; EVPL; SYT8; MED8; PER2; NEIL3; OVGP1; SFN; ZFP36L2; ANKRD22; MPST; FBXW7; RMI2; MGME1; CD164L2; TRIT1; SRP72; B4GALNT3; MOV10; PRSS8; PROM2; IL18; ARL4D; GRHL3; DEF6; WFDC5; IL36RN; HMGCS1; BARD1; CDCA4; NLRC5; MCM4; DNMT3B; PRC1; UNG; IVL; CERS4; HSBP1L1; CASZ1; PLEK2; ETV6; SMPD1; TET3; GRB7; TRIM62; CDCA7; ULK3; ZNF524; LINC01219; DOK4; TRIM29; SH3BP1; PRPF6; ASAP3; S100A14; TTC39C; DST; HES1; NDUFA4L2; TCP11L2; PDLIM2; ZC3H6; TMED3; LPIN3; PNLIPRP3; DCST1; LGALS7B; MAN1B1; PDZK1IP1; BACH2; KLF6; GPR1; KCNK6; NOM1; MGST2; DGAT2; KIF22; OVOL1; LMNA; RHBDF2; HYAL4; BORCS6; ATP13A5; C12orf66; DHCR24; SQLE; PTK7; ATG101; AFDN; CLDN1; TULP1; LYPD3; MIR924HG; RAB40C; SLC31A1; TPRG1; MVK; VAMP8; LAMA3; PLK3	0.0687085100170861
22	Cells_EBV.transformed_lymphocytes	201	1579	9328	1207	10907	0.0137248304641726	LGALS9; C6orf223; BLM; ; FANCI; HELLS; NA; PASK; RAD54L; HSD17B7; SLC12A8; TICRR; CDC45; E2F1; PCLAF; RAD54B; INPP5B; E2F2; SMC4; TROAP; RNMT; CENPW; CDCA3; AURKB; ZWINT; TIMELESS; GEN1; KIF18B; HJURP; POLQ; CHEK2; MCM5; MYBL2; PHF19; DHFR; FANCA; ATP6V0A2; REL; HMGB2; TOP2A; VRK1; NASP; MCM7; MACROD2; SNRPF; EZH2; ZNF526; RNASEH1; ORC6; FDPS; EBI3; OSBPL3; RSL1D1; CHAF1B; SGO1; LIG1; TK1; BATF3; NUF2; GCSAM; RCBTB2; CENPO; PTTG1; CENPM; PTPN6; XRCC2; COTL1; CLSPN; MYO3B; RAD51AP1; RECQL4; CDCA5; MCM3; LINC01547; SPAG5; DNMT3A; CDC6; KIF14; EXO1; SPC25; KIF20B; ESPL1; KNL1; BRCA1; NEIL3; FASTKD1; HSPB11; ABRACL; POLD1; SIPA1; GTSE1; RUFY4; IQGAP3; RMI2; MGME1; ASF1B; CENPU; NSD2; SLC17A9; SRP72; SIDT1; RFC4; UBE2T; GINS2; PTAFR; THEMIS2; KIF2C; BIRC5; DEF6; WDR76; CENPE; HNRNPD; MCUB; NDC80; ACAP1; DUT; BARD1; SMC2; CDCA4; PLK4; ANP32A; NLRC5; MCM4; CENPF; PRC1; ZNF90; EPRS1; KNTC1; ERAP2; C1orf112; SKA3; BRIP1; ITGB2; KLHDC4; E2F7; TET3; CENPK; APOBEC3C; DIAPH3; NRM; ZYG11A; RFC5; POLR3D; CDCA7; GNGT2; CDCA8; SASS6; EIF2AK2; HNRNPA2B1; SH3BP1; SGO2; SPDL1; GGA2; WDHD1; ZNF367; ISG15; CDK1; ASPM; PIK3CD; ARHGDIB; MELK; DTL; MX1; AIM2; LCK; TRAF4; HAUS1; METTL16; OAS1; TEDC2; CEP128; KIF22; RFC3; CDC20; FAM111A; ARID3A; CDC25A; SLFN13; RHBDF2; HDAC1; RABGGTB; ZCCHC7; WDR54; C12orf66; FNBP1; CCNB1; KIF15; NAA35; SQLE; CDC25C; TRIM25; SLFN12L; ZBTB8OS; CENPN; IL32; PFAS; GPR132; IL12RB1; SKP2; MOB3A; FMNL3	0.0727416014601146
