list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
35	Liver	121	1193	9714	617	10907	4.5967447604289e-11	TCIM; GADD45G; MT1X; ANGPTL4; ETNK2; ASS1; ; NNMT; NA; MVD; HSD17B7; SESN2; SYT12; NUPR1; HPN; GADD45B; CEBPB; GALR3; AKR1C1; PNPO; ABLIM3; ADM2; YIF1A; AGT; MFSD2A; DMGDH; GCAT; ZNF385B; IFITM10; MT2A; SRPRB; HP; MIA2; TMEM208; TM7SF2; ASL; HM13; MMAB; FDPS; MPC1; GMPPA; SDSL; MSMO1; CYP4F3; AKR1C2; ACSL1; FASN; DCXR; SEC61A1; RPS10P7; ALDH6A1; C3; PHYH; LINC01843; ODF3B; STARD10; MPST; NAGLU; SLC17A9; GPT2; TYMP; ARID3C; XKR8; OCEL1; FYB2; ARL4D; ANKRD24; APMAP; TCEA3; HMGCS1; HERPUD1; TMEM150A; XPNPEP3; RCL1; ANPEP; CERS4; RBCK1; SMPD1; SIL1; SERPINA1; DNAJC25; BLVRB; LARP1B; PAFAH2; INSIG1; SDS; CD302; DNAJC12; BCKDHA; PNKD; STEAP3; ABAT; NUDT12; RASD1; ISG15; PCK2; LACTB2-AS1; PPP1R3C; ONECUT1; TMEM141; AKR1C3; XBP1; MGST1; OAS1; DGAT2; FAM20C; COMTD1; C11orf24; DHCR24; SLC10A1; SMCO4; COLEC11; MST1; PUS3; ZNF281; ALG3; IL32; SLC31A1; MVK; VAMP8; LINC00482	2.43627472302731e-09
37	Minor_Salivary_Gland	126	1353	9554	617	10907	4.41213122524004e-09	TCIM; C5orf38; TFF3; HTR3A; SCNN1B; ASS1; ; NA; MGLL; S100A8; GJC3; HSD11B2; ARG2; SCNN1G; P2RX4; LINC00160; LINC01644; SLPI; TFCP2L1; ADM2; CPD; SLC35E1; CTSD; STX5; CCDC186; SPRR1B; TMEM61; SRPRB; ATP6V0A2; MIA2; RHCE; SPTSSA; UVSSA; TOM1; TMEM208; SLC39A7; SMARCD2; SESTD1; BBC3; HM13; PYGB; ARRDC1; PI3; HYPK; GMPPA; LINC01133; PRR15L; SEC61A1; MSLN; KRT7; ARHGEF37; ZFP36L1; RPS10P7; SYT8; TMEM78; SLC17A5; RNF145; ERV3-1; ANKRD49; ODF3B; STARD10; SUMF2; MISP3; TAS1R3; CD164L2; NAGLU; GPT2; ICA1; TYMP; LRRC26; SIDT1; WIPI1; ATP1A1; FBN3; PRSS8; SLC16A14; TCEA3; HMGCS1; HERPUD1; SPDEF; CCPG1; IVL; CERS4; CASZ1; GRB7; DNAJC25; PAFAH2; SELENOS; ZNF524; DNAJC1; ACBD3; CYP4X1; JTB; ASAP3; STEAP3; S100A14; MYO6; RASD1; TCP11L2; TMED3; CEACAM6; MAN1B1; TMPRSS11E; PDZK1IP1; XBP1; KCNK6; YIPF5; CLDN3; SPRR1A; ATP13A5; COMTD1; C11orf24; ATF6; MYBPH; SMCO4; ZBED6; URB1; F3; ATG101; AFDN; GANC; TLR5; ALG3; SLC31A1; VAMP8; LINC00482	1.16921477468861e-07
41	Pancreas	74	707	10200	617	10907	1.35183562705379e-07	MT1X; HTR3A; ; NA; GJC3; KRT86; NUPR1; HPN; GALR3; P2RX4; ADM2; GCAT; SHC3; SRPRB; ZNF843; MIA2; H2AC18; TM7SF2; TPRN; HM13; CHPF; PABPC4; PRR15L; SEC61A1; MYO3B; SIDT2; SYT8; ALKAL2; TMEM78; STARD10; GPT2; ICA1; XKR8; PRSS8; DPEP1; ALPP; TCEA3; HERPUD1; RWDD2A; TMEM150A; RCL1; ANPEP; CERS4; SIL1; SERPINA1; GRB7; LARP1B; PAFAH2; ZNF524; LINC01219; DNAJC1; DNAJC12; STEAP3; TMED3; MUCL3; ONECUT1; LINC01106; PDZK1IP1; XBP1; PEX6; VGF; PLXNA2; PWWP2B; CELA2B; CLDN3; ZNF432; COMTD1; MYBPH; SLC10A1; F3; PUS3; IL32; VAMP8; SLC2A14	2.38824294112836e-06
36	Lung	120	1400	9507	617	10907	1.13565898174034e-06	TCIM; C5orf38; SFTPB; C6orf223; TREM1; SFTPC; ; HOPX; NA; SFTA2; SFTPD; HSD17B7; PDGFB; GADD45B; CEBPB; FLRT3; ALOX15B; CD247; FSTL3; SCNN1G; TCN2; P2RX4; LINC01644; RP1; SUSD2; CPD; F2RL3; CTSD; TMEM104; MFSD2A; FAM177A1; ZNF385B; MYO10; CYP4B1; SPTSSA; UVSSA; REL; SLC39A7; CEP70; UPP1; MACROD2; BBC3; APOL2; HM13; FDPS; CCL20; VAMP5; CFLAR; ARRDC1; ECE1; DUSP1; HYPK; SARS1; MSMO1; PTGER1; CD7; DUOX1; SEC61A1; MSLN; KRT7; ALKAL2; ZNF467; SERTAD1; GPR153; NEDD9; GPX3; RNF145; ADGRE5; ABI3BP; ZFP36L2; ODF3B; SUMF2; CD164L2; NAGLU; PTPRM; TYMP; LYL1; FBN3; THEMIS2; EFNB2; ALPP; INPP5K; HERPUD1; HAVCR2; TMEM150A; DEPP1; FAM214B; SMPD1; BLVRB; SELENOS; DNAJC1; LINC01932; CD302; PNKD; MYO6; VIPR1; RGS16; FCHO2; SDCCAG8; CEACAM6; TMEM165; KLF6; CDC20B; ADGRD1; PLXNA2; C16orf89; RHBDF2; BCL2L1; ATF6; CREBRF; AFDN; GANC; HPCAL1; SLC7A7; IL32; SLC31A1; VAMP8; IL12RB1; PLK3; LINC00482	1.50474815080594e-05
48	Stomach	120	1466	9441	617	10907	1.1277121012932e-05	C5orf38; HTR3A; SCNN1B; ; NA; PGC; HPN; FLRT3; SCNN1G; AKR1C1; P2RX4; LINC01644; TFCP2L1; ADM2; RP1; YIF1A; CPD; SLC35E1; STX5; CCDC186; ZNF385B; MYO10; HMOX2; SRPRB; ATP6V0A2; MIA2; UVSSA; TMEM208; SLC39A7; NFKBIL1; SMARCD2; ASL; TPRN; SLC38A11; HM13; GATAD1; ARRDC1; PABPC4; HYPK; GMPPA; LINC01133; SARS1; PTGER1; AKR1C2; PRR15L; DUOX1; DCXR; SEC61A1; SIDT2; ARHGEF37; ZNF467; SERTAD1; CCNDBP1; S100P; ANKRD49; STARD10; MPST; SUMF2; MISP3; NAGLU; SLC17A9; GPT2; ICA1; XKR8; PRSS8; OCEL1; TCEA3; HMGCS1; HERPUD1; SPDEF; CCPG1; TMEM150A; CASZ1; KLHDC4; SIL1; GRB7; BLVRB; LARP1B; PAFAH2; SELENOS; ZNF524; INSIG1; DOK4; DNAJC1; GLUL; CYP4X1; AKR1B10; LINC01978; JTB; BCKDHA; PNKD; STEAP3; NUDT12; MYO6; TMED3; MUCL3; ATP6V0B; LINC01106; TMEM141; PDZK1IP1; AKR1C3; XBP1; MPV17L2; KCNK6; FAM20C; PWWP2B; C16orf89; RAB11FIP2; COMTD1; TIMM10B; SLC28A2; SMCO4; ATG101; AFDN; PUS3; ZBTB8OS; SURF1; ALG3; SLC31A1; VAMP8	0.000119537482737079
29	Esophagus_Mucosa	106	1399	9508	617	10907	0.000808117337622929	SCNN1B; ; HOPX; NA; MGLL; SFTA2; S100A8; MVD; STRA6; SESN2; TRERF1; GUCY2D; KRT6A; AHNAK2; ALOX15B; KRT16; ARG2; WFDC12; SCNN1G; AKR1C1; LINC00160; LINC01644; SLPI; TFCP2L1; ADM2; IL36G; TBC1D10A; SPRR1B; SRPRB; MIA2; S100A7; TOM1; UPP1; HM13; SP6; FDPS; CCL20; ARL4A; HILPDA; CASTOR1; LINC00964; ARRDC1; PI3; LINC01133; MSMO1; CYP4F3; AKR1C2; DUOX1; SYT8; S100P; RNF145; SFN; ERV3-1; MPST; TAS1R3; CD164L2; GPT2; TYMP; PRSS8; ARL4D; HMGCS1; PITPNM3; FAM214B; IVL; CERS4; GRB7; BLVRB; DOK4; TRIM29; ACBD3; CYP4X1; LINC01932; AKR1B10; LINC01978; BCKDHA; S100A14; MYO6; TCP11L2; FCHO2; TMED3; MUCL3; CEACAM6; PNLIPRP3; PPP1R3C; TMPRSS11E; KRT6C; TMEM141; PDZK1IP1; GPR1; MKNK2; KCNK6; OAS1; PLXNA2; PWWP2B; OVOL1; RHBDF2; SPRR1A; COMTD1; DHCR24; SQLE; AFDN; TLR5; LYPD3; MVK; VAMP8; PLK3	0.00696695778034437
42	Pituitary	89	1141	9766	617	10907	0.000920164235139823	DUSP8; DISP3; ; NA; OR7C1; STRA6; HSD17B7; ARG2; ZNF84; LINC00957; YIF1A; TMEM104; NT5M; SCN3A; USP36; ARMC12; TMEM61; SRPRB; ZNF843; RHCE; UVSSA; TMEM208; B4GALT7; KRTAP5-1; CRELD1; SLC39A7; APOL2; TRAPPC9; HM13; CHPF; ARRDC1; ARFGAP1; GMPPA; SIMC1; SEC61A1; MYO3B; TENM4; RPS10P7; RRP12; MED8; PICK1; GPR153; ATP6V0D1; NPRL2; EIF2AK4; TMEM8B; TAS1R3; SIDT1; TERF2IP; ZNF585A; FYB2; SEZ6L2; CHD5; GOLGA3; C2CD2L; IRGQ; PLD3; CPLANE2; URB1-AS1; RABAC1; TMEM120B; RBCK1; SIL1; IFI6; WDR25; JTB; DNAJC12; WFIKKN1; RASD1; RGS16; HSDL1; PRSS36; GOSR2; TMED3; LACTB2-AS1; ATP6V0B; PEX6; VGF; ZNF454; CFAP99; SVIP; TTC4; SAMD11; NLRP1; ZNF432; SMCO4; EXD3; ZBTB8OS; LINC01409	0.00696695778034437
34	Kidney_Cortex	99	1358	9549	617	10907	0.00411215848172592	TCIM; C5orf38; C6orf223; ETNK2; ASS1; ; NA; TBC1D16; STRA6; SESN2; HPN; FLRT3; HSD11B2; ARG2; SCNN1G; TCN2; PNPO; RASSF4; TFCP2L1; ADM2; CTSD; DMGDH; TMEM61; HMOX2; MIA2; TMEM208; MGST3; B4GALT7; UPP1; ASL; SLC38A11; MMAB; MPC1; ARRDC1; EFHD1; SCAMP3; SDSL; PTGER1; CYP4F3; DCXR; MYO3B; GAL3ST1; ALDH6A1; ZNF467; GPX3; PHYH; MPST; SUMF2; MISP3; NAGLU; ATP1A1; FBN3; DDIT3; PRSS8; OCEL1; FYB2; DPEP1; ARL4D; GLRX; HERPUD1; HAVCR2; TMEM150A; MICOS13; ANPEP; ZDHHC24; RAPGEF3; SMPD1; GRB7; PAFAH2; DOK4; JTB; PNKD; MYO6; MRPS5; RASD1; GOSR2; PCK2; ATP6V0B; LINC01023; TMEM141; PDZK1IP1; MPV17L2; FAM20C; SAMD11; BCL2L1; NDUFS8; COMTD1; TIMM10B; SMCO4; COLEC11; MST1; VPS28; EXD3; ZNF844; SLC7A7; SURF1; IL32; MVK; VAMP8	0.0272430499414342
45	Skin_Sun_Exposed_.Lower_leg.	93	1293	9614	617	10907	0.00785502155333108	C5orf38; MT1X; SCNN1B; ; HOPX; NA; OR7C1; TACC2; KRT86; AHNAK2; ALOX15B; KRT16; HSD11B2; WFDC12; DLGAP4; SCNN1G; TFCP2L1; IL36G; SUSD2; SLC35E1; MFSD2A; STX5; CCDC186; TBC1D10A; SPRR1B; ATP6V0A2; TOM1; REL; TM7SF2; SMARCD2; BBC3; ZNF526; SP6; ARL4A; CCDC9; DUSP1; SCAMP3; LINC01133; DUOX1; ARHGEF37; ZFP36L1; SYT8; MED8; OVGP1; SFN; ZFP36L2; MPST; FBXW7; CD164L2; SRP72; PRSS8; ARL4D; WFDC5; HMGCS1; IVL; CERS4; CASZ1; SMPD1; GRB7; ZNF524; LINC01219; DOK4; TRIM29; PRPF6; ASAP3; S100A14; TCP11L2; ZC3H6; TMED3; PNLIPRP3; DCST1; MAN1B1; PDZK1IP1; KLF6; GPR1; KCNK6; NOM1; DGAT2; OVOL1; RHBDF2; BORCS6; ATP13A5; C12orf66; DHCR24; SQLE; ATG101; AFDN; LYPD3; RAB40C; SLC31A1; MVK; VAMP8; PLK3	0.0462573491473942
53	Whole_Blood	58	779	10128	617	10907	0.0180130901568804	TREM1; ; OLAH; NA; S100A8; KRT86; GNLY; RIPOR2; CEBPB; CD247; CPD; CASP5; HP; RHCE; H2AC18; UPP1; HILPDA; PI3; CD7; CYP4F3; ACSL1; ZNF467; CCNDBP1; S100P; ATP6V0D1; ADGRE5; PADI4; TYMP; LYL1; XKR8; THEMIS2; APMAP; ALPP; ACAP1; HAVCR2; NLRP6; FAM214B; ANPEP; SERPINA1; LINC01932; MUCL3; ATP6V0B; PDZK1IP1; OAS1; DGAT2; ARID3A; RHBDF2; AP5B1; MYBPH; SLC10A1; TLR5; SLC7A7; IL32; SLC2A14; IL12RB1; PLK3; MOB3A; LINC00482	0.0954693778314662
