list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
29	Esophagus_Mucosa	161	1399	9508	592	10907	3.66683215098274e-22	KRT78; FANCI; HELLS; ; RAD54L; FOSL1; TICRR; AQP3; CDC45; SH3RF2; PCLAF; LGALS9C; E2F2; SMC4; TROAP; S100A3; CENPW; MIR205HG; CDCA3; PADI1; AURKB; TUFT1; ZWINT; TIMELESS; GEN1; RHOV; KIF18B; HJURP; POLQ; CHEK2; MCM5; MYBL2; FANCA; RHBDL2; IL22RA1; TGM5; IGFL1; TOP2A; SNRPF; EZH2; NECTIN4; ACOT11; DHRS9; ORC6; KRT3; OSBPL3; ATG9B; SGO1; RBBP8NL; TK1; NUF2; STK38; ADGRF1; MECOM; PTTG1; CENPM; EXPH5; XRCC2; NA; EPHA2; CLSPN; ELF3; ZNF726; RAD51AP1; RECQL4; CDCA5; ALDH3A1; EVPL; CDC6; LGALS9B; KIF14; EXO1; SPC25; KIF20B; ESPL1; KNL1; GALNT5; NEIL3; ABRACL; ANKRD22; GTSE1; IQGAP3; RMI2; ASF1B; CENPU; UBE2T; GINS2; PROM2; KIF2C; BIRC5; IL18; GRHL3; DEF6; WDR76; RTKN2; PLCB3; CENPE; NDC80; IL36RN; BARD1; MUC4; CDCA4; PLK4; MCM4; CENPF; PRC1; CNN2; KNTC1; TIAM1; SKA3; HSBP1L1; BRIP1; KIAA1217; TM4SF1; PLEK2; E2F7; TET3; CENPK; DIAPH3; ZYG11A; TNFSF15; CDCA7; CDCA8; ULK3; SH3BP1; ZBED2; ZNF860; WDHD1; ZNF367; HES1; NDUFA4L2; CDK1; ASPM; PDLIM2; LPIN3; CSTB; LGALS7B; SHMT1; MELK; DTL; TRAF4; TRNP1; MGST2; TEDC2; ARHGAP27; MANCR; CDC20; CDC25A; ZDHHC21; RPS6KA4; HDAC1; GINS3; CCNB1; KIF15; PTK7; CDC25C; CENPN; LINC01559; MIR924HG; TPRG1; SKP2	1.94342104002085e-20
22	Cells_EBV.transformed_lymphocytes	168	1579	9328	592	10907	1.5417437118521e-19	LGALS9; BLM; FANCI; HELLS; ; PASK; RAD54L; SLC12A8; TICRR; CDC45; E2F1; PCLAF; RAD54B; INPP5B; E2F2; SMC4; TROAP; CENPW; CDCA3; AURKB; ZWINT; TIMELESS; GEN1; KIF18B; HJURP; POLQ; CHEK2; MCM5; MYBL2; PHF19; DHFR; FANCA; HMGB2; TOP2A; VRK1; NASP; MCM7; SNRPF; EZH2; ORC6; OSBPL3; CHAF1B; SGO1; LIG1; TK1; BATF3; NUF2; GCSAM; RCBTB2; CENPO; PTTG1; CENPM; PTPN6; XRCC2; COTL1; NA; CLSPN; RAD51AP1; RECQL4; CDCA5; MCM3; LINC01547; SPAG5; DNMT3A; CDC6; KIF14; EXO1; SPC25; KIF20B; ESPL1; KNL1; BRCA1; NEIL3; FASTKD1; HSPB11; ABRACL; POLD1; SIPA1; GTSE1; RUFY4; IQGAP3; RMI2; MGME1; ASF1B; CENPU; NSD2; RFC4; UBE2T; GINS2; PTAFR; KIF2C; BIRC5; DEF6; WDR76; CENPE; HNRNPD; MCUB; NDC80; DUT; BARD1; SMC2; CDCA4; PLK4; ANP32A; NLRC5; MCM4; CENPF; PRC1; ZNF90; KNTC1; ERAP2; C1orf112; SKA3; BRIP1; ITGB2; E2F7; TET3; CENPK; APOBEC3C; DIAPH3; NRM; ZYG11A; RFC5; CDCA7; GNGT2; CDCA8; SASS6; EIF2AK2; HNRNPA2B1; SH3BP1; SGO2; SPDL1; GGA2; WDHD1; ZNF367; CDK1; ASPM; PIK3CD; ARHGDIB; MELK; DTL; MX1; AIM2; LCK; TRAF4; HAUS1; TEDC2; CEP128; KIF22; RFC3; CDC20; FAM111A; CDC25A; SLFN13; HDAC1; RABGGTB; WDR54; FNBP1; CCNB1; KIF15; CDC25C; TRIM25; SLFN12L; CENPN; PFAS; GPR132; SKP2; FMNL3	4.08562083640806e-18
47	Spleen	102	1247	9660	592	10907	1.06129875514748e-05	LGALS9; ; NOX5; SULT1A1; STING1; E2F2; NAA40; MMP9; TIMELESS; GEN1; MCM5; MYBL2; XRCC3; HMGB2; NASP; ZBTB40; OSBPL3; LIG1; PLAU; BATF3; TERT; PTPN6; COTL1; NA; SLC26A11; LINC01547; MYBL1; DNMT3A; NCOA5; ADAM28; EWSR1; ANXA2R; CMTM7; TSPAN32; FCRL2; ABRACL; POLD1; SIPA1; ARHGEF40; RUFY4; VSIR; MGME1; MOV10; CLK2; PTAFR; RBM17; DEF6; TM4SF18; MCUB; RGL4; SLFN11; ANP32A; NLRC5; SRSF2; CNN2; NOS3; ERAP2; ITGB2; FGD3; NCF4; APOBEC3C; NFATC2; GNGT2; SCN9A; C2CD2; SH3BP1; STAT4; GGA2; ZNF860; ANKRD10; EHBP1L1; PDLIM2; PIK3CD; ARHGDIB; AIM2; LCK; BACH2; KANK3; ZNF839; ZNF600; CEP128; ARHGAP27; MANCR; FAM111A; STIM2; SPNS3; SLFN13; UBA7; HDAC1; ARAP1; BTN2A1; ODF2L; SRSF6; CARD8; CD6; PLCB2; TRIM25; SLFN12L; IKBKB; GPR132; FCGRT; KCNMB3	0.000143608175913834
52	Vagina	103	1263	9644	592	10907	1.08383528991573e-05	KRT78; COL1A1; ; TICRR; AQP3; PLEKHG3; SH3RF2; STING1; B3GALT5; E2F2; TROAP; CENPW; MIR205HG; PADI1; NPR2; TUFT1; GEN1; RHOV; CHEK2; PHF19; RHBDL2; XRCC3; TGM5; IGFL1; NECTIN4; PTPRS; KRT3; OSBPL3; ATG9B; LIG1; RBBP8NL; ADGRF1; CACNB3; NA; ANKDD1B; EPHA2; ELF3; ZNF726; EVPL; C11orf95; LGALS9B; ANXA2R; ESPL1; GALNT5; ANKRD22; IQGAP3; NINL; TRIT1; ZNF300; MOV10; NR2F1; PROM2; PCSK5; IL18; GRHL3; DEF6; PLCB3; COL24A1; MCUB; NDC80; BARD1; MUC4; CDCA4; RUSC1; NXNL2; NRM; CDCA7; INVS; SH3BP1; ZBED2; ZNF860; HES1; NDUFA4L2; PDLIM2; LPIN3; TRIP6; CSTB; LINC02614; SETD4; ZNF600; MGST2; ARHGAP27; MANCR; ZDHHC21; LMNA; HDAC1; STARD9; GINS3; SH3PXD2A; DDAH2; PTK7; PRDM8; HNRNPA3; WDR27; C1QL4; TULP1; PYROXD2; IKBKB; PLAT; MIR924HG; PRICKLE2; TPRG1; LAMA3	0.000143608175913834
46	Small_Intestine_Terminal_Ileum	98	1345	9562	592	10907	0.00119238814740939	LGALS9; ; ERN2; SULT1A1; LTK; LGALS9C; B3GALT5; NAA40; CDCA3; TIMELESS; GEN1; MCM5; IL22RA1; XRCC3; MCM7; ACOT11; ZBTB40; ARHGEF38; OSBPL3; ACY3; LIG1; RBBP8NL; STK38; ADGRF1; TERT; PIK3C2B; ZNF789; PTPN6; NA; PRELID2; ELF3; ADAM28; EWSR1; ANXA2R; FCRL2; FASTKD1; ABRACL; MTMR11; POLD1; SIPA1; IQGAP3; MOV10; CLK2; ENTPD8; PCSK5; RBM17; CALML4; DEF6; PLCB3; HNRNPD; LINC01224; PRXL2B; NLRC5; SH2B1; SRSF2; PLEKHS1; AOC1; KNTC1; ERAP2; ABCC3; PLEK2; LINC01443; NFATC2; TNFSF15; CDCA7; ULK3; SH3BP1; GGA2; ZNF860; TSPAN1; LPIN3; FGFR4; HOXB3; AIM2; LCK; TRAF4; BACH2; SETD4; ZNF600; MGST2; ARHGAP27; FAM111A; STIM2; SPNS3; UBA7; HDAC1; BTN2A1; ODF2L; SRSF6; CARD8; CD6; PLCB2; SLFN12L; IKBKB; GPR132; CCDC14; FCGRT; CCDC68	0.0126393143625395
31	Fallopian_Tube	93	1292	9615	592	10907	0.0023390701819352	; RNF207; GPR161; PLEKHG3; STING1; CFI; DNAH2; WDR90; LINC02679; NPR2; PLEKHG2; PHF19; CCDC189; NR4A3; NASP; SRF; TRIM45; PTPRS; FAM20A; ZBTB40; PODXL; DTX3; NA; ANKDD1B; ZNF43; ID3; C20orf96; NCOA5; C11orf95; ZNF618; PLXNB1; MOK; CCDC148; DNAAF3; MOV10; CLK2; NR2F1; RBM17; PLCB3; HNRNPD; SLFN11; MFSD10; HYI; TPCN2; WFDC2; TRANK1; NXNL2; SFPQ; KIAA0895L; APOBEC3C; NRM; SNTN; KIAA0753; REC8; HNRNPA2B1; MICAL3; PLEKHH2; MDH1B; TRIP6; HNRNPA1L2; HOXB3; NR2C1; CCDC74A; LINC02021; KCNC3; LINC02614; CEP128; DLEC1; SLFN13; LMNA; CCN1; METTL7A; PRIMPOL; ODF2L; WDR54; ZNF511; SRSF6; PLXND1; STK36; MTA1; SH3PXD2A; DDAH2; PTK7; HNRNPA3; WDR27; CLDN1; TULP1; PROCR; PLAT; PRICKLE2; PFAS; FCGRT; LAMA3	0.0206617866070942
36	Lung	99	1400	9507	592	10907	0.0029124353630246	LGALS9; ; SPOCD1; SULT1A1; LTK; STING1; SFTA3; DNAH2; LINC02679; ADGRF5; PLEKHG2; CDC25B; FAM20A; ARHGEF38; BATF3; MECOM; PIK3C2B; PODXL; PKN3; PTPN6; NA; ANKDD1B; FOXA2; ELF3; SLC26A11; KIFC3; ARHGEF26; ANXA2R; CMTM7; GALNT5; TSPAN32; POLD1; SIPA1; MIR4435-2HG; NOD1; MOV10; NR2F1; PTAFR; RBM17; RTKN2; SLFN11; MFSD10; VEGFC; GRK5; NLRC5; HLA-G; SFTA1P; CNN2; ERAP2; ITGB2; TM4SF1; SLC12A4; NRM; SNTN; TNFSF15; GNGT2; NOSTRIN; STAT4; GGA2; SFTPA1; PLEKHH2; PDLIM2; FGFR4; VEPH1; BACH2; KANK3; DLEC1; ARHGAP27; FAM111A; SMURF2; STIM2; DGKH; SLFN13; UBA7; CCN1; CAV1; RABGGTB; ARAP1; BTN2A1; ODF2L; SMAD6; FCGR2A; PLXND1; CARD8; LINC02577; PTK7; CD6; HNRNPA3; SFTPA2; PLCB2; TRIM25; DAPK1; SLFN12L; IKBKB; PLAT; FCGRT; LAMA3; CCDC68; FMNL3	0.0220512963200434
53	Whole_Blood	57	779	10128	592	10907	0.0121248383207609	LGALS9; ; AQP2; LRRC4; LGALS9C; E2F2; MMP9; MYBL2; HMGB2; DHRS9; KRT3; PTPN6; COTL1; NA; MYBL1; LGALS9B; ANXA2R; CMTM7; TSPAN32; FCRL2; ANKRD22; SIPA1; RUFY4; VSIR; ASF1B; PTAFR; DEF6; RGL4; NLRC5; KCNAB2; HLA-G; CNN2; ITGB2; FGD3; NCF4; SNTN; GNGT2; SH3BP1; STAT4; PIK3CD; ARHGDIB; GNAT2; AIM2; LCK; LINC00664; ARHGAP27; SPNS3; ARAP1; FCGR2A; CARD8; CD6; PLCB2; TRIM25; FCAMR; SLFN12L; GPR132; FCGRT	0.0803270538750407
40	Ovary	89	1420	9487	592	10907	0.077552914264423	; CFI; ARHGAP33; INPP5B; DNAH2; WDR90; CHEK2; MCM5; PHF19; NR4A3; PRTFDC1; C4BPB; RCCD1; FIGN; NASP; TRIM45; RCBTB2; CACNB3; DTX3; NA; ZNF43; ME3; SLC26A11; C20orf96; DNMT3A; NCOA5; C11orf95; ZNF618; MTMR11; LINC00205; NINL; NOD1; ZNF300; MOV10; CLK2; NR2F1; SSBP3; CHTF18; PCSK5; HNRNPD; SLFN11; MFSD10; HYI; BDH2; SH2B1; ZNF69; CNN2; ZNF90; NXNL2; SFPQ; KIAA0895L; RFC5; INVS; HNRNPA2B1; POGZ; GGA2; PLEKHH2; TAS2R19; HNRNPA1L2; FGFR4; HAUS1; BACH2; CCDC74A; ZNF839; LINC00664; LINC02021; LINC02614; STIM2; UBA7; HDAC1; PRIMPOL; ZNF511; SRSF6; HNRNPM; NICN1; STK36; MTA1; PTK7; HNRNPA3; WDR27; DAPK1; TULP1; KPNA5; PYROXD2; GAS8; PFAS; CCDC14; FCGRT; CCDC68	0.456700495112713
51	Uterus	95	1533	9374	592	10907	0.0864836708977511	; GPR161; PLEKHG3; WDR90; CENPW; NPR2; PLEKHG2; PHF19; CDC25B; XRCC3; NASP; SRF; TRIM45; FAM20A; ZBTB40; PODXL; PKN3; CACNB3; DTX3; LGALS1; WEE1; NA; ME3; MCM3; C20orf96; DNMT3A; NCOA5; C11orf95; EWSR1; ZNF618; TRIT1; ZNF300; RFC4; MOV10; CLK2; NR2F1; SSBP3; RBM17; HNRNPD; MCUB; MFSD10; HYI; DUT; TPCN2; SH2B1; SRSF2; ARMC9; TRANK1; NXNL2; SFPQ; SLC12A4; NRM; ZC3H4; RFC5; KIAA0753; INVS; HNRNPA2B1; NOSTRIN; POGZ; MICAL3; ANKRD10; DST; PLEKHH2; TAS2R19; TRIP6; HNRNPA1L2; BACH2; LINC02021; LINC02614; SETD4; CEP128; DGKH; LMNA; UBA7; STARD9; PRIMPOL; BTN2A1; ZNF511; SRSF6; HNRNPM; NICN1; STK36; MTA1; SH3PXD2A; CEP162; DDAH2; PTK7; HNRNPA3; WDR27; TULP1; KPNA5; IKBKB; PRICKLE2; CCDC14; LAMA3	0.458363455758081
50	Thyroid	90	1455	9452	592	10907	0.0968473982074757	; SLC12A8; SFTA3; WDR90; SPTLC3; NAA40; CCDC189; IFT80; TRIM45; ACOT11; OSBPL3; ACYP1; LIG1; RBBP8NL; ADGRF1; RCBTB2; PODXL; NA; ZNF43; NDUFAF6; SLC26A11; KIFC3; ID3; C20orf96; ZDHHC23; ZNF618; BRCA1; PLXNB1; HSPB11; POLD1; MIR4435-2HG; NINL; TRIT1; MOK; CCDC148; NOD1; ZNF300; CLK2; RBM17; TM4SF18; SLFN11; MFSD10; DUT; VEGFC; WFDC2; BDH2; SH2B1; SRSF2; ZNF90; CENPJ; KIAA1217; PLEK2; LINC01443; SLC12A4; ZYG11A; SORD; KIAA0753; ZBED2; POGZ; GGA2; HES1; MDH1B; LPIN3; TRIP6; TRAF4; NR2C1; LINC02021; KCNC3; SETD4; CEP128; KIF22; FAM111A; CYTH2; UBA7; HDAC1; METTL7A; ODF2L; SMAD6; GPRC5C; SRSF6; NICN1; STK36; MTA1; CEP162; HNRNPA3; WDR27; LRP8; GAS8; IKBKB; NPHP4	0.466628373181474
24	Cervix_Ectocervix	76	1245	9662	592	10907	0.146384994393242	KRT78; COL1A1; ; CENPW; MIR205HG; NPR2; TUFT1; PHF19; XRCC3; NASP; NECTIN4; PTPRS; FAM20A; ATG9B; ADGRF1; CACNB3; LGALS1; NA; EPHA2; ELF3; ZNF43; MCM3; EVPL; C11orf95; ZNF618; ESPL1; ARHGEF40; NINL; ZNF300; NR2F1; SSBP3; PROM2; CHTF18; IL18; GRHL3; PLCB3; COL24A1; HNRNPD; MCUB; HYI; TPCN2; BDH2; TRANK1; NXNL2; NRM; RFC5; CDCA7; INVS; SH3BP1; NOSTRIN; ZNF860; DST; PLEKHH2; TRIP6; CSTB; HNRNPA1L2; LINC02614; SETD4; MANCR; HDAC1; STARD9; PRIMPOL; RAB31; PLXND1; HNRNPM; SH3PXD2A; DDAH2; PTK7; PRDM8; HNRNPA3; WDR27; TULP1; PRICKLE2; TPRG1; FCGRT; LAMA3	0.646533725236819
