list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
2	Alveolar cells type 2	177	1382	9290	1181	10672	0.0163697285531439	TCIM; GADD45G; SFTPB; SFTPC; HOPX; NNMT; MGLL; SFTA2; S100A8; SFTPD; TACC2; AQP3; NUPR1; RBPMS; SULT1A1; PGC; GNLY; GADD45B; CEBPB; FLRT3; ALOX15B; SFTA3; SMC4; SLPI; YIF1A; SUSD2; ADGRF5; CTSD; MFSD2A; FAM177A1; CCDC186; ZNF385B; CYP4B1; MT2A; HP; SELENOM; SPTSSA; SAT1; REL; HMGB2; MGST3; CEP70; UPP1; ASL; NASP; MACROD2; SNRPF; FAM20A; HM13; MMAB; GATAD1; FDPS; CCL20; RSL1D1; CFLAR; DUSP1; MECOM; MSMO1; HMGN3; ACSL1; DUOX1; LGALS1; TMEM245; FASN; DCXR; MSLN; FOXA2; ELF3; KRT7; ID3; ZFP36L1; RASGRF1; C3; EWSR1; SERTAD1; CCNDBP1; S100P; NEDD9; GPX3; RNF145; ADGRE5; SFN; ZFP36L2; ODF3B; STARD10; MPST; SRP72; NRGN; TERF2IP; ATP1A1; DDIT3; PRSS8; RBM17; ID2; HNRNPD; HYI; TCEA3; HMGCS1; HERPUD1; WFDC2; BDH2; ANP32A; CCPG1; C9orf78; CST3; CYSLTR1; PLD3; SRSF2; CNN2; RABAC1; RHOB; SFPQ; TM4SF1; TTN; SERPINA1; IFI6; BLVRB; SELENOS; INSIG1; HNRNPA2B1; GLUL; PRPF6; MAOA; JTB; CD302; PNKD; S100A14; MYO6; ANKRD10; SSR4; MRPS5; HES1; SFTPA1; RGS16; SDCCAG8; CEACAM6; ATP6V0B; CSTB; ARHGDIB; FN1; TMEM141; VEPH1; XBP1; KLF6; MKNK2; MGST1; SLU7; SVIP; MAP1LC3B; KIF22; C16orf89; LMNA; NFE2L1; CAV1; METTL7A; ODF2L; NDUFS8; SRSF6; FCGR2A; HNRNPM; ATF6; DHCR24; GUK1; SQLE; HNRNPA3; SFTPA2; F3; AFDN; DAPK1; VPS28; KPNA5; HPCAL1; ZBTB8OS; IL32; CCDC14; VAMP8; FCGRT	0.834856156210336
25	Hepatocytes	167	1347	9325	1181	10672	0.0540974565782875	GADD45G; MT1X; ANGPTL4; ETNK2; ASS1; NNMT; MGLL; AQP3; NUPR1; SULT1A1; HPN; GADD45B; CEBPB; YAF2; FKBP5; CFI; AKR1C1; ELOVL5; ABLIM3; SLPI; NUDT16; YIF1A; AGT; CPD; CTSD; MFSD2A; DMGDH; FAM177A1; MT2A; HMOX2; SRPRB; C4BPB; HP; SPTSSA; SAT1; TMEM208; MGST3; TM7SF2; SMARCD2; ASL; SNRPF; HM13; MMAB; FDPS; RSL1D1; VAMP5; MPC1; CFLAR; HMGB3; PABPC4; DUSP1; EFHD1; SDSL; MSMO1; HMGN3; CYP4F3; AKR1C2; ACSL1; LGALS1; TMEM245; WEE1; FASN; DCXR; SEC61A1; ZFP36L1; ALDH6A1; EBP; C3; GPX3; PHYH; ABRACL; ZFP36L2; STARD10; MPST; SUMF2; GPT2; SRP72; TYMP; SSBP3; OCEL1; ID2; GLRX; LMO4; APMAP; HNRNPD; TCEA3; HMGCS1; DUT; HERPUD1; ANP32A; CCPG1; C9orf78; CST3; SRSF2; RCL1; ANPEP; RABAC1; ABCC3; RHOB; HSBP1L1; SFPQ; RBCK1; SMPD1; SIL1; SERPINA1; SORD; DNAJC25; BLVRB; LARP1B; INSIG1; DNAJC1; HNRNPA2B1; GLUL; MAOA; ACACB; SDS; JTB; CD302; DNAJC12; PNKD; STEAP3; ABAT; TTC39C; SSR4; DST; MRPS5; HES1; PCK2; ATP6V0B; CSTB; FN1; SHMT1; TMEM141; XBP1; KLF6; MGST1; MGST2; SVIP; DGAT2; KIF22; FAM20C; VAMP2; LMNA; NFE2L1; METTL7A; RABGGTB; NDUFS8; COMTD1; C11orf24; GPRC5C; SRSF6; HNRNPM; SH3PXD2A; DHCR24; SLC10A1; GUK1; SMCO4; HNRNPA3; MST1; VPS28; CLDN1; ZBTB8OS; SURF1; IL32; SLC31A1; VAMP8; FCGRT	0.999999983716415
10	Club cells	161	1432	9240	1181	10672	0.423849990886392	TCIM; SFTPB; TFF3; MT1X; SFTPC; SCNN1B; ASS1; HOPX; SFTA2; S100A8; SFTPD; TACC2; CRIP2; AQP3; NUPR1; GADD45B; FLRT3; SFTA3; AKR1C1; SLPI; RP1; ADGRF5; CTSD; FAM177A1; CCDC186; CYP4B1; MT2A; ANKRD36C; SELENOM; SPTSSA; SAT1; REL; HMGB2; MGST3; NASP; MACROD2; SNRPF; FDPS; CCL20; ARL4A; HILPDA; RSL1D1; MPC1; CFLAR; HMGB3; PABPC4; DUSP1; STK38; MECOM; MSMO1; EXPH5; HMGN3; LGALS1; WEE1; MSLN; ELF3; KRT7; ZFP36L1; ALDH3A1; ADAM28; C3; EWSR1; CCNDBP1; S100P; NEDD9; PER2; LPIN1; ADD3; RNF145; ABI3BP; SFN; HSPB11; ZFP36L2; ODF3B; SRP72; TERF2IP; ATP1A1; PRSS8; STMN1; RBM17; ID2; LMO4; HNRNPD; EIF1AY; TCEA3; DUT; HERPUD1; MUC4; WFDC2; ANP32A; CCPG1; C9orf78; CST3; CYSLTR1; SRSF2; RABAC1; SFPQ; KIAA1217; TM4SF1; SERPINA1; SNTN; BLVRB; LARP1B; SELENOS; EIF2AK2; HNRNPA2B1; GLUL; PRPF6; PALLD; MAOA; JTB; PNKD; S100A14; MYO6; TSPAN1; ANKRD10; SSR4; DST; MRPS5; HES1; SFTPA1; CEACAM6; ATP6V0B; CSTB; ARHGDIB; LGALS7B; TMEM141; AKR1C3; XBP1; KLF6; MGST1; SLU7; MGST2; SVIP; MAP1LC3B; C16orf89; LMNA; HDAC1; CAV1; METTL7A; CLDN3; RAB31; ODF2L; NDUFS8; SRSF6; HNRNPM; ATF6; DHCR24; ARL2; GUK1; SQLE; HNRNPA3; SFTPA2; F3; AFDN; VPS28; CLDN1; KPNA5; VAMP8; FCGRT; WDR60	0.999999983716415
19	Erythroid cells	266	2417	8255	1181	10672	0.555807135092272	MT1X; FANCI; NNMT; HELLS; MGLL; S100A8; AQP3; CDC45; GNLY; YAF2; ARG2; FKBP5; AKR1C1; SMC4; CLGN; SLPI; NUDT16; AGT; CENPW; CDCA3; AURKB; CTSD; ZWINT; NT5M; DNAJB2; GEN1; HJURP; CHEK2; MCM5; FOXO3; MYBL2; FAM177A1; STX5; CCDC189; DHFR; FANCA; CDC25B; MT2A; ANKRD36C; RCCD1; HP; RHCE; SAT1; REL; HMGB2; TOP2A; TMEM208; MGST3; VRK1; ARHGEF39; SLC39A7; NASP; MCM7; SRF; CCDC88A; SNRPF; TPRN; EZH2; HM13; FDPS; ARL4A; MPC1; CFLAR; ACYP1; HMGB3; ARFGAP1; ECE1; PABPC4; DUSP1; TK1; NUF2; NFKBIB; SDSL; PPM1K; ZNF789; RRP8; PTTG1; WDR24; CENPM; PTPN6; CYP4F3; LGALS1; TMEM245; WEE1; FASN; DCXR; SEC61A1; DNHD1; ZNF43; DDX19A; RAD51AP1; MCM3; ZFP36L1; MYBL1; SPAG5; EBP; SLC25A12; MED8; C3; RAB6B; EWSR1; CDC6; CCNDBP1; KIF20B; ATP6V0D1; CMTM7; GALNT5; RNF145; ADGRE5; FASTKD1; ERV3-1; ZFP36L2; ANKRD49; SIPA1; NPRL2; MPST; GTSE1; SUMF2; RMI2; ASF1B; CENPU; SRP72; TERF2IP; WIPI1; RFC4; LYL1; UBE2T; GINS2; ATP1A1; PRSS8; SSBP3; STMN1; KIF2C; RBM17; BIRC5; FBXO32; ID2; GLRX; LMO4; APMAP; CENPE; HNRNPD; NDC80; EIF1AY; HYI; DUT; HERPUD1; BARD1; GOLGA3; TPCN2; CDCA4; PLK4; ANP32A; CCPG1; C9orf78; CST3; LANCL2; MCM4; SRSF2; CENPF; PRC1; ZNF90; KNTC1; RABAC1; ROGDI; PGM2L1; RHOB; HSBP1L1; SFPQ; UBIAD1; TM4SF1; KLHDC4; FAM122B; INAFM1; TET3; CENPK; FAM3A; SERPINA1; APOBEC3C; DIAPH3; WDR62; ZC3H4; RFC5; BLVRB; CDKN3; LARP1B; DNAJC1; HNRNPA2B1; GLUL; PRPF6; AKR1B10; SDS; JTB; SPDL1; MICAL3; SSR4; DST; RGS16; CDK1; ASPM; GOSR2; EHBP1L1; CLIC2; PDLIM2; TMCC2; ATP6V0B; CSTB; ARHGDIB; KIF4A; SYNC; NKAP; DTL; PDZK1IP1; TMEM165; XBP1; KLF6; ZNF839; MKNK2; MGST1; KCNK6; OAS1; SLU7; MGST2; YIPF5; SVIP; MAP1LC3B; SNX22; KIF22; CDC20; VAMP2; ARID3A; LMNA; CAV1; METTL7A; CLDN3; BCL2L1; CARD8; HNRNPM; CCNB1; NICN1; KIF15; MTA1; DHCR24; ARL2; CEP162; GUK1; SQLE; SAFB2; HNRNPA3; DKC1; UBLCP1; AMMECR1; CREBRF; MST1; VPS28; PUS3; ZNF281; LRRC23; HPCAL1; ZBTB8OS; CENPN; SURF1; ALG3; IL32; CCDC14; FCGRT	0.999999983716415
1	Alveolar cells type 1	161	1469	9203	1181	10672	0.570139800522429	TCIM; AQP5; SFTPB; MT1X; SFTPC; SCNN1B; HOPX; MGLL; SFTA2; S100A8; SFTPD; TACC2; CRIP2; NUPR1; RBPMS; SULT1A1; GADD45B; FLRT3; SFTA3; AKR1C1; ELOVL5; SMC4; SLPI; RNMT; SUSD2; ADGRF5; CTSD; FAM177A1; CCDC186; CYP4B1; MT2A; SELENOM; SPTSSA; SAT1; REL; MGST3; NASP; SESTD1; FDPS; RSL1D1; MPC1; CFLAR; DUSP1; MECOM; EXPH5; HMGN3; DUOX1; LGALS1; TMEM245; MSLN; EPHA2; FOXA2; ELF3; KRT7; ID3; ZFP36L1; ARHGEF26; CRYAB; C3; EWSR1; SERTAD1; NEDD9; GALNT5; RNF145; ABI3BP; SFN; SUMF2; SRP72; ATP1A1; COL8A1; PRSS8; PMEPA1; RBM17; IL18; ID2; RTKN2; HNRNPD; TCEA3; HMGCS1; DUT; HERPUD1; GRK5; WFDC2; ANP32A; CCPG1; C9orf78; CST3; CYSLTR1; SRSF2; CNN2; RABAC1; HSBP1L1; SFPQ; TM4SF1; DIAPH3; PHLDB2; IFI6; BLVRB; SELENOS; EIF2AK2; HNRNPA2B1; ACBD3; GLUL; PRPF6; MAOA; JTB; POGZ; PNKD; S100A14; MYO6; SSR4; DST; MRPS5; SFTPA1; RGS16; FCHO2; CLIC2; PDLIM2; CEACAM6; ATP6V0B; CSTB; ARHGDIB; FN1; TMEM141; VEPH1; PDZK1IP1; TMEM165; XBP1; KLF6; MGST1; SLU7; SVIP; MAP1LC3B; KIF3A; FAM111A; LMNA; NFE2L1; RAB11FIP2; CAV1; METTL7A; RAB31; ODF2L; NDUFS8; SRSF6; HNRNPM; ATF6; DHCR24; GUK1; SQLE; HNRNPA3; SFTPA2; F3; AFDN; VPS28; ZNF281; KPNA5; HPCAL1; IL32; VAMP8; FCGRT; LAMA3	0.999999983716415
8	Cholangiocytes	154	1431	9241	1181	10672	0.66750759989666	GADD45G; TFF3; MT1X; ASS1; NNMT; MGLL; SFTA2; S100A8; CRIP2; AQP3; NUPR1; RBPMS; PGC; GADD45B; CEBPB; VSTM2L; FKBP5; CFI; AKR1C1; SLPI; YIF1A; AGT; CPD; CTSD; FOXO3; FAM177A1; MT2A; HP; SPTSSA; SAT1; TMEM208; MGST3; TM7SF2; ASL; SNRPF; HM13; MMAB; FDPS; RSL1D1; VAMP5; MPC1; CFLAR; TOB2; PABPC4; DUSP1; HMGN3; CYP4F3; AKR1C2; PRR15L; LGALS1; TMEM245; WEE1; DCXR; MSLN; ELF3; KRT7; ZFP36L1; EBP; SYT8; CRYAB; C3; EWSR1; NEDD9; PHYH; ATP6V0D1; RNF145; ZFP36L2; ARHGEF40; STARD10; MPST; SUMF2; TERF2IP; ATP1A1; PRSS8; PMEPA1; RBM17; ID2; GLRX; LMO4; HNRNPD; HYI; TCEA3; HMGCS1; DUT; HERPUD1; WFDC2; C9orf78; CST3; SRSF2; ZNF90; ANPEP; RABAC1; ABCC3; RHOB; SFPQ; RBCK1; TM4SF1; SERPINA1; IFI6; BLVRB; DNAJC1; HNRNPA2B1; GLUL; AKR1B10; MAOA; JTB; PNKD; S100A14; TTC39C; SSR4; DST; MRPS5; HES1; CEACAM6; ATP6V0B; CSTB; FGFR4; TMEM141; PDZK1IP1; TMEM165; XBP1; KLF6; MGST1; MGST2; CHST4; SVIP; MAP1LC3B; KIF22; VAMP2; CYTH2; LMNA; NFE2L1; HDAC1; CAV1; METTL7A; METRN; RABGGTB; CLDN3; BCL2L1; NDUFS8; GPRC5C; HNRNPM; DHCR24; ARL2; GUK1; SMCO4; HNRNPA3; VPS28; CLDN1; SLC7A7; SURF1; IL32; VAMP8; FCGRT	0.999999983716415
36	Mucus-secreting cells	150	1404	9268	1181	10672	0.701843737050181	LGALS9; TFF3; MT1X; ASS1; MGLL; ERN2; BCAS1; AQP3; NUPR1; GADD45B; CEBPB; HSD11B2; P2RX4; SLPI; NUDT16; YIF1A; CPD; CTSD; FAM177A1; CCDC186; MT2A; SPTSSA; SAT1; HMGB2; TMEM208; MGST3; SLC39A7; ASL; SNRPF; HM13; FDPS; CCL20; ARL4A; RSL1D1; MPC1; CFLAR; TOB2; PABPC4; DUSP1; HMGN3; PRR15L; COTL1; DCXR; SEC61A1; FOXA2; ELF3; ID3; ZFP36L1; EBP; EWSR1; SERTAD1; S100P; NEDD9; ATP6V0D1; GALNT5; SFN; ABRACL; MTMR11; ZFP36L2; STARD10; MPST; SUMF2; SRP72; ICA1; LRRC26; WIPI1; ATP1A1; PRSS8; SSBP3; ENTPD8; STMN1; RBM17; ID2; GLRX; LMO4; HNRNPD; HYI; TCEA3; DUT; HERPUD1; SPDEF; MUC4; WFDC2; ANP32A; CST3; SRSF2; AOC1; RABAC1; ABCC3; RHOB; HSBP1L1; SFPQ; RBCK1; SERPINA1; BLVRB; LARP1B; DNAJC1; HNRNPA2B1; GLUL; MAOA; JTB; PNKD; S100A14; MYO6; TSPAN1; SSR4; DST; MRPS5; RASD1; HES1; ISG15; TMED3; CEACAM6; ATP6V0B; CSTB; ZG16; TMEM141; TRAF4; PDZK1IP1; XBP1; KLF6; MKNK2; MGST1; KCNK6; OAS1; MGST2; SVIP; MAP1LC3B; VAMP2; LMNA; HDAC1; METTL7A; CLDN3; PRIMPOL; NDUFS8; COMTD1; ZNF511; SRSF6; HNRNPM; SH3PXD2A; ARL2; GUK1; SMCO4; HNRNPA3; VPS28; HPCAL1; IL32; CCDC14; VAMP8; FCGRT	0.999999983716415
18	Enterocytes	147	1389	9283	1181	10672	0.744196197753429	LGALS9; TFF3; MT1X; ASS1; MGLL; MVD; BCAS1; SULT1A1; GADD45B; CEBPB; HSD11B2; TCN2; P2RX4; B3GALT5; SLPI; TFCP2L1; YIF1A; CTSD; MFSD2A; FAM177A1; CCDC186; MT2A; HMOX2; SPTSSA; SAT1; TMEM208; MGST3; ASL; SNRPF; TPRN; ACOT11; PYGB; FDPS; CCL20; ARL4A; MPC1; CFLAR; ARRDC1; TOB2; PI3; PABPC4; RBBP8NL; DUSP1; MSMO1; PRR15L; DCXR; SEC61A1; PRELID2; ELF3; ID3; ZFP36L1; EBP; EWSR1; SERTAD1; S100P; NEDD9; PHYH; ATP6V0D1; ADD3; SFN; ABRACL; MTMR11; ZFP36L2; STARD10; MPST; ABHD12; TYMP; ATP1A1; DDIT3; PRSS8; ENTPD8; PCSK5; RBM17; OCEL1; IL18; ID2; EFNB2; GLRX; HYI; TCEA3; HMGCS1; HERPUD1; WFDC2; CST3; SRSF2; ANPEP; AOC1; RABAC1; ABCC3; RHOB; HSBP1L1; SFPQ; RBCK1; FAM3A; BLVRB; ZNF524; DOK4; HNRNPA2B1; AKR1B10; MAOA; JTB; PNKD; S100A14; MYO6; TSPAN1; SSR4; DST; MRPS5; HES1; ISG15; PDLIM2; PCK2; ATP6V0B; CSTB; ZG16; TMEM141; TRAF4; AKR1C3; XBP1; KLF6; MKNK2; MGST1; MGST2; SVIP; MAP1LC3B; VAMP2; LMNA; NFE2L1; HDAC1; METTL7A; CLDN3; NDUFS8; COMTD1; HNRNPM; DHCR24; ARL2; GUK1; DDAH2; SMCO4; HNRNPA3; VPS28; ZBTB8OS; SURF1; IL32; VAMP8; FCGRT; PLK3	0.999999983716415
51	Urothelial cells	152	1447	9225	1181	10672	0.78066668825753	MT1X; ANGPTL4; ASS1; TACC2; FOSL1; CRIP2; AQP3; NUPR1; RBPMS; GADD45B; CEBPB; KRT6A; KRT16; ARG2; AKR1C1; SLPI; YIF1A; CTSD; RHOV; FOXO3; FAM177A1; CCDC186; SPRR1B; CYP4B1; MT2A; ANKRD36C; SPTSSA; SAT1; REL; TMEM208; MGST3; NASP; SNRPF; DHRS9; FDPS; CCL20; RSL1D1; CFLAR; TOB2; PABPC4; DUSP1; PLAU; ADGRF1; MSMO1; HMGN3; AKR1C2; COTL1; DCXR; EPHA2; ELF3; KRT7; ID3; ZFP36L1; CRYAB; EWSR1; SERTAD1; CCNDBP1; S100P; GALNT5; ADD3; RNF145; SFN; HSPB11; ABRACL; ZFP36L2; STARD10; MPST; SRP72; TERF2IP; ATP1A1; PRSS8; PMEPA1; RBM17; ARL4D; EFNB2; GLRX; GRHL3; RTKN2; HNRNPD; MFSD10; DUT; HERPUD1; MUC4; WFDC2; CST3; SRSF2; CNN2; RABAC1; ABCC3; TIAM1; HSBP1L1; SFPQ; RBCK1; TM4SF1; PHLDB2; SORD; BLVRB; INSIG1; TRIM29; HNRNPA2B1; ACBD3; GLUL; PALLD; MAOA; JTB; PNKD; S100A14; MYO6; TSPAN1; SSR4; DST; HES1; TMED3; CEACAM6; TRIP6; ATP6V0B; CSTB; ARHGDIB; TMEM141; TRAF4; TMEM165; XBP1; KLF6; MKNK2; MGST1; KCNK6; OAS1; MGST2; MAP1LC3B; VAMP2; DGKH; CYTH2; OVOL1; LMNA; CAV1; CLDN3; BCL2L1; NDUFS8; HNRNPM; GUK1; SQLE; HNRNPA3; F3; ATG101; VPS28; CLDN1; OSER1; LYPD3; PLAT; IL32; VAMP8; FCGRT	0.999999983716415
11	Collecting duct cells	149	1425	9247	1181	10672	0.797168719110728	TCIM; MT1X; SCNN1B; NNMT; SFTA2; CRIP2; AQP2; AQP3; NUPR1; RBPMS; HSD11B2; ARG2; CFI; SCNN1G; AKR1C1; SLPI; TFCP2L1; CTSD; FAM177A1; CCDC186; SORT1; MT2A; SELENOM; SPTSSA; SAT1; HMGB2; TMEM208; MGST3; SNRPF; HM13; CHPF; FDPS; MPC1; CFLAR; ARRDC1; ACYP1; DUSP1; ADGRF1; MECOM; MSMO1; HMGN3; PTGER1; LGALS1; TMEM245; COTL1; DCXR; ELF3; KRT7; KIFC3; ID3; ZFP36L1; ALDH6A1; EBP; CRYAB; EWSR1; GPX3; ATP6V0D1; ZFP36L2; STARD10; MPST; SUMF2; TERF2IP; ATP1A1; STMN1; RBM17; ARL4D; ID2; GLRX; HNRNPD; EIF1AY; HYI; DUT; HERPUD1; WFDC2; BDH2; ANP32A; CCPG1; C9orf78; CST3; PLD3; SRSF2; AOC1; RAPGEF3; RABAC1; RHOB; SFPQ; RBCK1; TM4SF1; SERPINA1; IFI6; BLVRB; CDK18; SELENOS; HNRNPA2B1; GLUL; PRPF6; MAOA; JTB; POGZ; PNKD; MYO6; TSPAN1; SSR4; DST; MRPS5; RASD1; HES1; PLEKHH2; TMED3; TRIP6; ATP6V0B; CSTB; ARHGDIB; TFPI2; HOXB3; TMEM141; PDZK1IP1; TMEM165; XBP1; KLF6; MGST1; MGST2; SVIP; MAP1LC3B; KIF22; FAM20C; VAMP2; LMNA; NFE2L1; HDAC1; METTL7A; CLDN3; ODF2L; NDUFS8; COMTD1; GPRC5C; HNRNPM; DHCR24; ARL2; GUK1; DDAH2; SQLE; HNRNPA3; AFDN; VPS28; SURF1; IL32; VAMP8; FCGRT	0.999999983716415
