list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
25	Hepatocytes	127	1347	9325	600	10672	1.07045773681739e-09	GADD45G; MT1X; ANGPTL4; ETNK2; ASS1; NNMT; MGLL; NUPR1; HPN; GADD45B; CEBPB; YAF2; FKBP5; AKR1C1; ELOVL5; ABLIM3; SLPI; NUDT16; YIF1A; AGT; CPD; CTSD; MFSD2A; DMGDH; FAM177A1; MT2A; HMOX2; SRPRB; HP; SPTSSA; TMEM208; MGST3; TM7SF2; SMARCD2; ASL; HM13; MMAB; FDPS; RSL1D1; VAMP5; MPC1; CFLAR; HMGB3; PABPC4; DUSP1; EFHD1; SDSL; MSMO1; CYP4F3; AKR1C2; ACSL1; TMEM245; FASN; DCXR; SEC61A1; ZFP36L1; ALDH6A1; EBP; C3; GPX3; PHYH; ZFP36L2; STARD10; MPST; SUMF2; GPT2; SRP72; TYMP; OCEL1; GLRX; LMO4; APMAP; TCEA3; HMGCS1; HERPUD1; CCPG1; C9orf78; CST3; RCL1; ANPEP; RABAC1; RHOB; RBCK1; SMPD1; SIL1; SERPINA1; DNAJC25; BLVRB; LARP1B; INSIG1; DNAJC1; GLUL; MAOA; SDS; JTB; CD302; DNAJC12; PNKD; STEAP3; ABAT; SSR4; MRPS5; PCK2; ATP6V0B; TMEM141; XBP1; KLF6; MGST1; SVIP; DGAT2; FAM20C; VAMP2; NFE2L1; NDUFS8; COMTD1; C11orf24; DHCR24; SLC10A1; GUK1; SMCO4; MST1; VPS28; ZBTB8OS; SURF1; IL32; SLC31A1; VAMP8	5.4593344577687e-08
2	Alveolar cells type 2	122	1382	9290	600	10672	1.22001547378269e-07	TCIM; GADD45G; SFTPB; SFTPC; HOPX; NNMT; MGLL; SFTA2; S100A8; SFTPD; TACC2; NUPR1; PGC; GNLY; GADD45B; CEBPB; FLRT3; ALOX15B; SLPI; YIF1A; SUSD2; CTSD; MFSD2A; FAM177A1; CCDC186; ZNF385B; CYP4B1; MT2A; HP; SELENOM; SPTSSA; REL; MGST3; CEP70; UPP1; ASL; MACROD2; HM13; MMAB; GATAD1; FDPS; CCL20; RSL1D1; CFLAR; DUSP1; MSMO1; ACSL1; DUOX1; TMEM245; FASN; DCXR; MSLN; KRT7; ZFP36L1; C3; SERTAD1; CCNDBP1; S100P; NEDD9; GPX3; RNF145; ADGRE5; SFN; ZFP36L2; ODF3B; STARD10; MPST; SRP72; TERF2IP; ATP1A1; DDIT3; PRSS8; TCEA3; HMGCS1; HERPUD1; CCPG1; C9orf78; CST3; PLD3; RABAC1; RHOB; SERPINA1; IFI6; BLVRB; SELENOS; INSIG1; GLUL; PRPF6; MAOA; JTB; CD302; PNKD; S100A14; MYO6; SSR4; MRPS5; RGS16; SDCCAG8; CEACAM6; ATP6V0B; TMEM141; XBP1; KLF6; MKNK2; MGST1; SLU7; SVIP; MAP1LC3B; C16orf89; NFE2L1; NDUFS8; ATF6; DHCR24; GUK1; SQLE; F3; AFDN; VPS28; HPCAL1; ZBTB8OS; IL32; VAMP8	3.11103945814587e-06
8	Cholangiocytes	112	1431	9241	600	10672	0.000119620083971548	GADD45G; TFF3; MT1X; ASS1; NNMT; MGLL; SFTA2; S100A8; CRIP2; NUPR1; PGC; GADD45B; CEBPB; VSTM2L; FKBP5; AKR1C1; SLPI; YIF1A; AGT; CPD; CTSD; FOXO3; FAM177A1; MT2A; HP; SPTSSA; TMEM208; MGST3; TM7SF2; ASL; HM13; MMAB; FDPS; RSL1D1; VAMP5; MPC1; CFLAR; TOB2; PABPC4; DUSP1; CYP4F3; AKR1C2; PRR15L; TMEM245; DCXR; MSLN; KRT7; ZFP36L1; EBP; SYT8; CRYAB; C3; NEDD9; PHYH; ATP6V0D1; RNF145; ZFP36L2; STARD10; MPST; SUMF2; TERF2IP; ATP1A1; PRSS8; PMEPA1; GLRX; LMO4; TCEA3; HMGCS1; HERPUD1; C9orf78; CST3; ANPEP; RABAC1; RHOB; RBCK1; SERPINA1; IFI6; BLVRB; DNAJC1; GLUL; AKR1B10; MAOA; JTB; PNKD; S100A14; SSR4; MRPS5; CEACAM6; ATP6V0B; TMEM141; PDZK1IP1; TMEM165; XBP1; KLF6; MGST1; SVIP; MAP1LC3B; VAMP2; NFE2L1; METRN; CLDN3; BCL2L1; NDUFS8; DHCR24; ARL2; GUK1; SMCO4; VPS28; SLC7A7; SURF1; IL32; VAMP8	0.00203354142751632
18	Enterocytes	105	1389	9283	600	10672	0.00073322549386004	TFF3; MT1X; ASS1; MGLL; MVD; GADD45B; CEBPB; HSD11B2; TCN2; P2RX4; SLPI; TFCP2L1; YIF1A; CTSD; MFSD2A; FAM177A1; CCDC186; MT2A; HMOX2; SPTSSA; TMEM208; MGST3; ASL; TPRN; PYGB; FDPS; CCL20; ARL4A; MPC1; CFLAR; ARRDC1; TOB2; PI3; PABPC4; DUSP1; MSMO1; PRR15L; DCXR; SEC61A1; ZFP36L1; EBP; SERTAD1; S100P; NEDD9; PHYH; ATP6V0D1; SFN; ZFP36L2; STARD10; MPST; ABHD12; TYMP; ATP1A1; DDIT3; PRSS8; OCEL1; EFNB2; GLRX; TCEA3; HMGCS1; HERPUD1; CST3; ANPEP; RABAC1; RHOB; RBCK1; FAM3A; BLVRB; ZNF524; DOK4; AKR1B10; MAOA; JTB; PNKD; S100A14; MYO6; SSR4; MRPS5; ISG15; PCK2; ATP6V0B; ZG16; TMEM141; AKR1C3; XBP1; KLF6; MKNK2; MGST1; SVIP; MAP1LC3B; VAMP2; NFE2L1; CLDN3; NDUFS8; COMTD1; DHCR24; ARL2; GUK1; SMCO4; VPS28; ZBTB8OS; SURF1; IL32; VAMP8; PLK3	0.00934862504671551
10	Club cells	102	1432	9240	600	10672	0.00586312256381164	TCIM; SFTPB; TFF3; MT1X; SFTPC; SCNN1B; ASS1; HOPX; SFTA2; S100A8; SFTPD; TACC2; CRIP2; NUPR1; GADD45B; FLRT3; AKR1C1; SLPI; RP1; CTSD; FAM177A1; CCDC186; CYP4B1; MT2A; SELENOM; SPTSSA; REL; MGST3; MACROD2; FDPS; CCL20; ARL4A; HILPDA; RSL1D1; MPC1; CFLAR; HMGB3; PABPC4; DUSP1; MSMO1; MSLN; KRT7; ZFP36L1; C3; CCNDBP1; S100P; NEDD9; LPIN1; RNF145; ABI3BP; SFN; ZFP36L2; ODF3B; SRP72; TERF2IP; ATP1A1; PRSS8; LMO4; EIF1AY; TCEA3; HERPUD1; CCPG1; C9orf78; CST3; RABAC1; SERPINA1; BLVRB; LARP1B; SELENOS; GLUL; PRPF6; PALLD; MAOA; JTB; PNKD; S100A14; MYO6; SSR4; MRPS5; CEACAM6; ATP6V0B; TMEM141; AKR1C3; XBP1; KLF6; MGST1; SLU7; SVIP; MAP1LC3B; C16orf89; CLDN3; NDUFS8; ATF6; DHCR24; ARL2; GUK1; SQLE; F3; AFDN; VPS28; VAMP8; WDR60	0.0536292863699807
36	Mucus-secreting cells	100	1404	9268	600	10672	0.00638815556310076	TFF3; MT1X; ASS1; MGLL; NUPR1; GADD45B; CEBPB; HSD11B2; P2RX4; SLPI; NUDT16; YIF1A; CPD; CTSD; FAM177A1; CCDC186; MT2A; SPTSSA; TMEM208; MGST3; SLC39A7; ASL; HM13; FDPS; CCL20; ARL4A; RSL1D1; MPC1; CFLAR; TOB2; PABPC4; DUSP1; PRR15L; DCXR; SEC61A1; ZFP36L1; EBP; SERTAD1; S100P; NEDD9; ATP6V0D1; SFN; ZFP36L2; STARD10; MPST; SUMF2; SRP72; ICA1; LRRC26; WIPI1; ATP1A1; PRSS8; GLRX; LMO4; TCEA3; HERPUD1; SPDEF; CST3; RABAC1; RHOB; RBCK1; SERPINA1; BLVRB; LARP1B; DNAJC1; GLUL; MAOA; JTB; PNKD; S100A14; MYO6; SSR4; MRPS5; RASD1; ISG15; TMED3; CEACAM6; ATP6V0B; ZG16; TMEM141; PDZK1IP1; XBP1; KLF6; MKNK2; MGST1; KCNK6; OAS1; SVIP; MAP1LC3B; VAMP2; CLDN3; NDUFS8; COMTD1; ARL2; GUK1; SMCO4; VPS28; HPCAL1; IL32; VAMP8	0.0536292863699807
20	Exocrine glandular cells	100	1411	9261	600	10672	0.00736088244293853	TCIM; MT1X; ASS1; NNMT; MGLL; CRIP2; NUPR1; PGC; GADD45B; AKR1C1; SLPI; YIF1A; CTSD; FAM177A1; MT2A; HMOX2; SELENOM; SPTSSA; TMEM208; MGST3; SLC39A7; ASL; HM13; CHPF; FDPS; RSL1D1; MPC1; PI3; HMGB3; PABPC4; DUSP1; AKR1C2; SEC61A1; KRT7; ZFP36L1; EBP; MED8; C3; ATP6V0D1; RNF145; SFN; ODF3B; STARD10; MPST; DAPK3; SRP72; ICA1; TYMP; ATP1A1; PRSS8; DPEP1; GLRX; LMO4; TCEA3; HERPUD1; CCPG1; C9orf78; CST3; DEPP1; ANPEP; RABAC1; RHOB; RBCK1; SIL1; SERPINA1; IFI6; BLVRB; SELENOS; INSIG1; DNAJC1; GLUL; JTB; MYO6; SSR4; ISG15; TMED3; PCK2; ATP6V0B; TMEM141; PDZK1IP1; AKR1C3; TMEM165; XBP1; KLF6; MGST1; SVIP; MAP1LC3B; VAMP2; CELA2B; NDUFS8; COMTD1; DHCR24; ARL2; GUK1; SQLE; F3; VPS28; SURF1; IL32; VAMP8	0.0536292863699807
23	Glandular cells	100	1428	9244	600	10672	0.0102674132686022	GADD45G; TFF3; MT1X; ASS1; TACC2; NUPR1; PGC; GADD45B; CEBPB; KRT16; ARG2; ELOVL5; SLPI; YIF1A; CTSD; FOXO3; FAM177A1; CCDC186; MT2A; SPTSSA; REL; TMEM208; MGST3; BBC3; HM13; FDPS; CCL20; RSL1D1; CFLAR; TOB2; DUSP1; MSMO1; FASN; DCXR; SEC61A1; KRT7; ZFP36L1; CRYAB; SERTAD1; S100P; GPX3; RNF145; SFN; ZFP36L2; STARD10; MPST; SRP72; TYMP; TERF2IP; ATP1A1; DDIT3; PRSS8; PMEPA1; FBXO32; GLRX; TCEA3; HMGCS1; HERPUD1; SPDEF; CST3; RABAC1; CREB3; RHOB; RBCK1; GRB7; IFI6; BLVRB; INSIG1; DNAJC1; GLUL; PALLD; JTB; PNKD; S100A14; MYO6; SSR4; RASD1; TMED3; ATP6V0B; TMEM141; TMEM165; XBP1; KLF6; MKNK2; MGST1; SVIP; MAP1LC3B; VAMP2; CLDN3; NDUFS8; DHCR24; GUK1; SQLE; SMCO4; F3; ATG101; VPS28; OSER1; IL32; VAMP8	0.0654547595873393
1	Alveolar cells type 1	101	1469	9203	600	10672	0.0161767829349477	TCIM; SFTPB; MT1X; SFTPC; SCNN1B; HOPX; MGLL; SFTA2; S100A8; SFTPD; TACC2; CRIP2; NUPR1; GADD45B; FLRT3; AKR1C1; ELOVL5; SLPI; RNMT; SUSD2; CTSD; FAM177A1; CCDC186; CYP4B1; MT2A; SELENOM; SPTSSA; REL; MGST3; SESTD1; FDPS; RSL1D1; MPC1; CFLAR; DUSP1; DUOX1; TMEM245; MSLN; KRT7; ZFP36L1; CRYAB; C3; SERTAD1; NEDD9; RNF145; ABI3BP; SFN; SUMF2; SRP72; ATP1A1; COL8A1; PRSS8; PMEPA1; TCEA3; HMGCS1; HERPUD1; CCPG1; C9orf78; CST3; RABAC1; IFI6; BLVRB; SELENOS; ACBD3; GLUL; PRPF6; MAOA; JTB; PNKD; S100A14; MYO6; SSR4; MRPS5; RGS16; FCHO2; CEACAM6; ATP6V0B; TMEM141; PDZK1IP1; TMEM165; XBP1; KLF6; MGST1; SLU7; SVIP; MAP1LC3B; KIF3A; NFE2L1; RAB11FIP2; NDUFS8; ATF6; DHCR24; GUK1; SQLE; F3; AFDN; VPS28; ZNF281; HPCAL1; IL32; VAMP8	0.0916684366313704
38	Pancreatic endocrine cells	96	1408	9264	600	10672	0.0232493093573182	TCIM; MT1X; ANGPTL4; ASS1; NNMT; MGLL; NUPR1; PGC; GADD45B; FSTL3; AKR1C1; SLPI; YIF1A; CTSD; FAM177A1; MYO10; MT2A; HMOX2; SELENOM; SPTSSA; TMEM208; MGST3; UPP1; ASL; HM13; FDPS; RSL1D1; CFLAR; PI3; HMGB3; ECE1; DUSP1; AKR1C2; SEC61A1; KRT7; ZFP36L1; EBP; C3; S100P; ATP6V0D1; RNF145; SFN; STARD10; MPST; DAPK3; SRP72; TYMP; ATP1A1; PRSS8; PMEPA1; GLRX; LMO4; HERPUD1; CCPG1; CST3; DEPP1; ANPEP; RABAC1; RHOB; RBCK1; SERPINA1; IFI6; BLVRB; SELENOS; DNAJC1; GLUL; AKR1B10; JTB; DNAJC12; S100A14; MYO6; SSR4; ISG15; TMED3; CEACAM6; ATP6V0B; TMEM141; PDZK1IP1; AKR1C3; TMEM165; XBP1; KLF6; MGST1; SVIP; MAP1LC3B; VAMP2; BCL2L1; NDUFS8; COMTD1; ARL2; GUK1; F3; VPS28; SURF1; IL32; VAMP8	0.117299826726791
