list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
19	Erythroid cells	130	2417	8255	581	10672	0.581053694643083	FANCI; HELLS; AQP3; CDC45; SMC4; CENPW; CDCA3; AURKB; ZWINT; GEN1; HJURP; CHEK2; MCM5; MYBL2; CCDC189; DHFR; FANCA; CDC25B; ANKRD36C; RCCD1; SAT1; HMGB2; TOP2A; VRK1; ARHGEF39; NASP; MCM7; SRF; CCDC88A; SNRPF; EZH2; ACYP1; TK1; NUF2; ZNF789; PTTG1; CENPM; PTPN6; LGALS1; WEE1; ZNF43; RAD51AP1; MCM3; MYBL1; SPAG5; SLC25A12; EWSR1; CDC6; KIF20B; CMTM7; GALNT5; FASTKD1; SIPA1; GTSE1; RMI2; ASF1B; CENPU; RFC4; UBE2T; GINS2; SSBP3; STMN1; KIF2C; RBM17; BIRC5; ID2; CENPE; HNRNPD; NDC80; HYI; DUT; BARD1; TPCN2; CDCA4; PLK4; ANP32A; LANCL2; MCM4; SRSF2; CENPF; PRC1; ZNF90; KNTC1; ROGDI; PGM2L1; HSBP1L1; SFPQ; TM4SF1; FAM122B; TET3; CENPK; APOBEC3C; DIAPH3; WDR62; ZC3H4; RFC5; CDKN3; HNRNPA2B1; SPDL1; MICAL3; DST; CDK1; ASPM; EHBP1L1; CLIC2; PDLIM2; TMCC2; CSTB; ARHGDIB; KIF4A; DTL; ZNF839; MGST2; KIF22; CDC20; LMNA; CAV1; METTL7A; CARD8; HNRNPM; CCNB1; NICN1; KIF15; MTA1; CEP162; HNRNPA3; AMMECR1; CENPN; CCDC14; FCGRT	0.999999999208219
45	Spermatocytes	63	1383	9289	581	10672	0.950576311358013	AQP5; HELLS; SMC4; CENPW; ZWINT; DHFR; ANKRD36C; HMGB2; TOP2A; VRK1; NASP; MCM7; CCDC88A; SNRPF; EZH2; ORC6; ACYP1; NUF2; PTTG1; CLSPN; ACBD6; STK31; EWSR1; KIF20B; BRCA1; ADD3; HSPB11; CENPU; MOK; DNAAF3; RFC4; UBE2T; GINS2; STMN1; RBM17; BIRC5; CENPE; HNRNPD; NDC80; DUT; SRSF2; PRC1; SPATA24; SFPQ; SLC4A8; CENPK; WDR62; CDKN3; CDCA8; SASS6; ANAPC15; HNRNPA2B1; SPDL1; CDK1; CCDC74A; EID3; CDC20; CYTH2; LMNA; WDR54; HNRNPM; HNRNPA3; CCDC14	0.999999999208219
21	Extravillous trophoblasts	64	1424	9248	581	10672	0.963387865209927	RBPMS; PCLAF; SMC4; CENPW; AURKB; ZWINT; SAT1; HMGB2; TOP2A; NASP; MCM7; SNRPF; VGLL1; TK1; PTTG1; HMGN3; LGALS1; COTL1; WEE1; ELF3; ID3; EWSR1; HSPB11; ABRACL; VSIR; UBE2T; STMN1; RBM17; BIRC5; ID2; HNRNPD; MCUB; HYI; DUT; SMC2; CDCA4; ANP32A; SRSF2; CENPF; HLA-G; CNN2; ZNF90; SFPQ; HNRNPA2B1; CDK1; PDLIM2; CSTB; ARHGDIB; FN1; TFPI2; MX1; TRAF4; HAUS1; CDC20; LMNA; HDAC1; CAV1; SRSF6; HNRNPM; CCNB1; HNRNPA3; CENPN; PROCR; SKP2	0.999999999208219
9	Ciliated cells	62	1404	9268	581	10672	0.97286048285645	BCAS1; AQP3; ADGRF5; DOC2A; CCDC189; IFT80; ANKRD36C; SAT1; HMGB2; NASP; SNRPF; OSBPL3; ACYP1; MECOM; CENPM; EXPH5; HMGN3; ELF3; C20orf96; ALDH3A1; EWSR1; ADD3; HSPB11; MOK; STMN1; IL18; CALML4; ID2; HNRNPD; MUC4; WFDC2; ANP32A; CYSLTR1; SRSF2; PLEKHS1; PGM2L1; SFPQ; TM4SF1; SNTN; HNRNPA2B1; TSPAN1; HES1; SFTPA1; MDH1B; CSTB; CCDC74A; DLEC1; STIM2; DGKH; SLFN13; LMNA; HDAC1; METTL7A; ODF2L; WDR54; HNRNPM; CEP162; HNRNPA3; SFTPA2; CLDN1; KPNA5; GAS8	0.999999999208219
5	Basal keratinocytes	59	1398	9274	581	10672	0.988956783971519	COL1A1; FOSL1; AQP3; TUFT1; RHOV; NR4A3; SAT1; HMGB2; NASP; SRF; SNRPF; PTTG1; EXPH5; HMGN3; LGALS1; WEE1; EPHA2; ID3; EWSR1; PER2; HSPB11; ABRACL; STMN1; RBM17; IL18; ID2; HNRNPD; DUT; BARD1; SRSF2; CNN2; ZNF90; TIAM1; SFPQ; KIAA1217; TM4SF1; PLEK2; PHLDB2; HNRNPA2B1; ANKRD10; DST; HES1; NDUFA4L2; PDLIM2; TRIP6; CSTB; ARHGDIB; LGALS7B; HNRNPA1L2; TRAF4; LMNA; CAV1; RABGGTB; SRSF6; HNRNPM; SH3PXD2A; HNRNPA3; CLDN1; FCGRT	0.999999999208219
12	Cone photoreceptor cells	59	1427	9245	581	10672	0.993427847429441	CDCA3; ANKRD36C; SAT1; PODXL; HMGN3; DTX3; COTL1; PRELID2; SLC26A11; KIFC3; DNMT3A; EWSR1; CIT; ADD3; GRAMD1B; MOK; CCDC148; NR2F1; STMN1; RBM17; HNRNPD; CLSTN3; SRSF2; ARMC9; NCKAP5L; ROGDI; SFPQ; SLC4A8; WDR62; GNGT2; C2CD2; RPGRIP1; HNRNPA2B1; PER3; POGZ; GGA2; MICAL3; ABCA4; ANKRD10; DST; MAP4K4; GNAT2; STIM2; STMN3; LMNA; STARD9; ODF2L; WDR54; GLMN; FNBP1; HNRNPM; PTK7; HNRNPA3; AMMECR1; TULP1; IKBKB; PRICKLE2; CCDC14; NREP	0.999999999208219
10	Club cells	59	1432	9240	581	10672	0.994006719124187	AQP3; SFTA3; ADGRF5; ANKRD36C; SAT1; HMGB2; NASP; SNRPF; STK38; MECOM; EXPH5; HMGN3; LGALS1; WEE1; ELF3; ALDH3A1; ADAM28; EWSR1; PER2; ADD3; HSPB11; STMN1; RBM17; ID2; HNRNPD; DUT; MUC4; WFDC2; ANP32A; CYSLTR1; SRSF2; SFPQ; KIAA1217; TM4SF1; SNTN; EIF2AK2; HNRNPA2B1; TSPAN1; ANKRD10; DST; HES1; SFTPA1; CSTB; ARHGDIB; LGALS7B; MGST2; LMNA; HDAC1; CAV1; METTL7A; RAB31; ODF2L; SRSF6; HNRNPM; HNRNPA3; SFTPA2; CLDN1; KPNA5; FCGRT	0.999999999208219
46	Spermatogonia	58	1412	9260	581	10672	0.994083712340494	FANCI; HELLS; CDC45; SMC4; CENPW; ZWINT; MCM5; HMGB2; TOP2A; VRK1; NASP; MCM7; CCDC88A; SNRPF; EZH2; ORC6; PTTG1; HMGN3; WEE1; CLSPN; MCM3; ACBD6; EWSR1; KIF20B; BRCA1; ADD3; HSPB11; MGME1; ASF1B; CENPU; UBE2T; GINS2; STMN1; RBM17; HNRNPD; DUT; BARD1; SMC2; CDCA4; SRSF2; CENPF; PRC1; UNG; SFPQ; CENPK; ANAPC15; HNRNPA2B1; SPDL1; POGZ; GGA2; MAP4K4; CSTB; HAUS1; HDAC1; SRSF6; HNRNPM; CCNB1; HNRNPA3	0.999999999208219
1	Alveolar cells type 1	60	1469	9203	581	10672	0.995582347628772	AQP5; RBPMS; SULT1A1; SFTA3; SMC4; ADGRF5; SAT1; NASP; MECOM; EXPH5; HMGN3; LGALS1; EPHA2; FOXA2; ELF3; ID3; ARHGEF26; EWSR1; GALNT5; RBM17; IL18; ID2; RTKN2; HNRNPD; DUT; GRK5; WFDC2; ANP32A; CYSLTR1; SRSF2; CNN2; HSBP1L1; SFPQ; TM4SF1; DIAPH3; PHLDB2; EIF2AK2; HNRNPA2B1; POGZ; DST; SFTPA1; CLIC2; PDLIM2; CSTB; ARHGDIB; FN1; VEPH1; FAM111A; LMNA; CAV1; METTL7A; RAB31; ODF2L; SRSF6; HNRNPM; HNRNPA3; SFTPA2; KPNA5; FCGRT; LAMA3	0.999999999208219
2	Alveolar cells type 2	55	1382	9290	581	10672	0.996847535955254	AQP3; RBPMS; SULT1A1; SFTA3; SMC4; ADGRF5; SAT1; HMGB2; NASP; SNRPF; FAM20A; MECOM; HMGN3; LGALS1; FOXA2; ELF3; ID3; RASGRF1; EWSR1; NRGN; RBM17; ID2; HNRNPD; HYI; WFDC2; BDH2; ANP32A; CYSLTR1; SRSF2; CNN2; SFPQ; TM4SF1; TTN; HNRNPA2B1; ANKRD10; HES1; SFTPA1; CSTB; ARHGDIB; FN1; VEPH1; KIF22; LMNA; CAV1; METTL7A; ODF2L; SRSF6; FCGR2A; HNRNPM; HNRNPA3; SFTPA2; DAPK1; KPNA5; CCDC14; FCGRT	0.999999999208219
47	Suprabasal keratinocytes	55	1398	9274	581	10672	0.997721121057555	COL1A1; FOSL1; AQP3; RHOV; SAT1; HMGB2; SNRPF; PTTG1; EXPH5; HMGN3; LGALS1; WEE1; EPHA2; ID3; PER2; HSPB11; ABRACL; ANKRD22; STMN1; RBM17; IL18; ID2; GRHL3; HNRNPD; DUT; BARD1; SRSF2; CNN2; ZNF90; TIAM1; SFPQ; TM4SF1; PLEK2; PHLDB2; HNRNPA2B1; ANKRD10; TTC39C; DST; HES1; NDUFA4L2; PDLIM2; TRIP6; CSTB; LGALS7B; HNRNPA1L2; TRAF4; MGST2; LMNA; CAV1; RABGGTB; SRSF6; HNRNPM; HNRNPA3; CLDN1; FCGRT	0.999999999208219
51	Urothelial cells	56	1447	9225	581	10672	0.998726970882439	FOSL1; AQP3; RBPMS; RHOV; ANKRD36C; SAT1; NASP; SNRPF; DHRS9; PLAU; ADGRF1; HMGN3; COTL1; EPHA2; ELF3; ID3; EWSR1; GALNT5; ADD3; HSPB11; ABRACL; RBM17; GRHL3; RTKN2; HNRNPD; MFSD10; DUT; MUC4; WFDC2; SRSF2; CNN2; ABCC3; TIAM1; HSBP1L1; SFPQ; TM4SF1; PHLDB2; SORD; HNRNPA2B1; TSPAN1; DST; HES1; TRIP6; CSTB; ARHGDIB; TRAF4; MGST2; DGKH; CYTH2; LMNA; CAV1; HNRNPM; HNRNPA3; CLDN1; PLAT; FCGRT	0.999999999208219
43	Sertoli cells	53	1403	9269	581	10672	0.999176101051596	COL1A1; RBPMS; SMC4; ADGRF5; SYTL4; FIGN; SAT1; HMGB2; TOP2A; NASP; SNRPF; HMGN3; LGALS1; ID3; ACBD6; EWSR1; ADD3; MCAM; RBM17; HNRNPD; MFSD10; KLHL42; DUT; GRK5; SRSF2; SFPQ; TM4SF1; HNRNPA2B1; NOSTRIN; POGZ; ANKRD10; DST; HES1; MAP4K4; NDUFA4L2; PDLIM2; TRIP6; CSTB; ARHGDIB; FN1; CYTH2; LMNA; HDAC1; CAV1; METTL7A; GPRC5C; SRSF6; FNBP1; HNRNPM; DDAH2; HNRNPA3; PROCR; FCGRT	0.999999999208219
