list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
36	Lung	22	1400	9507	51	10907	7.85370523159936e-08	LGALS9; SFTPB; C5orf38; TRIM22; EGFL7; PLAT; SFTPA2; SFTPA1; PNKD; NLRC5; HLA-DRB5; FAM20A; SELP; LINC02577; TCIM; CXCL1; SULT1A1; NA; HLA-DMB; PODXL; HLA-DRA; HBEGF	4.16246377274766e-06
53	Whole_Blood	13	779	10128	51	10907	4.26008592158803e-05	LGALS9; TRIM22; GNLY; DGAT2; YPEL3; LGALS9B; ANKRD22; NLRC5; LGALS9C; LCK; FCRL2; NA; HLA-DRA	0.00112892276922083
47	Spleen	15	1247	9660	51	10907	0.00040339327674561	LGALS9; TRIM22; EGFL7; NOX5; YPEL3; NLRC5; HLA-DRB5; LCK; FCRL2; CXCL1; SULT1A1; NA; HLA-DMB; HLA-DRA; CD163L1	0.00712661455583912
32	Heart_Atrial_Appendage	13	1301	9606	51	10907	0.00570907145081084	CFI; EGFL7; FGF9; KLHDC8B; ATOH8; GFOD1; SELP; TCIM; CXCL1; NA; PODXL; HBEGF; SYNPO	0.0756451967232436
46	Small_Intestine_Terminal_Ileum	12	1345	9562	51	10907	0.019019857799353	LGALS9; TRIM22; NLRC5; LGALS9C; LCK; TFF3; FCRL2; SULT1A1; NA; HLA-DMB; HLA-DRA; CD163L1	0.191848291865102
2	Adipose_Visceral_.Omentum.	12	1370	9537	51	10907	0.0217186745507662	CFI; EGFL7; PLAT; DGAT2; CALB2; FAM20A; SELP; TCIM; NA; PODXL; HBEGF; CD163L1	0.191848291865102
1	Adipose_Subcutaneous	11	1431	9476	51	10907	0.0634186931426123	C5orf38; EGFL7; DGAT2; CALB2; HLA-DRB5; SELP; TCIM; NA; HLA-DMB; HLA-DRA; HBEGF	0.480170105222636
48	Stomach	11	1466	9441	51	10907	0.073001438072821	LGALS9; C5orf38; SULT1C2; PLAT; LGALS9B; ANKRD22; PNKD; LGALS9C; FAM20A; NA; HBEGF	0.483634527232439
34	Kidney_Cortex	10	1358	9549	51	10907	0.0952163622335944	C5orf38; SULT1C2; CFI; PLAT; FGF9; PNKD; FAM20A; TCIM; NA; PODXL	0.560718577597834
41	Pancreas	6	707	10200	51	10907	0.110389331679616	SULT1C2; CFI; KSR1; ANKRD22; NA; PODXL	0.585063457901964
29	Esophagus_Mucosa	9	1399	9508	51	10907	0.200387128060599	PADI1; KRT15; LGALS9B; ANKRD22; LGALS9C; ADGRF4; CXCL1; NA; HBEGF	0.950628699871786
33	Heart_Left_Ventricle	9	1426	9481	51	10907	0.216240487153332	EGFL7; FGF9; KLHDC8B; GFOD1; TCIM; NA; PODXL; HBEGF; SYNPO	0.950628699871786
