list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
2	Alveolar cells type 2	16	1382	9290	52	10672	0.000611519605036625	SFTPB; TRIM22; GNLY; SFTPA2; YPEL3; SFTPA1; PNKD; HLA-DRB5; FAM20A; CYSLTR1; TCIM; CXCL1; SULT1A1; HLA-DMB; HLA-DRA; HBEGF	0.0311874998568679
17	Endothelial cells	12	1399	9273	52	10672	0.0337511109641362	CFI; EGFL7; PLAT; YPEL3; PNKD; IFI44L; HLA-DRB5; TFF3; NDRG2; PODXL; HLA-DRA; HBEGF	0.860653329585474
10	Club cells	11	1432	9240	52	10672	0.081082741788259	SFTPB; KRT15; SFTPA2; SFTPA1; PNKD; CYSLTR1; TFF3; TCIM; CXCL1; HLA-DRA; HBEGF	1
24	granulocytes	10	1398	9274	52	10672	0.135299226777053	SFTPB; PLAT; SFTPA2; SFTPA1; CALB2; PNKD; HLA-DRB5; CYSLTR1; TFF3; HLA-DRA	1
1	Alveolar cells type 1	10	1469	9203	52	10672	0.170340591282303	SFTPB; TRIM22; SFTPA2; SFTPA1; PNKD; CYSLTR1; TCIM; SULT1A1; HLA-DRA; HBEGF	1
30	Kupffer cells	8	1352	9320	52	10672	0.33541203013225	LGALS9; TRIM22; YPEL3; PNKD; HLA-DRB5; SULT1A1; HLA-DMB; HLA-DRA	1
29	Ito cells	8	1397	9275	52	10672	0.37008811545276	CFI; EGFL7; YPEL3; PNKD; HLA-DRB5; TFF3; NDRG2; HLA-DRA	1
9	Ciliated cells	8	1404	9268	52	10672	0.375527325848344	SFTPB; SFTPA2; SFTPA1; PNKD; CYSLTR1; TFF3; CXCL1; HLA-DRA	1
23	Glandular cells	8	1428	9244	52	10672	0.394238731931094	PLAT; KRT15; YPEL3; PNKD; TFF3; NDRG2; CXCL1; HBEGF	1
8	Cholangiocytes	8	1431	9241	52	10672	0.396583054325222	CFI; YPEL3; PNKD; HLA-DRB5; TFF3; NDRG2; CXCL1; HLA-DRA	1
34	Melanocytes	8	1433	9239	52	10672	0.398146452714483	KRT15; GNLY; PNKD; HLA-DRB5; TFF3; NDRG2; CXCL1; HLA-DRA	1
26	Hofbauer cells	7	1382	9290	52	10672	0.518045432737397	LGALS9; EGFL7; PNKD; HLA-DRB5; FAM20A; HLA-DMB; HLA-DRA	1
3	B-cells	7	1387	9285	52	10672	0.522080646724496	TRIM22; YPEL3; PNKD; HLA-DRB5; FCRL2; HLA-DMB; HLA-DRA	1
49	T-cells	7	1393	9279	52	10672	0.526908962303803	TRIM22; GNLY; YPEL3; PNKD; HLA-DRB5; LCK; HLA-DRA	1
47	Suprabasal keratinocytes	7	1398	9274	52	10672	0.53092054455289	KRT15; YPEL3; ANKRD22; HLA-DRB5; CXCL1; HLA-DRA; HBEGF	1
50	Undifferentiated cells	7	1421	9251	52	10672	0.549223576738457	LGALS9; PNKD; TFF3; NDRG2; SULT1A1; HLA-DRA; HBEGF	1
4	Basal glandular cells	7	1445	9227	52	10672	0.568034761097149	PLAT; KRT15; YPEL3; PNKD; NDRG2; CXCL1; HBEGF	1
51	Urothelial cells	7	1447	9225	52	10672	0.569588085368246	PLAT; KRT15; YPEL3; PNKD; NDRG2; CXCL1; HBEGF	1
