list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
2	Alveolar cells type 2	11	1382	9290	36	10672	0.00450732602239519	TRIM22; GNLY; SFTPA2; SFTPA1; HLA-DRB5; FAM20A; CYSLTR1; SULT1A1; HLA-DMB; HLA-DRA; HBEGF	0.229873627142154
17	Endothelial cells	8	1399	9273	36	10672	0.090375019809823	CFI; PLAT; IFI44L; HLA-DRB5; NDRG2; PODXL; HLA-DRA; HBEGF	1
24	granulocytes	7	1398	9274	36	10672	0.184293746428964	PLAT; SFTPA2; SFTPA1; CALB2; HLA-DRB5; CYSLTR1; HLA-DRA	1
1	Alveolar cells type 1	7	1469	9203	36	10672	0.219137169971148	TRIM22; SFTPA2; SFTPA1; CYSLTR1; SULT1A1; HLA-DRA; HBEGF	1
30	Kupffer cells	6	1352	9320	36	10672	0.301721688435358	LGALS9; TRIM22; HLA-DRB5; SULT1A1; HLA-DMB; HLA-DRA	1
10	Club cells	6	1432	9240	36	10672	0.351716394362584	KRT15; SFTPA2; SFTPA1; CYSLTR1; HLA-DRA; HBEGF	1
33	Macrophages	5	1367	9305	36	10672	0.496884000959469	LGALS9; HLA-DRB5; HLA-DMB; HLA-DRA; HBEGF	1
26	Hofbauer cells	5	1382	9290	36	10672	0.507049575167765	LGALS9; HLA-DRB5; FAM20A; HLA-DMB; HLA-DRA	1
3	B-cells	5	1387	9285	36	10672	0.510423363113302	TRIM22; HLA-DRB5; FCRL2; HLA-DMB; HLA-DRA	1
49	T-cells	5	1393	9279	36	10672	0.514461745327822	TRIM22; GNLY; HLA-DRB5; LCK; HLA-DRA	1
47	Suprabasal keratinocytes	5	1398	9274	36	10672	0.517818375019248	KRT15; ANKRD22; HLA-DRB5; HLA-DRA; HBEGF	1
50	Undifferentiated cells	5	1421	9251	36	10672	0.53315182358354	LGALS9; NDRG2; SULT1A1; HLA-DRA; HBEGF	1
34	Melanocytes	5	1433	9239	36	10672	0.54107813096221	KRT15; GNLY; HLA-DRB5; NDRG2; HLA-DRA	1
39	Paneth cells	4	1392	9280	36	10672	0.708751022688276	LGALS9; LGALS9C; SULT1A1; HBEGF	1
29	Ito cells	4	1397	9275	36	10672	0.711541301806139	CFI; HLA-DRB5; NDRG2; HLA-DRA	1
5	Basal keratinocytes	4	1398	9274	36	10672	0.712097178210118	KRT15; HLA-DRB5; HLA-DRA; HBEGF	1
9	Ciliated cells	4	1404	9268	36	10672	0.715417171269651	SFTPA2; SFTPA1; CYSLTR1; HLA-DRA	1
36	Mucus-secreting cells	4	1404	9268	36	10672	0.715417171269651	LGALS9; NDRG2; HLA-DRA; HBEGF	1
35	monocytes	4	1415	9257	36	10672	0.721435808146193	LGALS9; HLA-DRB5; HLA-DMB; HLA-DRA	1
23	Glandular cells	4	1428	9244	36	10672	0.728435169102159	PLAT; KRT15; NDRG2; HBEGF	1
8	Cholangiocytes	4	1431	9241	36	10672	0.730032927806746	CFI; HLA-DRB5; NDRG2; HLA-DRA	1
4	Basal glandular cells	4	1445	9227	36	10672	0.737402486561549	PLAT; KRT15; NDRG2; HBEGF	1
51	Urothelial cells	4	1447	9225	36	10672	0.738443634743945	PLAT; KRT15; NDRG2; HBEGF	1
25	Hepatocytes	3	1347	9325	36	10672	0.850103915260169	CFI; NDRG2; SULT1A1	1
37	Muller glia cells	3	1358	9314	36	10672	0.854151716970946	CFI; NDRG2; SULT1A1	1
18	Enterocytes	3	1389	9283	36	10672	0.86507210380416	LGALS9; SULT1A1; HBEGF	1
15	Ductal cells	3	1410	9262	36	10672	0.872073237070769	LGALS9; NDRG2; HLA-DRA	1
11	Collecting duct cells	3	1425	9247	36	10672	0.876884276460663	CFI; KCP; HLA-DRA	1
31	Late spermatids	2	1263	9409	36	10672	0.937704853705206	FAM182B; FAM20A	1
7	Cardiomyocytes	2	1359	9313	36	10672	0.953856584046643	NDRG2; HBEGF	1
28	Intestinal endocrine cells	2	1373	9299	36	10672	0.955859074854792	HLA-DRA; HBEGF	1
41	Proximal tubular cells	2	1403	9269	36	10672	0.959882457442373	CFI; HLA-DRA	1
43	Sertoli cells	2	1403	9269	36	10672	0.959882457442373	NDRG2; HLA-DRA	1
20	Exocrine glandular cells	2	1411	9261	36	10672	0.960896470738584	LGALS9; CALB2	1
44	Smooth muscle cells	2	1411	9261	36	10672	0.960896470738584	NDRG2; HLA-DRA	1
14	Distal tubular cells	2	1416	9256	36	10672	0.961518110119041	NDRG2; SULT1A1	1
12	Cone photoreceptor cells	2	1427	9245	36	10672	0.962853595361278	KSR1; PODXL	1
16	Early spermatids	1	1245	9427	36	10672	0.988592173000219	FAM182B	1
42	Rod photoreceptor cells	1	1369	9303	36	10672	0.992923840901595	PODXL	1
32	Leydig cells	1	1384	9288	36	10672	0.993323933439407	NDRG2	1
40	Peritubular cells	1	1388	9284	36	10672	0.993426854654494	NDRG2	1
22	Fibroblasts	1	1403	9269	36	10672	0.993799246962319	HLA-DRA	1
38	Pancreatic endocrine cells	1	1408	9264	36	10672	0.993918756768572	LGALS9	1
19	Erythroid cells	2	2417	8255	36	10672	0.998900106016886	GNLY; HLA-DRA	1
6	Bipolar cells	0	1350	9322	36	10672	1		1
13	Cytotrophoblasts	0	1407	9265	36	10672	1		1
21	Extravillous trophoblasts	0	1424	9248	36	10672	1		1
27	Horizontal cells	0	1375	9297	36	10672	1		1
45	Spermatocytes	0	1383	9289	36	10672	1		1
46	Spermatogonia	0	1412	9260	36	10672	1		1
48	Syncytiotrophoblasts	0	1413	9259	36	10672	1		1
