list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue	successInSampleGenes	FDR
2	Alveolar cells type 2	5	1382	9290	16	10672	0.0462966327353694	SFTPB; YPEL3; PNKD; TCIM; CXCL1	0.849948246185364
10	Club cells	5	1432	9240	16	10672	0.0528184661315841	SFTPB; PNKD; TFF3; TCIM; CXCL1	0.849948246185364
29	Ito cells	4	1397	9275	16	10672	0.147420795443201	EGFL7; YPEL3; PNKD; TFF3	0.849948246185364
17	Endothelial cells	4	1399	9273	16	10672	0.147989738147531	EGFL7; YPEL3; PNKD; TFF3	0.849948246185364
9	Ciliated cells	4	1404	9268	16	10672	0.149416334120281	SFTPB; PNKD; TFF3; CXCL1	0.849948246185364
14	Distal tubular cells	4	1416	9256	16	10672	0.152864696856539	C5orf38; YPEL3; PNKD; TCIM	0.849948246185364
23	Glandular cells	4	1428	9244	16	10672	0.156347309542735	YPEL3; PNKD; TFF3; CXCL1	0.849948246185364
8	Cholangiocytes	4	1431	9241	16	10672	0.157223257745573	YPEL3; PNKD; TFF3; CXCL1	0.849948246185364
37	Muller glia cells	3	1358	9314	16	10672	0.33331760703597	YPEL3; FGF9; PNKD	0.849948246185364
7	Cardiomyocytes	3	1359	9313	16	10672	0.333752384871288	PNKD; GFOD1; SYNPO	0.849948246185364
28	Intestinal endocrine cells	3	1373	9299	16	10672	0.339842496577448	PNKD; TFF3; CXCL1	0.849948246185364
24	granulocytes	3	1398	9274	16	10672	0.350729230113405	SFTPB; PNKD; TFF3	0.849948246185364
43	Sertoli cells	3	1403	9269	16	10672	0.352907778681191	YPEL3; PNKD; KLHDC8B	0.849948246185364
38	Pancreatic endocrine cells	3	1408	9264	16	10672	0.355086578096565	YPEL3; TCIM; CXCL1	0.849948246185364
11	Collecting duct cells	3	1425	9247	16	10672	0.362495520955479	YPEL3; PNKD; TCIM	0.849948246185364
34	Melanocytes	3	1433	9239	16	10672	0.365982129552991	PNKD; TFF3; CXCL1	0.849948246185364
4	Basal glandular cells	3	1445	9227	16	10672	0.371211367174704	YPEL3; PNKD; CXCL1	0.849948246185364
51	Urothelial cells	3	1447	9225	16	10672	0.372082777815588	YPEL3; PNKD; CXCL1	0.849948246185364
1	Alveolar cells type 1	3	1469	9203	16	10672	0.381664335473901	SFTPB; PNKD; TCIM	0.849948246185364
25	Hepatocytes	2	1347	9325	16	10672	0.617865164103001	DGAT2; PNKD	0.849948246185364
6	Bipolar cells	2	1350	9322	16	10672	0.619151971380799	YPEL3; PNKD	0.849948246185364
30	Kupffer cells	2	1352	9320	16	10672	0.620008210748749	YPEL3; PNKD	0.849948246185364
26	Hofbauer cells	2	1382	9290	16	10672	0.632694839024724	EGFL7; PNKD	0.849948246185364
32	Leydig cells	2	1384	9288	16	10672	0.633530134962495	YPEL3; PNKD	0.849948246185364
3	B-cells	2	1387	9285	16	10672	0.634780619782654	YPEL3; PNKD	0.849948246185364
40	Peritubular cells	2	1388	9284	16	10672	0.635196792190437	YPEL3; PNKD	0.849948246185364
18	Enterocytes	2	1389	9283	16	10672	0.635612636622157	PNKD; TFF3	0.849948246185364
39	Paneth cells	2	1392	9280	16	10672	0.63685820181665	PNKD; TFF3	0.849948246185364
49	T-cells	2	1393	9279	16	10672	0.637272734103633	YPEL3; PNKD	0.849948246185364
47	Suprabasal keratinocytes	2	1398	9274	16	10672	0.639340473741861	YPEL3; CXCL1	0.849948246185364
22	Fibroblasts	2	1403	9269	16	10672	0.641400008665143	PNKD; CXCL1	0.849948246185364
36	Mucus-secreting cells	2	1404	9268	16	10672	0.641810930902136	PNKD; TFF3	0.849948246185364
13	Cytotrophoblasts	2	1407	9265	16	10672	0.643041727866769	YPEL3; PNKD	0.849948246185364
15	Ductal cells	2	1410	9262	16	10672	0.644269569965196	TCIM; CXCL1	0.849948246185364
44	Smooth muscle cells	2	1411	9261	16	10672	0.644678193979714	PNKD; CXCL1	0.849948246185364
46	Spermatogonia	2	1412	9260	16	10672	0.645086489637018	EGFL7; DGAT2	0.849948246185364
35	monocytes	2	1415	9257	16	10672	0.646309406391648	PNKD; CXCL1	0.849948246185364
50	Undifferentiated cells	2	1421	9251	16	10672	0.648746373434235	PNKD; TFF3	0.849948246185364
21	Extravillous trophoblasts	2	1424	9248	16	10672	0.649960423553514	YPEL3; PNKD	0.849948246185364
16	Early spermatids	1	1245	9427	16	10672	0.862786308892078	DGAT2	0.943801165903661
33	Macrophages	1	1367	9305	16	10672	0.888619077540751	CXCL1	0.943801165903661
42	Rod photoreceptor cells	1	1369	9303	16	10672	0.889001809019317	YPEL3	0.943801165903661
27	Horizontal cells	1	1375	9297	16	10672	0.890142618935973	YPEL3	0.943801165903661
5	Basal keratinocytes	1	1398	9274	16	10672	0.894414691446419	CXCL1	0.943801165903661
41	Proximal tubular cells	1	1403	9269	16	10672	0.895322556311502	PNKD	0.943801165903661
20	Exocrine glandular cells	1	1411	9261	16	10672	0.896759932799209	TCIM	0.943801165903661
48	Syncytiotrophoblasts	1	1413	9259	16	10672	0.897116374477424	YPEL3	0.943801165903661
12	Cone photoreceptor cells	1	1427	9245	16	10672	0.899579349748592	YPEL3	0.943801165903661
19	Erythroid cells	2	2417	8255	16	10672	0.906789355476066	YPEL3; GFOD1	0.943801165903661
31	Late spermatids	0	1263	9409	16	10672	1		1
45	Spermatocytes	0	1383	9289	16	10672	1		1
