"","cpm","rows","down","NotSig","up"
"1",0.2,1,14,30432,15
"2",0.2,2,18,26295,18
"3",0.2,3,26,23963,18
"4",0.2,4,24,22312,16
"5",0.2,5,26,20989,17
"6",0.2,6,26,19973,16
"7",0.2,7,26,19121,17
"8",0.2,8,26,18432,20
"9",0.2,9,26,17812,20
"10",0.2,10,25,17291,21
"11",0.2,11,25,16813,21
"12",0.2,12,23,16375,21
"13",0.2,13,24,15982,18
"14",0.2,14,23,15575,20
"15",0.2,15,23,15208,21
"16",0.25,1,17,29365,13
"17",0.25,2,27,25165,17
"18",0.25,3,26,22860,19
"19",0.25,4,26,21271,17
"20",0.25,5,26,20066,17
"21",0.25,6,26,19147,17
"22",0.25,7,26,18356,20
"23",0.25,8,27,17726,19
"24",0.25,9,27,17205,19
"25",0.25,10,24,16783,21
"26",0.25,11,22,16339,21
"27",0.25,12,23,15915,21
"28",0.25,13,23,15556,21
"29",0.25,14,23,15201,21
"30",0.25,15,23,14844,21
"31",0.3,1,20,28542,19
"32",0.3,2,25,24295,17
"33",0.3,3,26,21976,20
"34",0.3,4,26,20363,16
"35",0.3,5,26,19223,16
"36",0.3,6,26,18307,20
"37",0.3,7,28,17589,19
"38",0.3,8,25,17028,21
"39",0.3,9,29,16552,18
"40",0.3,10,23,16125,21
"41",0.3,11,25,15740,21
"42",0.3,12,23,15371,21
"43",0.3,13,25,15007,22
"44",0.3,14,24,14674,23
"45",0.3,15,24,14312,29
"46",0.35,1,17,26681,18
"47",0.35,2,26,22809,18
"48",0.35,3,26,20776,17
"49",0.35,4,26,19364,18
"50",0.35,5,26,18352,19
"51",0.35,6,27,17563,18
"52",0.35,7,26,16954,21
"53",0.35,8,29,16462,18
"54",0.35,9,25,16026,21
"55",0.35,10,25,15641,21
"56",0.35,11,25,15275,22
"57",0.35,12,25,14922,22
"58",0.35,13,27,14570,25
"59",0.35,14,25,14248,28
"60",0.35,15,24,13954,29
"61",0.4,1,18,26269,18
"62",0.4,2,26,22211,19
"63",0.4,3,26,20098,16
"64",0.4,4,26,18744,19
"65",0.4,5,25,17840,18
"66",0.4,6,28,17080,18
"67",0.4,7,28,16505,21
"68",0.4,8,28,16047,22
"69",0.4,9,25,15600,22
"70",0.4,10,25,15208,22
"71",0.4,11,26,14868,24
"72",0.4,12,25,14551,23
"73",0.4,13,27,14211,28
"74",0.4,14,28,13929,31
"75",0.4,15,29,13610,31
"76",0.45,1,25,24206,17
"77",0.45,2,26,20810,17
"78",0.45,3,26,19027,16
"79",0.45,4,25,17872,16
"80",0.45,5,26,17023,20
"81",0.45,6,28,16388,21
"82",0.45,7,35,15885,24
"83",0.45,8,25,15474,22
"84",0.45,9,29,15064,24
"85",0.45,10,26,14734,23
"86",0.45,11,26,14426,24
"87",0.45,12,27,14157,28
"88",0.45,13,28,13840,31
"89",0.45,14,30,13571,31
"90",0.45,15,24,13297,30
"91",0.5,1,26,24036,17
"92",0.5,2,26,20606,17
"93",0.5,3,26,18771,17
"94",0.5,4,28,17561,18
"95",0.5,5,26,16734,20
"96",0.5,6,29,16114,22
"97",0.5,7,33,15653,24
"98",0.5,8,30,15235,24
"99",0.5,9,28,14857,27
"100",0.5,10,28,14531,24
"101",0.5,11,27,14238,28
"102",0.5,12,26,13960,29
"103",0.5,13,30,13665,30
"104",0.5,14,24,13408,30
"105",0.5,15,25,13127,30
"106",0.55,1,26,23604,18
"107",0.55,2,26,20045,16
"108",0.55,3,26,18196,18
"109",0.55,4,26,17037,19
"110",0.55,5,27,16250,20
"111",0.55,6,29,15718,23
"112",0.55,7,30,15269,24
"113",0.55,8,28,14885,26
"114",0.55,9,25,14524,23
"115",0.55,10,28,14239,29
"116",0.55,11,28,13956,30
"117",0.55,12,30,13687,30
"118",0.55,13,24,13411,29
"119",0.55,14,23,13148,30
"120",0.55,15,24,12867,30
"121",0.6,1,26,23494,18
"122",0.6,2,26,19871,16
"123",0.6,3,25,18007,16
"124",0.6,4,26,16872,19
"125",0.6,5,27,16074,20
"126",0.6,6,33,15514,24
"127",0.6,7,30,15046,23
"128",0.6,8,28,14675,26
"129",0.6,9,28,14346,26
"130",0.6,10,27,14071,28
"131",0.6,11,25,13794,29
"132",0.6,12,29,13530,30
"133",0.6,13,23,13249,29
"134",0.6,14,24,12989,30
"135",0.6,15,24,12725,30
"136",0.65,1,26,22599,18
"137",0.65,2,26,18933,20
"138",0.65,3,25,17268,18
"139",0.65,4,40,16253,23
"140",0.65,5,37,15543,25
"141",0.65,6,37,15060,26
"142",0.65,7,29,14662,26
"143",0.65,8,28,14291,29
"144",0.65,9,28,14003,28
"145",0.65,10,31,13741,30
"146",0.65,11,25,13484,29
"147",0.65,12,24,13222,29
"148",0.65,13,25,12956,29
"149",0.65,14,24,12716,30
"150",0.65,15,22,12455,28
"151",0.7,1,26,20868,17
"152",0.7,2,25,18107,16
"153",0.7,3,26,16785,19
"154",0.7,4,28,15939,17
"155",0.7,5,37,15285,26
"156",0.7,6,31,14839,26
"157",0.7,7,26,14464,21
"158",0.7,8,28,14129,29
"159",0.7,9,33,13821,30
"160",0.7,10,31,13568,30
"161",0.7,11,26,13335,29
"162",0.7,12,25,13071,29
"163",0.7,13,25,12826,29
"164",0.7,14,24,12578,29
"165",0.7,15,21,12325,27
"166",0.75,1,26,20712,17
"167",0.75,2,25,17898,18
"168",0.75,3,26,16575,19
"169",0.75,4,28,15749,18
"170",0.75,5,37,15131,26
"171",0.75,6,32,14690,26
"172",0.75,7,26,14322,22
"173",0.75,8,29,13988,30
"174",0.75,9,30,13717,30
"175",0.75,10,25,13469,29
"176",0.75,11,26,13214,29
"177",0.75,12,25,12963,29
"178",0.75,13,26,12724,29
"179",0.75,14,24,12473,29
"180",0.75,15,21,12221,27
"181",0.8,1,26,20484,17
"182",0.8,2,25,17622,18
"183",0.8,3,27,16275,19
"184",0.8,4,36,15374,22
"185",0.8,5,37,14796,26
"186",0.8,6,39,14367,28
"187",0.8,7,32,14016,30
"188",0.8,8,36,13716,30
"189",0.8,9,27,13457,29
"190",0.8,10,26,13192,29
"191",0.8,11,26,12947,29
"192",0.8,12,26,12712,30
"193",0.8,13,24,12484,29
"194",0.8,14,30,12253,28
"195",0.8,15,20,12020,27
"196",0.85,1,26,19450,17
"197",0.85,2,28,17102,17
"198",0.85,3,27,15917,18
"199",0.85,4,36,15072,22
"200",0.85,5,36,14552,28
"201",0.85,6,34,14163,29
"202",0.85,7,37,13821,30
"203",0.85,8,32,13541,30
"204",0.85,9,27,13281,29
"205",0.85,10,27,13050,29
"206",0.85,11,25,12818,29
"207",0.85,12,23,12604,29
"208",0.85,13,24,12366,29
"209",0.85,14,20,12132,27
"210",0.85,15,19,11899,26
"211",0.9,1,26,19279,16
"212",0.9,2,26,16851,19
"213",0.9,3,35,15622,21
"214",0.9,4,38,14841,26
"215",0.9,5,42,14347,29
"216",0.9,6,33,13965,30
"217",0.9,7,34,13624,30
"218",0.9,8,31,13355,29
"219",0.9,9,28,13100,29
"220",0.9,10,26,12876,29
"221",0.9,11,26,12653,29
"222",0.9,12,24,12443,29
"223",0.9,13,25,12213,29
"224",0.9,14,20,11982,25
"225",0.9,15,18,11752,25
"226",0.95,1,26,19214,17
"227",0.95,2,26,16786,19
"228",0.95,3,37,15523,21
"229",0.95,4,38,14748,26
"230",0.95,5,40,14238,29
"231",0.95,6,37,13864,30
"232",0.95,7,34,13539,30
"233",0.95,8,27,13258,29
"234",0.95,9,28,13014,29
"235",0.95,10,26,12793,29
