"","cpm","rows","down","NotSig","up"
"1",0.2,1,351,29748,362
"2",0.2,2,384,25510,437
"3",0.2,3,443,23143,421
"4",0.2,4,390,21382,580
"5",0.2,5,429,20092,511
"6",0.2,6,408,19010,597
"7",0.2,7,423,18133,608
"8",0.2,8,423,17434,621
"9",0.2,9,427,16804,627
"10",0.2,10,439,16255,643
"11",0.2,11,439,15772,648
"12",0.2,12,455,15309,655
"13",0.2,13,476,14930,618
"14",0.2,14,463,14507,648
"15",0.2,15,460,14151,641
"16",0.25,1,351,28662,382
"17",0.25,2,402,24368,439
"18",0.25,3,459,22004,442
"19",0.25,4,430,20382,502
"20",0.25,5,410,19102,597
"21",0.25,6,419,18167,604
"22",0.25,7,425,17357,620
"23",0.25,8,472,16739,561
"24",0.25,9,481,16179,591
"25",0.25,10,447,15725,656
"26",0.25,11,455,15273,654
"27",0.25,12,468,14836,655
"28",0.25,13,468,14475,657
"29",0.25,14,462,14138,645
"30",0.25,15,480,13800,608
"31",0.3,1,376,27808,397
"32",0.3,2,440,23481,416
"33",0.3,3,464,21103,455
"34",0.3,4,405,19414,586
"35",0.3,5,439,18310,516
"36",0.3,6,423,17320,610
"37",0.3,7,472,16602,562
"38",0.3,8,441,15993,640
"39",0.3,9,475,15521,603
"40",0.3,10,459,15054,656
"41",0.3,11,482,14687,617
"42",0.3,12,472,14293,650
"43",0.3,13,469,13938,647
"44",0.3,14,485,13629,607
"45",0.3,15,480,13283,602
"46",0.35,1,382,25901,433
"47",0.35,2,459,21955,439
"48",0.35,3,429,19887,503
"49",0.35,4,420,18397,591
"50",0.35,5,422,17377,598
"51",0.35,6,468,16596,544
"52",0.35,7,437,15934,630
"53",0.35,8,477,15435,597
"54",0.35,9,467,14951,654
"55",0.35,10,487,14584,616
"56",0.35,11,472,14203,647
"57",0.35,12,476,13843,650
"58",0.35,13,488,13521,613
"59",0.35,14,485,13210,606
"60",0.35,15,481,12932,594
"61",0.4,1,384,25483,438
"62",0.4,2,463,21340,453
"63",0.4,3,403,19152,585
"64",0.4,4,418,17779,592
"65",0.4,5,464,16886,533
"66",0.4,6,475,16090,561
"67",0.4,7,451,15468,635
"68",0.4,8,466,14990,641
"69",0.4,9,474,14524,649
"70",0.4,10,471,14135,649
"71",0.4,11,487,13827,604
"72",0.4,12,497,13490,612
"73",0.4,13,491,13164,611
"74",0.4,14,490,12892,606
"75",0.4,15,460,12581,629
