"","cpm","rows","down","NotSig","up"
"1",0.2,1,3,30446,12
"2",0.2,2,6,26314,11
"3",0.2,3,7,23989,11
"4",0.2,4,8,22334,10
"5",0.2,5,7,21015,10
"6",0.2,6,9,19995,11
"7",0.2,7,9,19143,12
"8",0.2,8,9,18457,12
"9",0.2,9,9,17837,12
"10",0.2,10,9,17316,12
"11",0.2,11,9,16838,12
"12",0.2,12,10,16397,12
"13",0.2,13,8,16005,11
"14",0.2,14,12,15591,15
"15",0.2,15,12,15226,14
"16",0.25,1,3,29381,11
"17",0.25,2,7,25193,9
"18",0.25,3,8,22886,11
"19",0.25,4,7,21297,10
"20",0.25,5,10,20087,12
"21",0.25,6,9,19169,12
"22",0.25,7,9,18381,12
"23",0.25,8,8,17751,13
"24",0.25,9,8,17230,13
"25",0.25,10,9,16807,12
"26",0.25,11,10,16360,12
"27",0.25,12,12,15932,15
"28",0.25,13,12,15573,15
"29",0.25,14,12,15218,15
"30",0.25,15,10,14863,15
"31",0.3,1,6,28566,9
"32",0.3,2,7,24319,11
"33",0.3,3,8,22003,11
"34",0.3,4,9,20386,10
"35",0.3,5,7,19247,11
"36",0.3,6,9,18332,12
"37",0.3,7,8,17615,13
"38",0.3,8,9,17053,12
"39",0.3,9,9,16578,12
"40",0.3,10,11,16144,14
"41",0.3,11,9,15763,14
"42",0.3,12,12,15388,15
"43",0.3,13,12,15027,15
"44",0.3,14,10,14696,15
"45",0.3,15,11,14339,15
"46",0.35,1,6,26699,11
"47",0.35,2,8,22834,11
"48",0.35,3,7,20801,11
"49",0.35,4,9,19387,12
"50",0.35,5,9,18376,12
"51",0.35,6,8,17587,13
"52",0.35,7,9,16980,12
"53",0.35,8,9,16488,12
"54",0.35,9,11,16046,15
"55",0.35,10,9,15664,14
"56",0.35,11,11,15296,15
"57",0.35,12,12,14941,16
"58",0.35,13,10,14597,15
"59",0.35,14,10,14276,15
"60",0.35,15,10,13981,16
"61",0.4,1,6,26288,11
"62",0.4,2,8,22237,11
"63",0.4,3,9,20120,11
"64",0.4,4,9,18769,11
"65",0.4,5,7,17865,11
"66",0.4,6,8,17105,13
"67",0.4,7,9,16533,12
"68",0.4,8,11,16071,15
"69",0.4,9,11,15621,15
"70",0.4,10,11,15229,15
"71",0.4,11,10,14892,16
"72",0.4,12,10,14574,15
"73",0.4,13,10,14241,15
"74",0.4,14,10,13962,16
"75",0.4,15,11,13646,13
"76",0.45,1,7,24230,11
"77",0.45,2,7,20835,11
"78",0.45,3,9,19049,11
"79",0.45,4,7,17895,11
"80",0.45,5,9,17049,11
"81",0.45,6,10,16413,14
"82",0.45,7,11,15918,15
"83",0.45,8,11,15495,15
"84",0.45,9,11,15091,15
"85",0.45,10,10,14757,16
"86",0.45,11,11,14449,16
"87",0.45,12,10,14185,17
"88",0.45,13,10,13873,16
"89",0.45,14,11,13606,15
"90",0.45,15,10,13325,16
"91",0.5,1,7,24061,11
"92",0.5,2,7,20631,11
"93",0.5,3,9,18794,11
"94",0.5,4,7,17589,11
"95",0.5,5,9,16760,11
"96",0.5,6,11,16140,14
"97",0.5,7,11,15684,15
"98",0.5,8,11,15263,15
"99",0.5,9,10,14886,16
"100",0.5,10,11,14557,15
"101",0.5,11,10,14267,16
"102",0.5,12,10,13988,17
"103",0.5,13,11,13699,15
"104",0.5,14,10,13437,15
"105",0.5,15,10,13156,16
"106",0.55,1,7,23630,11
"107",0.55,2,9,20067,11
"108",0.55,3,9,18220,11
"109",0.55,4,9,17062,11
"110",0.55,5,10,16275,12
"111",0.55,6,10,15743,17
"112",0.55,7,11,15297,15
"113",0.55,8,10,14913,16
"114",0.55,9,10,14546,16
"115",0.55,10,10,14270,16
"116",0.55,11,10,13987,17
"117",0.55,12,11,13722,14
"118",0.55,13,10,13439,15
"119",0.55,14,10,13175,16
"120",0.55,15,11,12894,16
"121",0.6,1,7,23520,11
"122",0.6,2,9,19892,12
"123",0.6,3,7,18030,11
"124",0.6,4,9,16896,12
"125",0.6,5,11,16095,15
"126",0.6,6,11,15545,15
"127",0.6,7,11,15073,15
"128",0.6,8,10,14703,16
"129",0.6,9,11,14373,16
"130",0.6,10,10,14099,17
"131",0.6,11,10,13821,17
"132",0.6,12,11,13564,14
"133",0.6,13,10,13275,16
"134",0.6,14,10,13017,16
"135",0.6,15,12,12751,16
"136",0.65,1,7,22625,11
"137",0.65,2,9,18958,12
"138",0.65,3,9,17291,11
"139",0.65,4,9,16296,11
"140",0.65,5,11,15579,15
"141",0.65,6,11,15097,15
"142",0.65,7,10,14691,16
"143",0.65,8,10,14322,16
"144",0.65,9,10,14032,17
"145",0.65,10,11,13776,15
"146",0.65,11,10,13512,16
"147",0.65,12,10,13248,17
"148",0.65,13,10,12984,16
"149",0.65,14,10,12744,16
"150",0.65,15,12,12478,15
"151",0.7,1,7,20893,11
"152",0.7,2,7,18130,11
"153",0.7,3,9,16809,12
"154",0.7,4,8,15962,14
"155",0.7,5,11,15322,15
"156",0.7,6,10,14870,16
"157",0.7,7,11,14484,16
"158",0.7,8,10,14160,16
"159",0.7,9,11,13857,16
"160",0.7,10,11,13603,15
"161",0.7,11,10,13363,17
"162",0.7,12,10,13098,17
"163",0.7,13,10,12854,16
"164",0.7,14,10,12605,16
"165",0.7,15,11,12348,14
"166",0.75,1,7,20737,11
"167",0.75,2,9,17921,11
"168",0.75,3,9,16599,12
"169",0.75,4,8,15773,14
"170",0.75,5,11,15168,15
"171",0.75,6,10,14722,16
"172",0.75,7,11,14343,16
"173",0.75,8,10,14020,17
"174",0.75,9,11,13750,16
"175",0.75,10,10,13497,16
"176",0.75,11,10,13242,17
"177",0.75,12,10,12990,17
"178",0.75,13,10,12753,16
"179",0.75,14,10,12501,15
"180",0.75,15,11,12244,14
"181",0.8,1,7,20509,11
"182",0.8,2,9,17645,11
"183",0.8,3,10,16299,12
"184",0.8,4,11,15407,14
"185",0.8,5,10,14832,17
"186",0.8,6,11,14407,16
"187",0.8,7,10,14051,17
"188",0.8,8,11,13755,16
"189",0.8,9,10,13487,16
"190",0.8,10,10,13220,17
"191",0.8,11,10,12975,17
"192",0.8,12,10,12741,17
"193",0.8,13,10,12511,16
"194",0.8,14,12,12286,13
"195",0.8,15,11,12042,14
"196",0.85,1,9,19472,12
"197",0.85,2,7,17128,12
"198",0.85,3,11,15937,14
"199",0.85,4,11,15105,14
"200",0.85,5,10,14590,16
"201",0.85,6,10,14200,16
"202",0.85,7,11,13861,16
"203",0.85,8,10,13577,16
"204",0.85,9,10,13310,17
"205",0.85,10,10,13079,17
"206",0.85,11,10,12845,17
"207",0.85,12,10,12630,16
"208",0.85,13,10,12393,16
"209",0.85,14,11,12154,14
"210",0.85,15,11,11919,14
"211",0.9,1,7,19303,11
"212",0.9,2,9,16875,12
"213",0.9,3,11,15653,14
"214",0.9,4,10,14880,15
"215",0.9,5,11,14392,15
"216",0.9,6,10,14001,17
"217",0.9,7,10,13662,16
"218",0.9,8,10,13389,16
"219",0.9,9,10,13130,17
"220",0.9,10,10,12904,17
"221",0.9,11,10,12681,17
"222",0.9,12,10,12469,17
"223",0.9,13,10,12241,16
"224",0.9,14,11,12002,14
"225",0.9,15,11,11770,14
"226",0.95,1,9,19236,12
"227",0.95,2,9,16810,12
"228",0.95,3,11,15556,14
"229",0.95,4,10,14787,15
"230",0.95,5,10,14281,16
"231",0.95,6,11,13905,15
"232",0.95,7,10,13577,16
"233",0.95,8,10,13287,17
"234",0.95,9,10,13044,17
"235",0.95,10,10,12821,17
"236",0.95,11,10,12593,18
"237",0.95,12,10,12363,18
"238",0.95,13,10,12146,15
"239",0.95,14,11,11925,14
"240",0.95,15,11,11694,13
"241",1,1,9,18712,12
"242",1,2,9,16425,12
"243",1,3,11,15319,14
"244",1,4,10,14645,15
"245",1,5,10,14143,15
"246",1,6,11,13754,15
"247",1,7,10,13446,16
"248",1,8,10,13183,17
"249",1,9,10,12943,17
"250",1,10,10,12705,18
"251",1,11,10,12494,18
"252",1,12,11,12269,15
"253",1,13,10,12071,13
"254",1,14,11,11837,14
"255",1,15,11,11605,13
